,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DIPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.2439718270032737,0.0,0.0340636589254454,0.0172310321464972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.5846657886174296,0.5450286597239441,0.5530437870728254,0.3892258333632294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,1.109298269438049,3.6501509430186023,4.224501816040164,1.9419918484390133,0.0,0.6838728411159555,0.724100655299247,0.3620503276496235,0.482733770199498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.2609673350857806,11.420019585795975,12.397858762829754,5.733467581667055,0.0,3.837346196588716,4.787184364061171,4.217281463577699,4.559223203867783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.8919122757607358,20.633492530132266,20.06634155744538,8.30621107088512,0.0,13.47762613665254,13.657327818474569,13.046342100279652,12.902580754822026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4087106951117228,22.68846981055407,22.47738452615929,7.649120231215829,0.0,23.187497072636088,25.877382929814136,23.15344788457055,25.4687926730276,0.134133165106692,0.0,0.0,0.0,0.0,0.134133165106692,0.0,0.0,0.0
38,1.925,0.3052513197949175,18.047929182072536,18.970351924397697,5.9921989533748246,0.0,31.915826884450546,29.5253702149674,28.588569628278066,30.559081207176337,2.67237784917648,0.0,0.0,0.0,0.0,2.4178656730644343,0.0,0.0,0.0
39,1.975,0.5816272973882984,13.236915182084758,13.479053874439971,4.082845397412397,0.0,28.571123961030786,30.50450828922084,28.8780103623308,29.522471805060828,20.06851072743691,0.0,0.0,0.0,0.0,19.10135358394598,0.0,0.0,0.0
40,2.025,1.0256867960714393,8.68122661645437,9.18575779062607,2.163788349946901,0.0291919375022422,24.900722689412607,23.61627743931396,23.64546937681617,24.31688393936776,53.81931750413389,0.1149985416754996,0.1149985416754996,0.0,0.0,60.25923583796188,0.0,0.0,0.0
41,2.075,1.4404541155887225,5.525871094085116,5.656444607650453,1.4055513326899964,0.0,17.90456159180487,17.682144677620958,17.070498163615206,16.45885164960945,98.24256198100734,0.5476174023467522,0.1095234804693504,0.0,0.7666643632854531,107.2234873794941,0.0,0.0,0.0
42,2.125,1.6860956658474964,3.4611402435247167,3.600581864846576,0.685209370605828,0.0,11.637552543440927,13.360652578346766,12.61839410177194,12.061700244340829,120.19928122282504,1.2531636617496964,0.0,0.3132909154374241,1.5664545771871206,118.42396603534642,0.0,0.0,0.0
43,2.1750000000000003,1.6854946698098956,2.0441045494071144,2.362604560593804,0.3655091338991528,0.0,8.578218211740891,8.856567475248706,7.869692813720994,8.046824163225969,101.17957388390192,3.788003751318493,0.3987372369808939,0.3987372369808939,4.386109606789834,104.46915608899428,0.0,0.0,0.0
44,2.225,1.4493806442549315,1.4172569164298012,1.6262114618008623,0.2022072208701386,0.0,6.407706443168063,6.093366127088123,6.214266248657332,5.803205835322022,79.3471161498765,5.429514550471739,1.1430556948361563,1.238310336072503,6.001042397889815,74.48912944682284,0.0,0.0,0.0
45,2.275,1.042855950158384,0.860314424274585,1.0688754968260006,0.0967085090315162,0.0,4.325102088532574,4.903324292881849,4.209457647662719,4.209457647662719,49.930363439808936,5.28460051005277,1.1844794246670003,1.3667070284619236,5.922397123335001,54.85050874227191,0.0,0.0911138018974615,0.0
46,2.325,0.7708547256011441,0.7238671925945793,0.6614648484053914,0.0589233830901415,0.0221448318866246,3.63175242940644,3.0781316322408228,3.144566127900697,3.4545937743134423,34.37146331008825,8.985433301875876,1.5702698974152012,1.5702698974152012,9.334382167968142,33.32461671181146,0.0,0.0,0.0
47,2.375,0.7195134510787462,0.3428684156296106,0.4704473609801635,0.0403347177369255,0.0,2.780116960076517,3.0984509631387125,2.9711173619138345,2.7588946932057032,19.897482938877506,9.614329991474424,2.17367460676813,1.337645911857311,9.781535730456593,19.813880069386407,0.0,0.3344114779643278,0.0
48,2.4250000000000003,0.783167853899776,0.3288757695050067,0.2753378535390754,0.0386886360154808,0.0,2.4223847823969886,1.8524118924212265,2.4834533063229625,1.9338365909891917,13.311704508308384,10.10406486775215,2.6463027034588924,1.523628829264211,11.30692973296074,12.34941261614151,0.0801909910139058,0.2405729730417176,0.0
49,2.475,0.877209045752764,0.2900241829562026,0.2679970298202885,0.0074282602193238,0.0,1.7392414196598454,1.876035688621855,1.7783254965061333,1.602447150697834,6.2356868059305945,11.008681645037967,1.8476109054609189,1.3087243913681503,12.39438982413366,7.544411197298746,0.1539675754550765,0.1539675754550765,0.0
50,2.5250000000000004,0.9514553446090708,0.1587259208294061,0.197525590365483,0.0071369939710168,0.0,1.6522690042440171,1.3894080262961048,1.4269595945743785,1.6334932201048806,5.547390768381261,11.612538008478117,2.144991097107421,1.997060676617254,14.127355156810951,3.994121353234506,0.1479304204901669,0.2958608409803339,0.0
51,2.575,0.9795203134720204,0.1865378104942348,0.203495793266438,0.013725057401596,0.0,1.1373849491337988,1.155438678485129,1.1373849491337988,1.011008843674488,2.915950831593627,12.80173535821591,2.915950831593627,2.3469848156729194,12.8017353582159,3.1293130875638924,0.3556037599504422,0.3556037599504422,0.0
52,2.625,0.9641636219103946,0.1697086173360229,0.153390481053713,0.0,0.0347450778687952,1.2334502643422294,0.9207445635230732,1.146587569670242,1.1639601086046405,1.7793691393413322,11.976523053258964,2.8059282581921,2.18999278688164,12.866207622929618,1.710931864751281,0.2737490983602049,0.2737490983602049,0.0
53,2.6750000000000003,0.9129358066077116,0.1099968187293517,0.1634238449693225,0.0,0.0334583729937193,0.9368344438241416,0.8030009518492641,0.9702928168178612,1.0539387493021593,0.8567371266573582,11.730708349616137,2.2406971004884766,2.174794244591756,12.982862611653808,1.5816685415212768,0.2636114235868795,0.593125703070479,0.0
54,2.725,0.8686726840023881,0.1483963365952779,0.0969118932867121,0.0061278353576758,0.0,0.7738041940892866,0.8221669562198669,0.8705297183504472,0.9188924804810276,1.0796131748341682,11.177171692400814,2.032213034981964,2.286239664354709,12.955358098010036,0.6350665734318637,0.1905199720295591,0.3175332867159318,0.0
55,2.7750000000000004,0.8540348966468135,0.1460173887224548,0.1168139109779639,0.0059090077775402,0.0466357075365871,0.9016236790406844,0.8705332073496262,0.9793498582683297,0.9482593865772714,0.3674328472579593,11.084224225615117,2.4495523150530616,1.8984030441661224,12.553955614646958,0.4899104630106123,0.3674328472579593,0.796104502392245,0.0
56,2.825,0.850874124222703,0.1070798249744175,0.1042619348435117,0.0057016958204291,0.0449995377827714,0.7799919882347048,0.7349924504519334,0.8099916800898856,0.7799919882347051,0.3545418128339566,12.349873147049491,1.890889668447768,1.4181672513358263,12.645324657744451,0.236361208555971,0.4136321149729493,0.4727224171119421,0.0
57,2.875,0.8429687001706924,0.095225595566987,0.1278743711899539,0.0,0.0144826620071109,0.897925044440882,0.6517197903199945,0.6372371283128835,0.5213758322559956,0.2852645546855196,12.152270029603145,2.053904793735742,2.4532751702954707,10.38362979055292,0.2282116437484156,0.7416878421823511,0.7416878421823511,0.0
58,2.9250000000000003,0.8457980563882221,0.1340541173631918,0.1077689963115855,0.0,0.0559670885160354,0.9514405047726022,0.8674898719985488,0.7835392392244956,0.6156379736763892,0.1653573069791956,10.472629442015732,1.9291685814239488,1.8740494790975504,12.015964307154892,0.3307146139583912,0.4409528186111882,0.4960719209375867,0.0
59,2.975,0.8782478913166856,0.1041770346606769,0.1067179379450836,0.0,0.1352542363699594,0.6356949109388093,0.689796605486793,0.8926779600417322,0.8791525364047362,0.2664098595165868,12.787673256796184,2.237842819939329,1.864869016616108,12.09500762205306,0.1065639438066347,0.8525115504530778,0.6926656347431257,0.0
60,3.0250000000000004,0.922723723667086,0.108134512929797,0.0933888975302792,0.0,0.196230112624352,0.6933463979393772,0.771838442989118,0.95498654810518,0.7980024580056984,0.309211086559585,11.853091651450756,2.3706183302901502,2.009872062637302,10.82238802958548,0.1546055432797925,0.6699573542124343,0.4122814487461133,0.0
61,3.075,0.9542838445427984,0.1522132512695677,0.1117816064010888,0.0,0.2405408446745522,0.6963024451105456,0.7596026673933224,0.9748234231547636,0.7342825784802117,0.1496187072138363,9.97458048092242,2.942501241872117,2.3440264130167705,10.323690797754706,0.0997458048092242,0.7979664384737939,0.4488561216415091,0.0
62,3.125,0.9508316081705724,0.1750155275671981,0.1266559738973144,0.0046595392842605,0.3677451773577967,0.7109740095584071,0.8090393901871529,0.5883922837724749,0.6864576644012207,0.1448693122924653,9.995982548180097,2.655937392028532,2.655937392028532,10.43059048505749,0.2897386245849306,0.772636332226482,0.8209261029906371,0.0
63,3.1750000000000003,0.9162319290785336,0.1829320137440771,0.1784702573112946,0.0,0.5106308631302771,0.7600087265194819,0.7125081811120144,0.8668849536862835,0.7600087265194815,0.0467808401740211,10.245003998110622,2.479384529223121,2.245480328353015,10.946716600720936,0.0,0.608150922262275,0.8888359633064018,0.0157527318953336
64,3.225,0.8508023688384289,0.2162241309485145,0.1773037873777819,0.0,0.5524692871989128,0.8977625916982324,0.8977625916982326,0.886252814881588,0.8747430380649441,0.0906830900705285,10.519238448181316,2.7658342471511204,2.7204927021158585,10.972653898533965,0.0453415450352642,1.042855535811079,0.9975139907758144,0.0
65,3.2750000000000004,0.8119571759030727,0.2264461851167653,0.2033822218178353,0.0,0.8482377327393816,0.8705597783377865,0.8482377327393816,0.7366275047473577,0.8147546643417745,0.1319029967178464,9.057339107958796,2.4182216064938498,2.857898262220005,10.15653074727418,0.0,1.1431593048880029,0.8353856458796942,0.0
66,3.325,0.8034971203223111,0.2501992052003576,0.2318919462832583,0.0,1.2343786679078057,0.83374699499036,0.9095421763531198,0.8445748780421829,0.8012633458348913,0.1706211874832694,8.957612342871643,4.350840280823372,3.753666124631928,7.84857462423039,0.255931781224904,0.8104506405455297,1.0237271248996165,0.0287270366681014
67,3.375,0.8119538169148092,0.2448152600173259,0.2487638932434119,0.0039948160708354,1.807623542698648,1.0824722377788418,0.8617740145423789,0.9983967241649512,0.9983967241649512,0.0828016421954983,8.569969967234094,2.691053371353699,4.140082109774923,9.397986389189075,0.0414008210977491,0.7866156008572349,1.366227096225724,0.0139410928186298
68,3.4250000000000003,0.8271259910349823,0.4006726689486384,0.333574375105565,0.0,2.183835634864405,1.1225323356779668,1.173556532754238,0.7653629561440684,1.1531468539237295,0.0,8.04017650898819,3.37687413377504,4.462297962488445,7.798971213718544,0.0402008825449409,0.8844194159887009,1.0050220636235236,0.0406110956321342
69,3.475,0.8423939463324013,0.4618562955181605,0.4711679143794137,0.0,3.251560004079714,1.1995084161391638,1.169768538053069,1.1102887818808789,1.348207806569638,0.0,7.185635190094866,3.3975557692296365,3.514712864720313,6.873216268786394,0.078104730327118,0.9763091290889752,1.132518589743211,0.1315028622854538
70,3.5250000000000004,0.8522673623182744,0.5357207698994366,0.4814247459231422,0.0,3.622407966779477,1.2620623501279564,1.551084262371,1.1368195214893042,1.184989840196478,0.0759047446294861,7.590474462948603,3.795237231474301,4.02295146536276,6.148284314988369,0.0,0.6451903293506321,1.3283330310160075,0.076679282839991
71,3.575,0.8653605404319809,0.5613113305728131,0.6000224568192142,0.0,4.14934546069639,1.414336714594029,1.4424361195197382,1.3862373096683198,1.3300384998169017,0.14759283395322,6.97376140428965,3.247042346970839,3.7636172658071088,6.1620008175469385,0.110694625464915,0.8117605867427098,0.8486587952310147,0.2236483249189098
72,3.625,0.8990901942440321,0.8026426497905925,0.7102275046121446,0.0069256314125499,4.427396339779788,1.5122382559741672,1.5942270770812004,1.6397764221406637,1.5486777320217382,0.1794368138706112,5.67020331831132,3.911722542379328,4.342370895668794,6.136739034374907,0.0358873627741222,1.6149313248355004,1.0048461576754228,0.2175213621207
73,3.675,0.9439809474981316,0.9457998635856468,0.9541255666101688,0.0,4.6977459096515695,1.8081889916394696,1.6663702471971598,1.6309155610865818,1.5600061888654255,0.0698349877935625,4.993201627239724,3.631419365265253,4.050429292026627,6.005808950246381,0.0698349877935625,1.3617822619744686,1.4665347436648124,0.3880117434040282
74,3.725,0.97431051537417,1.050239210367384,1.0567221684560717,0.0,4.7881632375795045,2.010165827668513,1.967029221924553,1.7599735143535475,2.018793148817305,0.1019592499402679,5.063976080366642,4.180329247550986,3.874451497730182,4.826071163839353,0.0,1.2235109992832147,1.2235109992832147,0.652331119515796
75,3.775,0.9793458851218,1.3461116026830338,1.3113936012070349,0.003193096361163,5.569398673140632,1.9908710189054737,1.9824707192476456,1.9152683219850135,2.083274315141593,0.1323683582445783,3.805590299531624,3.6732219412870473,4.070327016020783,4.368155822071084,0.0330920895611445,1.025854776395482,1.389867761568072,0.8468873532586795
76,3.825,0.9739874036708762,1.7015740558488524,1.6293301709121806,0.0,5.776578473581189,2.15189821324625,2.27463005050364,1.8082490689255548,2.086441233375641,0.0966978111724896,3.513353805933793,3.610051617106283,4.609262332555344,3.2554929761404874,0.1611630186208161,1.0636759228973869,1.6760953936564882,0.9985529072097912
77,3.875,0.9671569157142692,2.029374286968863,2.0773004693917443,0.0,6.019113766504417,2.375756162143467,2.4395348510600696,2.35183915379974,2.335894481570589,0.314061725725697,3.643116018418088,3.988583916716357,4.930769093893449,3.2034296024021134,0.1256246902902788,1.476090110910777,1.3504654206204976,1.4805767069925728
78,3.925,0.9668984285274848,2.4217733081155397,2.407175518434311,0.0029537048126926,7.086710353062312,2.8362382443725247,2.8750908230625587,2.7973856656824907,2.921713917490602,0.1224444904170787,3.306001241261129,4.4080016550148375,4.530446145431919,2.693778789175734,0.091833367812809,1.4999450076092151,1.5305561302134845,2.1749514968727506
79,3.975,0.969313125589965,2.7910646669376384,2.7569057928904663,0.0086395982604688,7.295941355621443,2.9774713943501823,3.106267866879326,2.9926239205300824,3.038081499069781,0.2686129640982123,2.3578249070843067,4.059040346372986,5.163338087665634,2.417516676883909,0.1193835395992054,1.5818318996894716,1.551986014789671,2.5929373881317206
80,4.025,0.9638116058051308,2.8651320060451626,2.7971128838086243,0.0028087619398307,7.980340846891443,3.243860770171615,3.0443522489993287,3.5320397451982504,3.413812473392452,0.2910898737642783,1.892084179467809,4.046149245323465,4.628328992852022,1.7174302552092426,0.2910898737642783,1.339013419315681,1.8920841794678092,3.3718900479307066
81,4.075,0.9592423110785426,2.684202477004164,2.681493897309911,0.0054805179778441,8.95356437823451,3.352179900063646,3.5035686697439385,3.734256318780575,3.2728810207073,0.2271923816269919,2.073130482346301,4.259857155506098,5.793405731488293,1.703942862202439,0.1135961908134959,1.931135243829431,1.675543814499065,4.140755026872559
82,4.125,0.9567055544550932,2.311579763341177,2.286468262195676,0.0026742318856089,8.857426283398016,3.9186548370553576,3.665384506473682,3.7427726630403058,3.679455080394887,0.1662886008869583,1.3303088070956668,4.933228492979763,5.238090927939189,1.2194497398376944,0.1662886008869583,1.7460303093130625,2.078607511086979,4.544938953833855
83,4.175,0.961261746967396,1.852714868928164,1.7430485988314417,0.0156633764513791,9.82093703501475,4.168747398778986,3.880300297051277,4.100069517415246,3.8940358733240257,0.2164393836917851,0.9739772266130328,4.301732750874227,4.653446749373378,1.1633616873433446,0.189384460730312,1.839734761380173,1.758569992495755,5.238440440754621
84,4.2250000000000005,0.9717288171921574,1.447550857450776,1.292591105086594,0.0101965624148732,10.240368415709414,4.251731221715629,3.956658392448299,4.070663803756131,3.9365397904527977,0.1849285637970186,0.7925509877015082,4.464703897385163,4.570377362412031,0.7397142551880745,0.1585101975403016,1.7171938066866017,2.3512345968478097,5.515507894004373
85,4.275,0.984264430288989,1.0398047990156898,0.991813808291888,0.0149391658033604,10.08083416744762,4.35591599827984,4.067705014935009,3.884298025533752,3.910499024019644,0.0774120409810497,1.032160546413996,5.264018786711383,5.057586677428587,0.7999244234708468,0.1806280956224493,1.9869090518469448,1.857888983545194,4.83983239888665
86,4.325,0.994999847327878,0.7778565580275153,0.7682385480364484,0.0194610026719827,9.573915114492216,3.903802285989472,4.140590293500308,4.2173864040443645,3.724611361386677,0.3025301324462781,0.6806927980041261,4.865692963510969,4.588373675435216,0.6050602648925564,0.5042168874104636,2.0925000827534226,2.0925000827534226,3.973023269983264
87,4.375,1.0043882562869002,0.6121377727066668,0.5404671313724888,0.0285280896193563,8.580810463815954,3.646219023618585,3.6837444338102,3.6837444338102,3.658727493682456,0.295654746964239,0.8869642408927172,4.089890666338638,4.533372786784994,0.591309493928478,0.3695684337052987,2.315962184553207,2.439151662454973,3.111162834763993
88,4.425,1.0118859259702493,0.5696692835982174,0.4858268285525119,0.0185913574915094,7.599324632486178,3.21580430948329,3.179122131048121,3.442011076500177,3.1179851669895045,0.4094323956652881,0.7466120156249373,4.576009128023805,4.720514679435084,0.3853481370967417,0.3853481370967417,1.9749092026208024,2.384341598286091,2.3519015765406968
89,4.4750000000000005,1.0197814978092912,0.4739081210401026,0.458186050673843,0.0363564668118678,6.061531929208666,2.8693642268443407,2.917186963958412,2.8633863847050813,2.8574085425658216,0.5887268773512689,0.800668553197726,5.110149295409021,5.510483572007882,0.5887268773512689,0.3767852015048121,2.731692710909891,2.307809359216977,1.720764558658138
90,4.525,1.0262917324398937,0.4821645000625665,0.4503130866187981,0.0288904330853138,4.302999226491431,2.537366391708264,2.478901728304846,2.4087441322207472,2.554905790729288,0.5988198857683232,0.8751982945844724,4.90571675648665,5.297252835642864,0.4836622154282611,0.2994099428841618,2.6255948837534198,2.62559488375342,1.4115040164539057
91,4.575,1.029166510954611,0.4534174486090971,0.4620130400519236,0.0760910909156643,3.614644561511063,2.3220659683124865,1.944587264104053,2.1333266162082696,2.156204113433023,0.4506173695784796,0.6533951858887954,4.799074986010809,4.663889775137264,0.4506173695784796,0.5182099750152516,2.3882720587659443,2.8163585598654994,1.0545825889063716
92,4.625,1.0335807845162404,0.4363075117935611,0.4625910968413659,0.0553092704304216,2.5071790468247,1.8691915215166297,1.9307517213270573,1.8691915215166297,1.8468059943128383,0.4850197560821591,0.7495759866724278,4.232899689444298,4.144714279247542,0.440927050983781,0.5952515188281045,2.55737689570593,3.0864893568864677,0.7423771776767744
93,4.675,1.0383818659394186,0.4681837370487011,0.4867052914813966,0.0770347432902444,1.8020364335824768,1.7636952328679558,1.8075137479702648,1.8184683767458425,1.6870128314389137,0.7552054686193497,0.7983600668261694,4.229150624268353,4.574387409922912,0.6904735713091197,0.4315459820681999,2.977667276270576,2.805048883443295,0.5885318418715806
94,4.7250000000000005,1.0413968331008354,0.5197737237274084,0.531861484744325,0.0754130197556358,1.3512257161371573,1.5388959544895395,1.6086020430204255,1.753376226892264,1.957132485674851,0.5280764282642806,0.6125686567865655,4.28798059750596,4.245734483244818,0.5069533711337093,0.4858303140031381,3.1050893981939702,2.809366598365972,0.5334649632465694
95,4.775,1.0469123131199545,0.5779884944716531,0.5631935671387609,0.091803533501096,1.039559878688999,1.8691076606731487,1.743100402650241,1.6853470760564078,1.7273494953973771,0.5584412571469832,0.723905333338682,4.364115009556052,4.012503847648694,0.8686864000064183,0.5791242666709459,2.606059200019256,3.1645004571662394,0.4109165259505578
96,4.825,1.049213572161289,0.6047113343804369,0.5670376250500262,0.1094565590022546,0.858722789952578,1.5528998956028643,1.6403147903884556,1.5374737376995244,1.7637240536151724,0.6076971295255041,0.850775981335706,4.0715707678208775,3.808235345026493,0.6076971295255041,0.5266708455887703,2.8966896507382374,3.078998789595887,0.4638341355970174
97,4.875,1.0549992768326897,0.6586102567917577,0.6775358388834753,0.1014787498239501,0.9066809635939578,1.6118772686114804,1.7226938308285191,1.793213461330272,1.8083248107235044,0.95247293145224,0.9921593035960834,3.8694212840247206,3.670989423305504,0.6349819543014934,0.6151387682295717,3.452714376514366,2.9367915386444023,0.4810960214988355
98,4.925000000000001,1.059564222933418,0.6842463026886618,0.6694116945002899,0.1800973485325171,0.6810796844022976,1.569444490144425,1.5645091301125242,1.7026992110057442,1.6878931309100431,0.9721163699198372,0.8554624055294567,3.3440803125242358,3.227426348133855,0.7388084411390762,0.6221544767486957,3.3246379851258387,4.044004098866518,0.425548900709806
99,4.9750000000000005,1.0595605322967148,0.725987680319302,0.7768704213679645,0.1544335824810268,0.5997453631735699,1.784726121056833,1.7605428402837051,1.7170129348920748,1.8234193702938375,0.8002467455835028,1.1622631304903253,3.791645294550408,2.89613107925458,0.8574072274108958,0.7240327698136454,3.4486824035860484,3.2581474641614023,0.506861823551067
100,5.025,1.062962406914279,0.7757374121510469,0.7543623284637615,0.2198550274385157,0.6210557969294062,1.7399044081915431,1.6830138008392317,1.5834552379726856,1.6356049613789707,0.9711628931859332,0.8404294267955191,3.548479802025521,3.0815745649168997,1.2699822449354514,0.8404294267955191,3.54847980202552,4.23949955294628,0.7546713220204655
101,5.075,1.0616213663136722,0.8696730853382527,0.7937076652334054,0.2014102326151511,0.6181744831803483,1.8359317357611824,1.6639583832974774,1.7057897393021628,1.6964938824122324,1.1901513745440728,0.988741141928922,3.332423848723402,2.8380532777589424,0.7507108670201077,0.842260972754267,3.863414461981528,3.442283975604394,0.628893175308532
102,5.125,1.0593979130983815,0.9247085404479476,0.8861790179292828,0.2321485096888056,0.6016137957170747,1.7045724211983782,1.6772263395748757,1.827629788504143,1.8367451490453115,1.5979503251713862,0.9874973919598452,2.800901693558832,2.4956752269530624,0.8797704037460439,0.951588395888578,3.949989567839381,3.519081614984178,0.8343345311660737
103,5.175000000000001,1.0579106701588477,0.8817338417670698,0.8976890255704743,0.2599678424698697,0.666035259757649,1.7656639436528268,1.7299036612497327,1.9310552497671416,1.801424226055922,1.0037261083596054,1.2854737878991438,2.923132175222709,2.553338345827066,0.8804614985610574,1.0213353383308266,3.821202903754985,3.645110604042775,0.7945715809463245
104,5.2250000000000005,1.0530781918871914,0.9464908555127453,0.9399008408529524,0.3016858611726506,0.5831909511814352,1.7890369028723734,1.7232634873255963,1.968817572033568,1.710108804216241,1.0191557520076586,1.1746201887545895,2.7119907299186847,2.211049767067464,1.001881925702444,1.0191557520076588,4.024801529114989,3.8002417871472014,0.9772050309807084
