,r ($\AA$),g_full(r),O (DOL),O (DOL),P (TEP),O (TEP-i),O (TEP-i),O (TEP-i),O (TEP),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
21,1.075,8.015014637322588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,4.933320231503846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3120641741753005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0043024458932214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1787119682273228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.8397110594794664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.7387075025666074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,2.047677772664024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.8840106040672686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.914080775856858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.6453095719195454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.6442445692065049,0.008671308266263,0.008671308266263,0.0,0.0,0.0,0.0,0.0212033403542546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.6189946199574786,0.1713890388510669,0.1224207420364763,0.0,0.0,0.0,0.0,1.6364293489087902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.9832470352596628,1.9699580591771635,1.7621890451233229,0.0,0.018816405931849,0.0,0.0,23.01246445465136,0.0,0.1638474731911777,0.1638474731911777,0.0409618682977944,0.1228856048933832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.1386589173467063,7.078791886404987,6.7226719660416965,0.0,0.0177713265227804,0.0355426530455609,0.0,88.9810318995617,0.0,1.779593297488892,1.6635328650439642,1.3540383785241563,1.4314120001541084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.8283198992544318,12.182500397131816,12.3612504029588,0.0,0.0672438184464677,0.0336219092232338,0.0336219092232338,130.9405254698843,0.0,5.4894232558703004,5.599211720987705,5.855384806261652,4.611115534931051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3989211544317235,14.928354954526068,14.491967615104924,0.0,0.0318527544833528,0.0955582634500586,0.0477791317250293,107.28007709993253,0.0,11.302582396635268,11.406593891082832,10.123785459562878,10.366478946607195,0.0,0.0,0.0,0.0,0.0,0.1365807502846797,0.0,0.0,0.0
38,1.925,0.3436302235850824,13.279329615481863,13.186640018351934,0.0,0.0604392944300722,0.0453294708225542,0.0453294708225542,63.24972162107067,0.0,14.20974303815948,15.953067994229968,13.584777487870056,14.43999350405558,1.943672764058008,0.0,0.0,0.0,0.0,1.8140945797874728,0.0,0.0,0.0
39,1.975,0.6732909062739487,9.9385993145842,10.208638043745966,0.0,0.0574179752895816,0.0574179752895816,0.1148359505791632,30.10137354556317,0.0,14.905595965992148,15.436822656604026,14.718104192835012,14.218126131082656,17.234092280100164,0.0,0.0,0.0,0.0,14.895179756372285,0.0,0.0,0.0
40,2.025,1.134598965060705,6.633915578987161,6.6897566192143305,0.0,0.0955809183252245,0.0682720845180175,0.081926501421621,12.370901714664774,0.0,12.424889178422108,13.58414917353805,11.473701490121856,12.335715332643968,42.62329679012136,0.1170969692036301,0.0,0.0,0.3512909076108902,43.91136345136128,0.0,0.0,0.0
41,2.075,1.4690291339669008,4.509872413320687,4.286506090962822,0.0,0.0260086648278044,0.0520173296556089,0.0390129972417067,4.304434029001642,0.0283094313318025,10.67265561208957,9.76675380947189,10.13477641678532,9.936610397462704,76.95018152917251,0.7806540155133436,0.0,0.1115220022161919,0.6691320132971516,68.47450936074196,0.0,0.0,0.0
42,2.125,1.5732198376048268,2.905643548308983,2.7687284072891862,0.0,0.0371987740815461,0.0371987740815461,0.099196730884123,1.56234851142494,0.0,7.126140536360198,7.234112362668688,7.153133492937323,6.451316621932151,88.6841318815625,0.8506871163699039,0.319007668638714,0.106335889546238,1.0633588954623798,101.01909506892612,0.0,0.0,0.0
43,2.1750000000000003,1.502570088758732,1.7474114318089418,1.776454281091085,0.0,0.0355082185569664,0.0118360728523221,0.0710164371139329,0.6509840068777187,0.0,5.101711586207844,5.436672447928558,4.740984504354762,4.7409845043547625,77.3455080700565,3.552615200068208,0.8120263314441625,0.9135296228746828,3.85712507435977,87.80034708740008,0.0,0.0,0.0
44,2.225,1.282838742366369,1.0777132778519671,1.0037072158535487,0.0,0.0339303411459179,0.0339303411459179,0.0339303411459179,0.2827528428826497,0.0,3.865535865267385,3.545459647124228,2.9791709534863324,3.8409146177179134,59.74756072005644,4.267682908575462,1.5518846940274396,0.9699279337671496,4.461668495328892,61.97839496772087,0.0,0.0,0.0
45,2.275,0.9172874588365688,0.8184969474675144,0.8052240239950685,0.0,0.0216368976276389,0.0108184488138194,0.0216368976276389,0.1298213857658339,0.0,2.048930986500385,2.378644018810792,2.143134710017645,2.519949604086681,43.60490535533729,5.659360056756545,1.948304281834219,2.597739042445625,8.349875493575233,43.69768174971035,0.0,0.0,0.0
46,2.325,0.6324978199697489,0.4913839377079354,0.4998560745649687,0.0,0.0,0.0103581602563022,0.0310744807689068,0.0517908012815113,0.0,1.4882285943631834,1.5784242667488309,1.916658038195009,1.4882285943631834,25.31628531733516,9.860026913067372,3.1090174951113347,2.931359352533544,7.9946164160005715,30.64602959466885,0.0888290712888952,0.0,0.0
47,2.375,0.5541497320005744,0.3288269238526823,0.3613036570727003,0.0,0.0099266340054118,0.0496331700270593,0.0397065360216474,0.0099266340054118,0.0,1.0804759321275217,1.1669140066977228,1.1885235253402733,1.058866413484971,18.98363471053145,10.045151999294664,2.8092374235315574,4.086163525136813,9.449253151878882,17.36619498183146,0.0,0.2553852203210506,0.0
48,2.4250000000000003,0.6299294809946652,0.2608924734331554,0.2842559785167215,0.0,0.0,0.0,0.009521522684233,0.009521522684233,0.0,0.6425562962213606,0.8083772758913886,1.2436573475252128,0.7254667860563746,9.390241083586847,11.83986919234864,4.65429340664739,3.756096433434736,11.513252111180394,11.1049807597201,0.2449628108761785,0.0816542702920594,0.0
49,2.475,0.7779844708887691,0.1383127340693981,0.1981236460994082,0.0,0.0091407135876252,0.0182814271752504,0.0091407135876252,0.0,0.0,0.5770602801049238,0.9153369960284998,0.6964520621955976,0.497465758711141,7.525300204503073,10.660841956379356,4.232981365032979,4.624924084017514,11.60150448194224,5.957529328564933,0.078388543796907,0.078388543796907,0.0
50,2.5250000000000004,0.9052133892966816,0.1652138663189434,0.1221145968444364,0.0,0.0175646021651111,0.0087823010825555,0.0087823010825555,0.0,0.0,0.6309069985383596,0.6500253924334615,0.6117886046432577,0.4779598473775451,4.217633562313368,11.74912206644438,3.615114481982888,3.916374022148127,11.071288101072591,4.292948447354679,0.1506297700826202,0.1506297700826202,0.0
51,2.575,0.986150274864214,0.0966975650473867,0.1346858941731457,0.0,0.0,0.0,0.0,0.0,0.0,0.4779622500913689,0.6801770482069478,0.4595790866263159,0.4595790866263161,2.100137159492377,11.152452502131933,3.838181705279174,4.417529887208105,9.993756138274067,2.534648295939076,0.3620926137055824,0.2896740909644659,0.0
52,2.625,1.037253778557678,0.0897258615535456,0.1030185817837005,0.0,0.0325037540610148,0.0162518770305074,0.0081259385152537,0.0,0.0176895430755138,0.4245490338123317,0.4599281199633594,0.4776176630388731,0.5129967491899007,1.3937215756465438,10.801342211260724,3.414617860334033,3.763048254245669,11.498202999083995,2.0208962846874883,0.627174709040945,0.0,0.0
53,2.6750000000000003,0.953380648778144,0.0800028412011986,0.0832029548492466,0.0,0.0078250128779122,0.0078250128779122,0.0078250128779122,0.0,0.0,0.3577234733340982,0.255516766667213,0.3236545711118031,0.3747579244452458,1.2078974424268254,11.340814876118516,3.757903154216792,3.2210598464715354,10.803971568373264,0.8723703750860404,0.6039487212134125,0.8723703750860404,0.0
54,2.725,0.8129973863004429,0.0740102145100331,0.0801777323858692,0.0150809977741292,0.0075404988870646,0.0226214966611938,0.0150809977741292,0.0,0.0,0.3939620649303302,0.4924525811629128,0.2954715486977478,0.344716806814039,1.0993133377475124,7.695193364232578,3.8799294273441576,3.87992942734416,9.247165135170242,0.9699823568360404,0.5819894141016242,0.6466549045573603,0.0
55,2.7750000000000004,0.7508596390141961,0.0535254589464537,0.0802881884196806,0.0290848979905347,0.021813673492901,0.0290848979905347,0.0,0.0,0.0158288964063871,0.3482357209405178,0.4115513065660665,0.4906957885980023,0.3165779281277435,0.3117812928530806,8.35573864846256,3.616662997095737,3.2425254456720403,10.101713888439807,0.4364938099943129,0.4364938099943129,0.6235625857061613,0.0
56,2.825,0.7492994885514886,0.0889485906619421,0.0659941156524086,0.0491128431741077,0.0070161204534439,0.0140322409068879,0.0070161204534439,0.0,0.0152735545255741,0.2901975359859094,0.3512917540882061,0.1985562088324643,0.3054710905114836,0.5415169331794482,8.122753997691712,3.7304499841250855,3.6702814359940334,9.747304797230058,0.7220225775725975,1.0228653182278464,0.6016854813104979,0.0
57,2.875,0.7628325892445079,0.0831113294559564,0.0720298188618289,0.0812905158777693,0.0406452579388846,0.0135484193129615,0.0203226289694423,0.0,0.0442407999873245,0.2064570666075143,0.4129141332150286,0.265444799923947,0.2506978665948388,0.2323759191253407,7.95887523004292,2.1494772519094028,3.3694508273174435,8.772190946981613,0.2904698989066759,1.1037856158453685,0.9295036765013628,0.0
58,2.9250000000000003,0.7909388199138251,0.0856472220381034,0.0562059894625053,0.209427129506599,0.0261783911883248,0.0065445977970812,0.0327229889854061,0.0,0.0569883438945841,0.4844009231039653,0.370424235314797,0.4274125792093812,0.4131654932357351,0.1122497682772112,8.306482852513637,2.5256197862372542,2.9746188593460987,8.53098238906806,0.1122497682772112,0.6734986096632674,0.8979981462176898,0.0
59,2.975,0.85327453025044,0.0750307787381455,0.0776180469704954,0.5820347870824054,0.0189793952309479,0.0253058603079306,0.0253058603079306,0.0,0.0964055947500204,0.4407112902858079,0.3167612398929243,0.3993946068215134,0.3718501511786503,0.0,8.300897314190081,2.658457309773289,1.6276269243509938,9.223219237988973,0.2170169232467992,1.356355770292495,0.8680676929871969,0.0
60,3.0250000000000004,0.9239857622519988,0.0875856621758101,0.0825807671943352,1.291121424090296,0.0305952944097226,0.0244762355277781,0.0244762355277781,0.0,0.0932450434240931,0.4395837761421535,0.4795459376096221,0.3863008941855288,0.3463387327180601,0.1049511311266849,6.979250219924552,2.1514981880970425,2.72872940929381,7.608957006684661,0.0,0.9445601801401644,1.4693158357735896,0.0
61,3.075,0.9827270210080564,0.1041344111676101,0.1331951770748501,2.9549219534444187,0.0059216872814517,0.0473734982516139,0.0236867491258069,0.0,0.0644552884865708,0.3738406732221109,0.5156423078925667,0.2578211539462833,0.3609496155247967,0.1523488636955311,7.41431136651585,2.132884091737435,2.082101137172258,7.312745457385498,0.050782954565177,1.4727056823901346,0.7617443184776556,0.0
62,3.125,0.9972480554558288,0.1008288389383796,0.138346546450335,6.570835385075288,0.0286685662525099,0.0344022795030119,0.0172011397515059,0.0,0.062409263457387,0.4867922549676193,0.4368648442017096,0.4243829915102322,0.5367196657335289,0.2458546742260703,7.031443682865614,2.065179263498991,2.4585467422607032,6.982272748020397,0.049170934845214,1.425957110511208,0.9834186969042816,0.0
63,3.1750000000000003,0.9599381883387016,0.1340235742623357,0.1453815042845676,14.097446689982815,0.0166636485697196,0.0555454952323988,0.0222181980929595,0.0,0.2297447137420065,0.3869384652496951,0.495764908601172,0.4836730815621189,0.3385711570934833,0.0952689403076901,6.621191351384465,1.857744335999958,2.2388200972307186,6.57355688123062,0.0952689403076901,1.8101098658461128,1.4766685747691972,0.0
64,3.225,0.8978968876546864,0.1409085856366008,0.1453119789377446,26.363753641387135,0.0430692320055334,0.0376855780048417,0.0376855780048417,0.0,0.3164346170714242,0.4805118259232737,0.4453524240264488,0.4219128227618988,0.4336326233941738,0.0,6.001958505619604,2.493121225411222,2.308445579084464,6.925336737253385,0.0461689115816892,1.2927295242872991,1.4312362590323673,0.0155466743081198
65,3.2750000000000004,0.8495998449143525,0.2177683428925764,0.1622587652925078,34.074370887875425,0.0522052564545356,0.0730873590363499,0.0104410512909071,0.0,0.3636698480402116,0.5568694548115736,0.4773166755527774,0.5909635030653435,0.6023281858166004,0.0,5.864865068300001,1.7907984941374062,2.0594182682580184,6.984114127135879,0.0447699623534351,1.1192490588358783,1.029709134129008,0.0150755995679934
66,3.325,0.8262103697441298,0.1636293582397851,0.1967694814275897,29.10683552750365,0.0607764096624402,0.0810352128832536,0.086099913688457,0.0,0.4851204186645549,0.5292222749067872,0.4630694905434389,0.4299930983617644,0.5402477389673455,0.0,6.037276835584371,1.4767439741717172,1.997947729761735,6.167577774481874,0.0,1.2161420963767082,1.6504785593683895,0.0292512311810724
67,3.375,0.82507094315486,0.2834583364771428,0.2734066224176698,17.844172189988836,0.1032307482065469,0.083567748548157,0.083567748548157,0.0,0.652773775197663,0.5671640997619037,0.6848774034860724,0.545761680902964,0.5457616809029642,0.0421562795706389,5.143066107617949,1.770563741966836,1.812720021537475,5.269534946329862,0.0421562795706389,1.6440949032549192,1.3490009462604464,0.0
68,3.4250000000000003,0.822961730536808,0.27524273647127,0.300619726358692,9.42244392556066,0.1145585887606158,0.1384249614190774,0.1097853142289235,0.0,0.8105020154813563,0.841675169922947,0.7169825521565845,0.8001109640008259,0.8001109640008262,0.0,5.6489534412337,2.169525596995552,2.4151322683535383,4.830264536707077,0.0818688904526623,0.9414922402056166,1.1461644663372723,0.013784047882336
69,3.475,0.8293453950064961,0.3640908268574461,0.3337499246193256,4.043380872821464,0.1762023774853391,0.1947499961680064,0.1622916634733386,0.0,1.0397010326559022,0.7267813043808246,0.8781940761268299,0.8075347826453606,0.6864045652485562,0.0,4.811561413261934,2.266603310379588,1.9882485178768328,5.845450642557892,0.0397649703575366,1.0338892292959536,1.2724790514411737,0.013390245120395
70,3.5250000000000004,0.8430715632340997,0.3962219715374127,0.4035935431008994,1.4149770688046894,0.2478463018606941,0.2523525982581612,0.2658714874505627,0.0,1.245852298625901,0.8240282920045338,0.7945987101472286,0.8828874557191427,0.8632677344809397,0.0772898109383762,4.714678467240942,2.473273950028039,2.318694328151287,4.907902994586885,0.0772898109383762,1.5457962187675245,1.42986150235996,0.0520523216523758
71,3.575,0.857166922534914,0.4801768755344011,0.5052607421667954,0.5257355590999507,0.337346983755802,0.3723960210291318,0.3242035947783032,0.0,1.4115325741886122,0.7248410516103678,0.8583644032228046,0.8679017854808355,1.0872615774155523,0.0375715058649712,4.621295221391466,2.1791473401683312,1.878575293248561,4.73400973898638,0.0751430117299424,1.164716681814108,1.2398596935440505,0.1771228133634358
72,3.625,0.8770173394071521,0.5593810427134168,0.538469601864317,0.2514052729643822,0.4687216953573228,0.4175884195001604,0.5411605028216366,0.0,1.6882503245506455,1.159512585543026,1.1224081828056491,0.9554383704874534,0.9647144711717976,0.0,4.3485235632365145,2.229075103843928,2.192532889026813,4.458150207687851,0.0365422148171135,0.7673865111593847,1.388604163050315,0.1230503152004844
73,3.675,0.9061313975132996,0.6527771777551838,0.7070339821400303,0.0870649162235633,0.6177463103481395,0.59287061999855,0.6384760523061306,0.0041459483915982,1.5343198239983984,0.992795180234258,0.866439430022625,1.2635575021163286,1.1733033948223048,0.0,3.733238074434611,1.59995917475769,2.7021532729241,3.5199101844669185,0.0,0.8177569115428189,1.351076636462049,0.1676147706889008
74,3.725,0.930466054362632,0.7607946842807124,0.7921506474072492,0.0484247568909731,0.8312916599617062,0.899893398890585,0.8514686419996116,0.0,1.7657342604033508,1.168371426038037,1.1068781930886666,1.1244476882170589,1.106878193088667,0.0346065813134985,3.806723944484841,1.8687553909289212,1.764935646988426,4.256609501560322,0.069213162626997,1.0728040207184542,1.2804435085994457,0.2796776775539881
75,3.775,0.9515729017636108,0.9432427139247648,0.8966429887053123,0.0117876239253785,1.2101960563388654,1.2416297201398745,1.2219836802642434,0.0039292079751261,1.9844313754991127,1.3001446942925237,1.342912611867935,1.2744839437472757,1.223162442656781,0.0336959350594154,3.268505700763298,2.1228439087431754,2.055452038624344,3.807640661713945,0.1010878051782463,1.280445532257788,1.1793577270795417,0.2496249882973023
76,3.825,0.9615374948730104,1.0783898155833995,1.0909110326003333,0.0076543128760759,1.7834549001256994,1.622714329728104,1.6456772683563332,0.0,2.5077589758568437,1.4413365542300136,1.4496679793989729,1.1580680984853868,1.3080337515266596,0.0328207658171136,3.216435050077132,2.4615574362835195,2.4287366704664057,3.2492558158942457,0.0,1.050264506147635,0.8861606770620671,0.5194388549218701
77,3.875,0.9699347135474432,1.3115191337131606,1.3831951793928334,0.0074580593354384,2.121817880932241,2.0994437029259254,2.207585563289784,0.0037290296677192,2.5327569503149023,1.5505018509940591,1.27449628589564,1.3719100147539052,1.4287346899212272,0.0959377632695039,3.0060499157777905,2.4304233361607657,1.9827137742364145,2.910112152508287,0.0639585088463359,0.9913568871182072,1.087294650387711,0.5922688446739782
78,3.925,0.9706735038855894,1.636544212758278,1.5533049067505915,0.0,2.700529317244344,2.8495491046023784,2.9295109417213228,0.003634628959952,2.8405184495711118,1.60619845477141,1.3846538403201805,1.3609169173432638,1.5666369164765477,0.1246787873535054,2.618254534423615,2.3688969597166043,2.5559151407468623,2.0571999913328405,0.0623393936767527,1.1532787830199258,0.9350909051512912,0.7557061192651254
79,3.975,0.9685904093053987,1.7825870129117112,1.7970795902524566,0.0035437680281964,3.5402242601682525,3.4693488996043214,3.642993532985951,0.0141750721127857,3.332668492732193,1.7280503295648404,1.5891891423676658,1.6046181631673522,1.7280503295648402,0.0303904955145331,2.3400681546190563,2.066553694988257,2.309677659104523,2.674363605278921,0.0,1.2460103160958609,0.7293718923487961,1.0745210914067085
80,4.025,0.9743988919112282,1.8021811772609089,1.843171964822137,0.0103688162516279,4.900993814936138,4.389465546522493,4.627948320309934,0.0138250883355039,3.844783652811973,1.7154807687693332,1.9412019225547723,1.7681490379859353,1.6101442303361286,0.0592803030143576,1.9562499994738023,2.311931817559948,2.3415719690671275,2.045170453995339,0.1482007575358941,0.8595643937081865,1.0077651512440808,1.1677614792777304
81,4.075,0.979939527314742,1.7802917790666917,1.776154772608752,0.0033719769951639,5.654805420890019,5.28388795142198,5.472718663151164,0.0202318619709839,4.088677736343814,1.849814702977812,2.0333280663684685,1.6149175978377723,1.8498147029778125,0.0867517717846736,2.1109597800937245,2.255546066401514,2.833891211632671,1.8217872074781465,0.0289172572615578,1.0121040041545262,1.185607547723874,2.1519750735565446
82,4.125,0.9941601662826596,1.5449494847134675,1.5436037099009996,0.0032907285167066,6.430083521644777,6.5057702775290265,6.624236504130471,0.0230350996169464,4.448634628550577,2.091789551589,1.7694247234331617,1.7765883862810694,1.719279083497809,0.0846614700207253,1.2981425403177893,2.5680645906286665,2.3423006705734,1.7496703804283236,0.0282204900069084,1.2981425403177893,1.2981425403177893,2.2426650629979905
83,4.175,1.0032791922738078,1.2441061802988485,1.1836744123012273,0.0096371447505808,7.578008155540041,7.006204233672243,7.33386715519199,0.0321238158352693,4.510554402685298,1.9580701282974928,1.734290685063494,1.7832424382709309,1.8112148686751817,0.0275486057011552,1.0743956223450537,2.286534273195883,2.6446661473108994,1.1294928337473642,0.0826458171034656,1.0743956223450537,0.9642011995404328,2.4675679678034745
84,4.2250000000000005,1.0171903843872157,0.8440982839002998,0.8736032391126204,0.0094103989892114,8.25919351286459,8.299971908484501,8.039617536449654,0.0407783956199163,5.1965429679834525,2.1100286164348074,1.9871143280987984,2.034914329118357,1.7822571808721184,0.1345021673710526,0.860813871174737,2.52864074657579,2.690043347421053,0.914614738123158,0.053800866948421,1.0222164720200002,1.2105195063394738,2.409510255475716
85,4.275,1.029993303267399,0.6114602816626887,0.7004227406750886,0.003063854159985,8.655388001957865,8.486876023158683,8.725856647637523,0.0520855207197464,5.776024998621728,1.9609137986083012,2.0809697454618705,2.0009324475594914,1.827518302104336,0.0525497410470168,0.7619712451817449,2.8902357575859323,2.4435629586862877,0.6043220220406942,0.1313743526175422,1.3662932672224393,1.2874686556519137,2.5923645213449285
86,4.325,1.038941051977774,0.4529500192204506,0.4884515072134049,0.0059868477375714,8.567179112464705,8.887475466424776,8.860534651605708,0.0628619012444999,5.695380358101506,1.6421462817409385,1.785508258718322,1.8311234332111264,1.9744854101885096,0.1026835096807704,0.6161010580846227,2.721113006540415,3.26020143236446,0.5134175484038522,0.0770126322605778,1.540252645211556,1.3862273806904,2.403108463804562
87,4.375,1.044591561941602,0.3720704385732939,0.4187287893911668,0.0087761834101571,8.419285284810718,8.474867779741716,8.161850571446113,0.0702094672812568,5.5595771721282174,1.8468240319784457,1.840455673247485,1.802245520861724,1.834087314516525,0.1003498951545237,0.4766620019839875,3.2111966449447604,2.734534642960771,0.326137159252202,0.0250874737886309,1.555423374895117,1.1038488466997605,2.002134005111045
88,4.425,1.0515880516385243,0.3110828611431048,0.2841847190141897,0.0028596580662481,6.908933888055539,6.937530468718021,6.983284997777986,0.074351109722452,4.99265502049291,1.5500886534946814,1.487836097129434,1.7741978564095766,1.5563139091312062,0.1471424059542232,0.2697610775827425,2.84475318178165,3.2126091966672083,0.171666140279927,0.1471424059542232,0.9564256387024508,1.128091778982378,1.6763724106927584
89,4.4750000000000005,1.055076884550294,0.2881612386391954,0.2790132628093797,0.0027961127536362,4.921158446399809,5.15323580495162,5.069352422342533,0.0922717208699964,4.224324131074369,1.3208621562581238,1.5034698276302143,1.284340621983706,1.479122138113936,0.0719363553890055,0.2637666364263535,3.0692844965975645,3.0453057114679,0.1678514959076795,0.1198939256483425,1.4147483226504405,1.1509816862240871,1.340365152452287
