,r ($\AA$),g_full(r),O (DOL),O (DOL),O (MtBE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.2930620454637841,0.0085859360321906,0.0085859360321906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.6910303487299463,0.3959705176758512,0.3798084557298979,0.578490355168942,0.0,0.0,0.0430159494869213,0.0430159494869213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,1.2504192749170908,2.8953670928828297,3.253478285949917,3.909008312877561,0.0,0.3244686685465451,0.3244686685465451,0.5272615863881359,0.4867030028198177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.3864277617319376,10.520844046588095,10.304958053840055,11.787091609964156,0.0,3.830592486708917,3.562451012639293,4.09873396077854,3.256003613702578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.9509243607517492,17.97130712911478,17.685399970242504,18.842643232344603,0.0,14.458105095587474,13.334793672120783,12.863727591312168,11.52300105362611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4251895298290703,19.482787228026165,19.463439872288298,20.57719947402549,0.0,24.88863685560239,20.322859335885,22.10797535863164,22.657241827169067,0.0,0.0,0.0,0.0,0.0,0.2704721246585839,0.0,0.0,0.0
38,1.925,0.316449422136115,16.954277376554842,17.400925607694678,16.02864043569948,0.0,28.367669299407748,28.041978492296288,29.4750180435867,28.074547573007443,2.694351222467492,0.0,0.0,0.0,0.0,2.3094439049721363,0.0,0.0,0.0
39,1.975,0.5886499596979151,11.997228749055516,12.456425004469946,10.570991579872205,0.0,28.558519520280797,25.588185962375096,26.268887402728485,26.299828377289995,15.723640708989434,0.0,0.0,0.0,0.0,18.4051918376543,0.0,0.0,0.0
40,2.025,0.998042859830298,8.133345015591084,8.426388717716398,6.380067187771752,0.0,22.780341249336985,21.279311011977583,23.457276454420636,21.13215118478548,55.76911511710283,0.2318882125451261,0.0,0.0,0.0,56.58072386101079,0.0,0.0,0.0
41,2.075,1.321277421302327,4.76562653645073,5.044718477259447,3.940179501552115,0.0,16.8184287117241,16.6782751391264,16.6782751391264,16.033568705176975,100.26501642080372,0.1104240268951582,0.2208480537903165,0.0,0.6625441613709496,98.93992809806184,0.0,0.0,0.0
42,2.125,1.4780806002393378,3.1782967713684487,3.338968962022148,2.310652101426784,0.0,12.080694827265871,12.080694827265877,12.214330831992273,10.824516382837787,109.60582133104651,1.5793346013119105,0.105288973420794,0.0,2.000490494995086,116.76547152366066,0.0,0.0,0.0
43,2.1750000000000003,1.491967187615902,1.945884358309123,2.1088401912709718,1.5194415511580237,0.0255125421741173,8.980414845289296,8.368113833110478,7.42414977266814,8.597726712677535,106.83570312246285,4.321670022827754,0.4020158160770004,0.1005039540192501,4.020158160770004,104.7251200880585,0.0,0.0,0.0
44,2.225,1.3446240849248885,1.2731956063813086,1.236556883895516,0.8586636562865047,0.0,5.924058671462504,5.533997195152216,5.192693403380715,5.899679829193111,76.44613933444828,5.762271809129269,1.5366058157678038,0.7683029078839021,4.801893174274389,78.36689660415803,0.0,0.0,0.0
45,2.275,1.0014407147081286,0.7841540492990107,0.8411037847229613,0.3808014517965253,0.0233190632623513,4.547217336158516,3.8942835648126777,4.244069513747946,3.707731058713867,51.3514038568203,4.868737753866689,1.6535335767849124,1.194218694344659,6.246682401187453,50.52463706842788,0.0918629764880507,0.0,0.0
46,2.325,0.6966231179590998,0.5914051505052714,0.5284897089621573,0.2859604962090962,0.0,3.058787446181224,2.991806699184554,3.1927489401745626,2.589922217204539,34.0383977919436,9.587042272149493,1.055454195099028,1.2313632276155326,8.707497109566972,37.380669409757175,0.0,0.0,0.0
47,2.375,0.5974070980997298,0.3416679951707822,0.4180408411501335,0.1712795223545212,0.0,2.24666031937638,1.7545347256082204,2.482024733787238,1.9685023750726376,18.122411522819597,8.513318901417575,1.1800640061370895,2.1915474399688795,10.53628576908116,18.45957266743018,0.0,0.0,0.0
48,2.4250000000000003,0.6826540951643912,0.2621794710852796,0.3354354997708726,0.1642895120898051,0.0615706540693484,1.7855489680111074,1.6418841085159614,1.949737378862704,1.5392663517337144,11.804151658951865,11.642450951294988,1.5361567227403108,1.374456015083436,10.187144582383114,12.693505551064677,0.0,0.0,0.0
49,2.475,0.8375042802110341,0.229485449562338,0.2442909624373276,0.0883225423232135,0.0197027209797937,1.4974067944643277,1.241271421727007,1.8126503301410288,1.241271421727007,7.606444402502208,12.88438541648335,1.7075691515821274,2.2508866089037127,10.400648468727509,7.528827622884839,0.1552335592347389,0.0,0.0
50,2.5250000000000004,0.9306078193789168,0.1955934806862712,0.1742560100659507,0.0787979826356335,0.0,1.0790194758306693,1.0790194758306693,1.0979496420733128,1.0411591433453826,3.430375579727486,10.29112673918246,2.013481318535699,1.5660410255277657,11.782594382542236,4.921843223087263,0.0,0.0745733821679888,0.0
51,2.575,0.9717031488529076,0.1538767635881039,0.1709741817645598,0.0233131298090788,0.0182021744278577,1.401567430945047,0.9465130702486024,1.055726116815749,0.9465130702486024,2.509693746871297,11.759707842482644,1.7209328549974607,2.151166068746826,13.05040748373074,3.6569823168696014,0.0717055356248941,0.0,0.0
52,2.625,0.9864317339013126,0.1513612576075165,0.148070795485614,0.033650243177683,0.0350307659747161,1.050922979241485,0.8582537663805462,0.7881922344311136,1.0158922132667687,1.7249998396640542,11.591998922542455,2.138999801183427,1.6559998460774918,11.039998973849949,1.7939998332506164,0.1379999871731244,0.4829999551059353,0.0
53,2.6750000000000003,0.9861768146238188,0.0887210057072711,0.1457559379476597,0.0216027220089484,0.0337334812908965,0.8433370322724122,0.7084031071088263,1.045737920017791,0.7421365883997226,1.063115774016132,12.159386665309498,1.860452604528232,1.5946736610241978,11.428494570673411,1.3288947175201649,0.0664447358760082,0.1993342076280247,0.0
54,2.725,0.9828851444912242,0.146563113200379,0.0671747602168404,0.0416345132736709,0.0,0.6501389380427072,0.8289271460044514,0.8614340929065867,0.7314063052980453,0.8964036873013083,11.205046091266349,1.984893879024325,2.048922713831561,12.869795796254492,0.7683460176868357,0.2561153392289452,0.2561153392289452,0.0
55,2.7750000000000004,0.994836255031108,0.0883308017076465,0.1059969620491757,0.0250923295491343,0.0626922202889142,0.7836527536114276,0.6739413681058278,0.6269222028891421,0.6739413681058279,0.5556810434699216,10.619682164091843,1.914012483063062,1.7905278067364132,10.990136193071791,0.3704540289799477,0.0,0.2469693526532984,0.0
56,2.825,0.9986636777423896,0.082390738988655,0.085231798953781,0.0145271933192158,0.1058622651620809,0.6502967717099255,0.6351735909724853,0.8166517598217673,0.801528579084327,0.297880832707154,10.664133810916104,2.144741995491508,1.8468611627843543,11.081166976706124,0.7744901650386007,0.4766093323314465,0.4170331657900156,0.0
57,2.875,0.9748793390127376,0.0932654767339862,0.0768068631926945,0.0046754353737987,0.0876104659274911,0.8615029149536627,0.5548662842074439,0.6278750058136866,0.6132732614924379,0.2876101154185315,10.641574270485677,2.0707928310134265,2.128314854097132,11.446882593657572,0.2876101154185315,0.3451321385022378,0.2876101154185315,0.0
58,2.9250000000000003,0.9510202506361172,0.0954044926752151,0.0768536190994788,0.0180678459034616,0.0423204544431082,0.6206999984989212,0.6630204529420296,0.705340907385138,0.5360590896127047,0.1667169417455779,9.391721051667544,2.000603300946936,2.1117479287773206,9.947444190819471,0.1111446278303852,0.2778615695759631,0.2778615695759631,0.0
59,2.975,0.9306952460346558,0.0999100292020026,0.0666066861346684,0.008732820539066,0.1636396217935758,0.5863753114269804,0.6272852168753748,0.7363782980710919,0.6681951223237685,0.1074401557230548,10.206814793690208,2.2025231923226256,1.8802027251534608,11.012615961613117,0.2686003893076371,0.4297606228922194,0.376040545030692,0.0
60,3.0250000000000004,0.919275934347536,0.1090236387018058,0.0941567788788323,0.0042232623142437,0.1055165845897197,0.7254265190543238,0.6726682267594639,0.6462890806120339,0.7122369459806087,0.207835696919145,10.495702694416837,2.7538229841786714,1.8185623480425184,10.287866997497686,0.1558767726893587,0.41567139383829,0.207835696919145,0.0
61,3.075,0.9268442313624456,0.1103028323923991,0.1079049447316947,0.0,0.2169903880040442,0.587150461658002,0.7913767091912196,0.7530842877787415,0.5999146021288281,0.0,9.805180634407344,1.810187194044433,1.910753149269124,10.810840186654255,0.0502829776123453,0.2011319104493814,0.3519808432864175,0.0
62,3.125,0.9371983744980212,0.1230538491474219,0.1021579124997465,0.0118719114615692,0.3213330702264755,0.6303071762134708,0.6550251046924305,0.6921019974108699,0.617948211973991,0.1460604864665797,10.905849656171297,2.580401927576242,2.8238360716872086,8.763629187994791,0.0973736576443865,0.6816156035107055,0.5355551170441257,0.0
63,3.1750000000000003,0.9132583510428192,0.1461993910548716,0.1349532840506507,0.0076672965979515,0.2394555706744881,0.5268022554838739,0.8021761617595349,0.7662578261583618,0.6585028193548425,0.0,9.81042216823962,2.4054400508664484,2.782763980414125,8.112464485275073,0.1414964735803793,0.4716549119345977,0.4716549119345977,0.047646771715842
64,3.225,0.8598837207387878,0.1351612482759992,0.1308012080090314,0.0111470980224445,0.429363349982467,0.6846604769990691,0.7891002107785882,0.5802207432195501,0.6498472324058961,0.0457143615869948,9.462872848507944,2.6057186104587085,2.2857180793497447,9.325729763746958,0.1828574463479794,0.4114292542829537,0.594286700630933,0.0461808346644131
65,3.2750000000000004,0.8201383998415394,0.1585473037410383,0.1796869442398433,0.0108093334176156,0.7201787680085232,0.5401340760063926,0.6414092152575912,0.8889706667605212,0.7989483207594551,0.0443291855308276,8.511203621918915,2.970055430565451,2.349446833133865,8.77717873510388,0.0443291855308276,0.5319502263699317,0.620608597431587,0.0447815241586932
66,3.325,0.8194135384789688,0.2009848093788481,0.2214934633970979,0.0139822547592402,1.1571929150358924,0.7532670862026097,0.8951869720088985,1.0261899435223951,0.90610388630169,0.0860120520038113,8.558199174379224,3.0964338721372084,2.9244097681295846,7.569060576335392,0.0430060260019056,0.4730662860209626,0.4730662860209626,0.0289632420012834
67,3.375,0.8442414544299514,0.2687242829476645,0.2508093307511536,0.0067855210290014,1.61056951439129,1.0595852068363745,0.7205179406487352,0.7840930530589174,0.911243277879282,0.0834824708416537,7.97257596537793,3.756711187874422,3.2558163628244965,10.017896500998445,0.0417412354208268,0.3339298833666151,0.6261185313124036,0.0843343327890176
68,3.4250000000000003,0.8776160605397292,0.2899285851319034,0.286062870663478,0.0098832798478461,2.109193286503171,1.008297278425906,1.0494522693820654,1.0597410171211048,1.1523397467724643,0.0405314304871267,7.538846070605572,3.0803887170216298,2.5940115511761084,8.106286097425345,0.0810628609742534,0.689034318281154,0.7295657487682807,0.0818900330250111
69,3.475,0.8951616342158408,0.3736496739987853,0.3980589491846357,0.0128012265468801,2.7685606536831515,0.939511557567568,1.239355671684877,1.039459595606671,1.069444007018402,0.1968673476527785,7.874693906111153,3.031757153852793,3.267997971036128,7.1265979850305925,0.0787469390611114,0.4724816343666685,1.0630836773250043,0.1856177849297627
70,3.5250000000000004,0.8911295976205441,0.4543624834160682,0.4707852237805046,0.009330489599499,3.2345218791617314,1.0296075651385688,1.107313796469782,1.2724395380486089,1.194733306717396,0.0,6.390160159850867,3.175947863877973,3.137683431783058,6.734540048705105,0.0765288641898307,0.8035530739932222,0.6504953456135608,0.2448142747297135
71,3.575,0.8905077959958635,0.549960076850996,0.5304453644466058,0.0120951016424881,3.4279844035896505,1.4826268632605375,1.425965964027651,1.369305064794764,1.161548434274179,0.1488064020257632,6.026659282043407,2.901724839502382,3.236539244060349,6.13826408356273,0.0,0.7812336106352572,0.8184352111416979,0.3131767389572825
72,3.625,0.9252997596874226,0.6763816262360782,0.6263431896012667,0.0147046875111643,4.00456148380965,1.4603790732241613,1.561411587723946,1.451194299178726,1.4144552029969863,0.0723648864185785,6.259562675207045,3.6544267641382193,3.2202374456267457,5.4635489246026845,0.0361824432092892,0.5427366481393396,0.832196193813654,0.377700402072479
73,3.675,0.9777594794397326,0.767226253946289,0.7605109256841772,0.0228916608738003,4.244862307223447,1.5370869828261746,1.5996428484063092,1.4298483561173716,1.537086982826175,0.1056137990313968,4.9990531541527785,4.189347361578738,3.837301364807416,6.19600954317528,0.1056137990313968,1.1265471896682335,0.7392965932197778,0.521602844195878
74,3.725,1.0132571910015804,0.9771714076653184,0.9477582214814124,0.0194960965893322,4.4796031163335,1.7483499541418122,1.826634280446669,1.6004795600104147,1.7831429880550818,0.0685317334655315,4.968550676251035,3.495118406742108,3.7007136071387023,5.379741077044224,0.0342658667327657,0.9594442685174412,0.719583201388081,0.6576948502482906
75,3.775,1.0235416243864868,1.1121556089656988,1.172616142786438,0.0162712040720578,4.895296047668799,1.9310164340285236,2.0157101372753887,2.0157101372753883,2.1512200624703723,0.0667283722551058,5.07135629138805,3.60333210177572,3.936973963051249,5.271541408153369,0.0,0.8674688393163764,1.267839072847012,0.7976764091515969
76,3.825,1.0135126428930694,1.4288627012418469,1.3684227388248933,0.0105657329777775,5.114627509934942,2.037601604764403,2.26033538342286,2.268584782632433,2.0870980000218387,0.0649952664996619,3.607237290731244,4.062204156228877,3.867218356729891,4.679659187975669,0.1299905329993239,1.1049195304942534,0.9424313642450984,1.0724218972444235
77,3.875,1.0057929454398895,1.7108388837921995,1.7697291895891063,0.0257370794565237,5.755127730533568,1.9532067577090184,2.395290591758385,2.250608609705865,2.499783134351872,0.0633288136930221,2.628145768260417,3.8947220421208586,4.338023737972014,3.8630576352743473,0.1583220342325552,1.2032474601674212,1.0449254259348657,1.386125565015638
78,3.925,0.999445896164578,2.109063408495447,2.113478754081968,0.0451539775252222,6.040328619149666,2.507010581229432,2.812552495816768,2.554017029627483,2.7577116393523746,0.1543140982764328,3.364047342426233,3.8887152765661046,4.073892194497824,3.2714588834603737,0.1851769179317194,1.141924327245603,1.0801986879350296,2.244797739825336
79,3.975,0.9927751777500664,2.3562523586114543,2.433741778443986,0.0269042813248147,6.7372083273885,2.9026521138408485,2.757519508148808,2.6200254606510827,3.0401461613385763,0.2106390289948304,2.437394478368752,4.032232840758183,4.122506710327397,3.550772203055716,0.1504564492820217,1.4744732029638132,1.2036515942561743,2.6041247884914807
80,4.025,0.9785318712577518,2.5443987077809727,2.6143766700411746,0.0357818348896997,7.606410712557783,2.9352848391261164,3.434432261007972,2.726685916548627,2.972534646729242,0.1760899995784011,2.523956660623748,3.257664992200421,4.725081655353768,2.3772149943084155,0.2641349993676017,1.2913266635749407,0.8804499978920055,3.2711412676783613
81,4.075,0.9615925593954984,2.5151135258109183,2.375840138388164,0.0465455346742712,8.307626049951146,3.314328502867645,3.5614494877305862,3.4814985808631644,3.3288650313889963,0.1431627808920768,2.0615440448459066,4.55257643236804,4.208985758227054,2.376502162808476,0.2863255617841535,1.1166696909581997,1.402995252742353,4.1362356920186345
82,4.125,0.9485014634289436,2.274620451796002,2.1187150078240435,0.0613224141125018,8.23512850443121,3.4827287645785736,3.610405175499987,3.5536601039793574,3.645870845200379,0.3353117862582591,1.6486162824364414,4.051684083953967,4.163454679373387,1.1177059541941978,0.2235411908388394,1.3971324427427472,1.5927309847267317,4.535262986584925
83,4.175,0.9454050988666765,1.7495758512064916,1.6051870634861043,0.0598624264360651,9.126171876168064,3.870660150817872,3.8291146035819024,3.642159641020037,3.939902729544489,0.3546059334787338,0.900153523446017,4.255271201744804,4.637154514721902,1.227482077426387,0.2182190359869131,1.4457011134133002,1.745752287895307,4.464026657089431
84,4.2250000000000005,0.9516284921690872,1.2574923193665997,1.2486009595326937,0.0627838878067595,10.074399228069256,3.5497044259975548,3.995952982408675,3.975668957117262,3.705215286565067,0.2929914764315443,0.772432074228617,4.634592445371697,4.261694202640642,0.7191608966956091,0.4528050090305686,1.8378556248887787,1.1719659057261778,4.439717780620853
85,4.275,0.9654728858732494,0.9106416562825612,0.8473681897016201,0.0718969439638934,9.041024437182688,3.856799321632352,4.081339008165743,3.658676068808772,3.731321261510752,0.3382104012846963,0.8325179108546372,3.616249675274827,4.6829132485573295,0.8325179108546372,0.2081294777136593,1.8991814841371395,1.7170681911376886,4.406557653787028
86,4.325,0.9758251016641022,0.7406154905222683,0.6484931054491221,0.0847062584033998,9.26549792670105,3.671356769006197,3.910091743440693,3.4584309809970506,3.387455718327336,0.3812720721926867,0.7625441443853734,4.295665346704272,4.600683004458422,0.5591990392159404,0.2541813814617912,1.9063603609634356,1.9571966372557927,3.783152683675188
87,4.375,0.9810677917972274,0.54254189250701,0.5366189460822611,0.1211432194855071,8.228886151282847,3.379833698917707,3.222192201766694,3.2348035215387725,3.2537205011968955,0.4471286101010531,0.5713310017957901,4.0986789259263245,4.670009927722116,0.745214350168422,0.2732452617284213,2.086600180471584,1.8133549187431623,3.094920821617833
88,4.425,0.9800962156690536,0.4967693161552186,0.484031641382008,0.13026311738515,7.304299347921866,2.946375601946541,3.0696549158355166,2.9710314647243337,2.84158818514091,0.5099280710862211,0.4127989146888456,4.322247459683207,4.322247459683205,0.534210360185565,0.5584926492849088,1.8940185497488211,2.2582528862389792,2.273119593850826
89,4.4750000000000005,0.9794822657043046,0.4291185159751391,0.4110026947202517,0.1235088503288855,5.990832412755582,2.6579045211521235,2.5855805886037664,2.452986712265111,2.579553594224737,0.5223395128492456,0.4036259872016898,4.5348566797366265,4.772283731031737,0.4985968077197344,0.5698249231082679,2.0893580513969803,1.804445589842847,1.7988733223124538
90,4.525,0.9825937157141208,0.3842523485509819,0.4052921025062228,0.135893790648941,4.497532764919623,2.0454048092098422,2.3224481118982085,2.234030036572134,2.204557344796775,0.5108599907728715,0.4644181734298832,4.458414464926872,4.528077190941356,0.441197264758389,0.5340808994443657,1.834451785048036,1.9273354197340131,1.3683749752844774
91,4.575,0.9842312436736926,0.4138142911676,0.4051480232897446,0.1735601579183323,3.4021767780488847,2.220064507709865,2.029773264191876,1.8683140272675232,1.989408454960788,0.5906192865847574,0.5451870337705453,4.520509155014103,4.316064017350147,0.5224709073634393,0.2725935168852726,1.9763029974182251,2.4306255255603477,0.9026183288701124
92,4.625,0.9862398080560876,0.4430749728292117,0.4165752734973212,0.1969280119414627,2.324667777944416,1.6024408954762477,1.6588648706690732,1.7547856284968772,1.7717128210547246,0.6001459179600545,0.4445525318222626,3.912062280035909,4.178793799129266,0.4667801584133757,0.3556420254578099,2.467266551613556,2.244990285702424,0.7185420514351669
93,4.675,0.9868311008488816,0.4626964103237644,0.4471348718599607,0.2281030239058835,1.695361783284267,1.6180488680856353,1.8665546669383797,1.5241688996301557,1.7947641028253636,0.6526414919364963,0.5656226263449636,3.91584895161898,4.2421696975872285,0.522113193549197,0.522113193549197,2.6105659677459863,2.0449433414010225,0.4541852015313168
94,4.7250000000000005,0.9897735277423422,0.508813574494869,0.4844392715250549,0.2111839238427324,1.35152385056982,1.4812701402245223,1.702920051717973,1.5623615712587118,1.6218286206837842,0.6601989233692569,0.6814956628327813,3.3861815747003825,4.131567455923738,0.5324184865881104,0.5111217471245859,2.2787511225971104,2.363938080451209,0.2868540417535943
95,4.775,0.9936937164943008,0.503185871522317,0.4494861935337693,0.2440734132550076,0.9422381105295344,1.4186506383253676,1.6092156494437009,1.4451180009806912,1.5351070340087924,0.8966821651106743,0.4796206929661746,3.9829370589799726,4.483410825553371,0.6464452818239745,0.5838860610022996,2.439809612045323,2.418956538438098,0.3440757145192124
96,4.825,0.999715103164323,0.5522213315377038,0.5239772069969749,0.3220415518382711,0.8191245625424827,1.4516131488094637,1.4153228200892274,1.6071431290390494,1.5241938062499378,0.6535401189445195,0.6739632476615357,3.267700594722601,4.166318258271315,0.5105782179254059,0.7760788912466168,2.3078135450228365,2.226121030154771,0.3644903278169534
97,4.875,1.006321774979444,0.5762521160191899,0.5733899366349887,0.3187217686682984,0.6957591136918395,1.5184815692982498,1.6048166418001557,1.4626176988558384,1.5895810407704083,0.7402347571019137,0.7202284123153755,3.641154751149952,3.861224543801871,0.5401713092365317,0.7402347571019137,2.6608438566095782,2.320735995238429,0.2964205370413617
98,4.925000000000001,1.0130430897395908,0.5889155086469781,0.6300461156000999,0.3234361364950067,0.5772091051295515,1.4828302873155694,1.592300979667727,1.477854346754109,1.5923009796677263,0.9997116946209306,0.5488613225369812,3.0383394640440056,3.293167935221888,0.66647446308062,0.8624963639866854,2.763908802775515,2.5090803315976293,0.3036339240565371
99,4.9750000000000005,1.0179038346608418,0.6907329312027574,0.6824881084165171,0.3591258879742549,0.5607888866059522,1.6238495586067987,1.7652658865335176,1.4482982549736316,1.540950331891136,1.1910298882856318,0.710775901073683,2.9199442422486475,2.8815239232716907,0.6723555820967273,0.8452470174930287,3.112045837133428,2.9391544017371243,0.3493112674333434
100,5.025,1.0206999098796434,0.7066879054186819,0.7318305500841493,0.413234670064742,0.5544643880731936,1.5773555867599456,1.60603477924649,1.5821354521743691,1.6872924912916996,1.2615947805949623,0.6025527310304294,2.937444563773344,2.6738277439475304,0.5648931853410276,0.7908504594774389,3.332869793512062,3.201061383599157,0.3550757165000746
101,5.075,1.021619904805018,0.7694217667186894,0.7104386335720622,0.4411440508938685,0.548279034682379,1.4573912802241018,1.6307786672604103,1.579231065709077,1.537055755348892,0.9784103985914508,0.5722777803082071,2.5844802981660986,2.732164886632733,0.7568835158914997,0.7568835158914997,3.1752186520326364,3.452127255407574,0.5221705092213136
102,5.125,1.0211980061765198,0.7579350191668062,0.7501657535944816,0.4075653809429458,0.4824913132351514,1.6220898435429374,1.4934254933468964,1.6037092220863591,1.5991140667222152,1.086127631525016,0.6335744517229259,2.4618892981233707,2.642910570044206,0.868902105220013,1.0680255043329328,3.2583828945750475,2.9144424779254603,0.6034658115973175
103,5.175000000000001,1.0223688530662591,0.8212517144547309,0.8246383194627919,0.5512492082825174,0.5498283484625393,1.451186296761783,1.6089239377141515,1.451186296761783,1.5413220915917072,1.2782894539516558,0.781176888526012,1.988450261702576,2.680857049259722,0.923209050076196,1.171765332789018,3.515295998367049,3.035937453135181,0.5858826663945097
