,r ($\AA$),g_full(r),O (DOL),O (DOL),C (CYC),C (CYC),C (CYC),C (CYC),C (CYC),C (CYC),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.022763254697335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.4413697894642157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,8.48966008403751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,5.333591918776559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3526863377261038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0044978154276176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1707557476857903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.7707700662970053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.370878951756276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,1.4765186192354884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.7490302276771157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,1.5572685110915188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.9797962757004348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.250206306395815,0.0088144593392686,0.0176289186785372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.4807811410805727,0.4977669435011986,0.5558397535763386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441608621670294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.8412627534597131,4.145757903235899,4.1144691643435545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3747428188875644,0.2914666369125501,0.6662094558001145,0.3747428188875644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.8987382269219537,13.3865737166913,13.60820573186831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.853896600318969,4.2078258799401,3.657269222751676,3.617943747238216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.6239329703077638,22.488982651309925,23.900659001702905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.503711062959448,12.982906779539515,12.499302802078155,11.755296682906842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.2973830846435009,25.33105968668885,25.77465116578142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.57747279712341,25.16340146060704,24.141358544139795,23.013587050106995,0.1388355058941904,0.0,0.0,0.0,0.0,0.2776710117883809,0.0,0.0,0.0
38,1.925,0.2681010615612693,21.89667494006116,21.72079803291207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.86137215017453,31.329475303048262,32.46629724574158,28.5877282647879,2.5026294103854734,0.0,0.0,0.0,0.0,2.897781422551601,0.0,0.0,0.0
39,1.975,0.5330548000232908,15.497128223676883,16.04612159933274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.85862968199205,29.318633187743256,29.12804618977308,27.47629220736503,16.0170083142601,0.0,0.0,0.0,0.0,16.76780557899104,0.0,0.0,0.0
40,2.025,0.9917247346853008,10.370581293944714,11.0687649278556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.38376868391082,24.68592195136944,23.809677475739434,24.20247672343565,58.91988715443142,0.0,0.1190300750594573,0.1190300750594573,0.1190300750594573,51.18293227556669,0.0,0.0,0.0
41,2.075,1.5759169345285582,6.746741051748703,6.8278316893899165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.438728756982997,19.107782004350994,18.01426435952368,17.55383587749113,97.26551682937712,0.4534522929108491,0.0,0.0,0.793541512593986,103.61384893012904,0.0,0.0,0.0
42,2.125,2.099066626241083,4.11856141267165,4.195881088754348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.033321809426898,12.319918931437211,13.444900392882476,12.758936087123177,124.08886423214484,0.972822106349567,0.2161826902999038,0.2161826902999038,1.297096141799423,119.9813931164466,0.0,0.0,0.0
43,2.1750000000000003,2.186450660305879,2.543838680827119,2.4700329163930634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.664694531644738,8.957521761036586,8.197965822235238,8.459881663201227,101.94082004142652,2.579474191331641,0.8254317412261257,0.5158948382663285,2.5794741913316424,109.47288468011492,0.0,0.0,0.0
44,2.225,1.7356091624010035,1.6268011259998691,1.7067306610923485,0.0,0.0,0.0,0.0,0.0,0.0,0.0250277096307672,6.957703277353289,6.907647858091755,7.032786406245591,6.8575924388302205,82.52318439162977,5.126888397090501,0.9859400763635572,0.7887520610908457,5.028294389454143,80.74849225417535,0.0,0.0,0.0
45,2.275,1.1122680653013803,1.1378287677465786,1.169310196103203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.123100837885538,5.123100837885538,4.596426919972072,5.362498073300748,59.508349154878175,7.827564151909496,1.7918520347744649,1.5089280292837597,6.884484133607147,56.86772510363162,0.0,0.0,0.0
46,2.325,0.7572578264039292,0.7320199907267131,0.7707739902357746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713229368345132,3.713229368345133,3.644465861523928,4.148731578212773,31.332543360652643,9.661619998817962,2.167092336183467,1.6253192521376,9.029551400764449,37.833820369203046,0.0,0.0902955140076444,0.0
47,2.375,0.7004556144433802,0.5075730037635543,0.5158262233369454,0.0,0.0,0.0,0.0,0.0,0.0,0.0219662613261025,2.5920188364801007,3.426736766871997,3.4047705055458946,2.7018501431106143,23.623715589799367,11.94165843000847,2.163343918479795,1.5576076213054528,10.12444953848544,20.59503410392765,0.3461350269567673,0.0865337567391918,0.0
48,2.4250000000000003,0.8328026061161576,0.4037364613726101,0.3958200601692259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275539078215941,2.7390748163710392,2.338748497055273,1.6013052772630705,13.5293695475297,12.533342341576596,3.403092953673113,2.490068014882765,11.70331966994901,13.11435821171591,0.0,0.1660045343255177,0.0
49,2.475,1.0726441275652367,0.300191635157834,0.3039915292737559,0.0,0.0,0.0,0.0,0.0,0.0,0.0404542573571998,1.699078809002394,1.7597601950381938,2.022712867859993,1.9418043531455933,6.533975506481068,12.430489987939591,3.1076224969848987,2.151430959451084,11.15556793789451,7.251119159631427,0.0796826281278179,0.2390478843834537,0.0
50,2.5250000000000004,1.2442512229805522,0.2628646658635789,0.1752431105757193,0.0,0.0,0.0,0.0,0.0,0.0,0.0583020348646143,1.4381168599938186,1.5158529064799715,1.7879290691815046,1.3798148251292048,4.59349365599992,14.699179699199725,3.5982366971999373,2.067072145199964,12.78522400919977,4.899726566399915,0.0765582275999986,0.2296746827999958,0.0
51,2.575,1.1771577890856335,0.2071193008825429,0.2773292333850997,0.0,0.0,0.0,0.0,0.0,0.0,0.0373732871475149,1.0090787529829033,1.40149826803181,1.0651386837041756,1.364124980884295,2.5764917654726203,11.778248070731957,3.165404169009218,1.1042107566311228,13.176915029131376,3.7543165725458154,0.3680702522103742,0.3680702522103742,0.0
52,2.625,0.9824403900799796,0.2060605055526275,0.1384996840599627,0.0,0.0,0.0,0.0,0.0,0.0,0.0359631449791723,1.3845810816981363,1.2766916467606186,1.312654791739791,1.2227469292918605,2.054258432901208,13.600607555759712,2.3376044236462024,2.4084409213324505,12.679733085838484,2.3376044236462024,0.2833459907449943,0.1416729953724971,0.0
53,2.6750000000000003,0.8436812539736538,0.1626471506122175,0.1593942075999732,0.0,0.0,0.0,0.0,0.0,0.0,0.0173156658805622,1.16014961399767,1.0735712845948593,1.177465279878232,1.16014961399767,1.159624896849775,12.755873865347532,3.478874690549327,1.5689042722085194,11.800888656177134,0.9549852091704032,0.3410661461322868,0.1364264584529147,0.0
54,2.725,0.7988694840627721,0.1410600352459209,0.159868039945377,0.0,0.0,0.0,0.0,0.0,0.0,0.0333721519282657,1.0845949376686377,0.9677924059197074,1.0345367097762388,1.0679088617045045,1.0517284244059515,12.094876880668425,2.8265201405909943,1.7747917161850435,13.015139252023634,0.8545293448298356,0.6573302652537195,0.7230632917790916,0.0
55,2.7750000000000004,0.8232634249805453,0.1420681763195202,0.1148636319179099,0.0,0.0,0.0,0.0,0.0,0.0,0.0321804183348962,1.0297733867166792,0.9171419225445429,0.8527810858747503,0.9332321317119904,0.5070853798226074,12.80390584052084,2.535426899113036,2.345269881679558,13.05744853043214,0.1267713449556518,0.5070853798226074,0.5070853798226074,0.0
56,2.825,0.8543155620860033,0.172083980069165,0.1516672366711285,0.0,0.0,0.0,0.004515304068853,0.0,0.0,0.1086798956264713,0.7452335700100898,1.1489017537655553,0.9004905637621919,0.9470676618878228,0.3058092301177766,11.865398128569735,2.0183409187773265,2.0183409187773265,11.31494151435774,0.4892947681884427,0.366971076141332,0.6116184602355533,0.0
57,2.875,0.876478167841081,0.1774150986699228,0.1210928451239155,0.0,0.0,0.0,0.0,0.0,0.0,0.1049326908372534,0.9893653707512458,1.1392692148044647,0.8244711422927049,0.809480757887383,0.3543181768530635,11.751552865626609,1.594431795838786,2.066856031642871,11.04291651192048,0.4133712063285741,0.4724242358040847,0.590530294755106,0.0
58,2.9250000000000003,0.9197730365192052,0.1333123658966562,0.1169884027256371,0.0,0.0,0.0,0.0,0.0,0.0,0.2461988496716273,1.0572068250605178,0.8689371164880967,0.9413485428621048,0.7820434048392869,0.5134628415611479,12.094902490107035,2.8525713420063754,2.3391085004452274,12.494262477987933,0.0570514268401275,0.7416685489216579,0.4564114147210203,0.0
59,2.975,0.9653140352507712,0.1130891564621144,0.1420189406733531,0.0,0.0,0.0,0.0,0.0,0.0,0.2099938182605989,0.937972388230676,0.8399752730423962,0.6999793942019967,1.1619657943753154,0.0,10.313029741242737,2.5368950165623856,2.261145558240387,10.754228874557931,0.2205995666575989,0.4411991333151979,1.3235973999455934,0.0185708818869917
60,3.0250000000000004,0.9693701681308992,0.1144691716670978,0.1500818028524171,0.0,0.0,0.0,0.0,0.0,0.0,0.2843531628489346,0.8801407421514643,0.9884657565701062,0.8936813689537946,0.9072219957561248,0.0,12.428654116441892,2.4537257053919603,1.9203070737850123,10.508347042656885,0.3733930421248636,0.8001279474104219,1.0668372632138958,0.0
61,3.075,0.9351696081694232,0.1747813992135456,0.1575494302769989,0.0,0.0038109691607831,0.0,0.0,0.0,0.0,0.2489735467886994,0.7731283821333297,1.0089980580384132,0.7731283821333297,0.9565825745039503,0.1548639286245499,10.63398976555244,2.890793334324933,2.322958929368249,10.892096313260025,0.1548639286245499,0.5162130954151665,0.5678344049566831,0.0
62,3.125,0.8884331304606581,0.1740003908326979,0.138246885867075,0.0,0.0,0.0,0.0,0.0,0.0,0.3298856724828133,0.926217465047898,0.7612746288064923,0.6217076135253022,0.964281196488223,0.0499826776489111,10.546344983920248,1.999307105956445,2.799029948339023,10.546344983920244,0.0999653552978222,0.4998267764891112,0.4998267764891112,0.0
63,3.1750000000000003,0.8308357507590084,0.1847269349170357,0.1408542878742398,0.0,0.0,0.0,0.0,0.0,0.0035746934832938,0.553115072434278,1.0201900224898917,0.8481097777325601,1.0570643606521768,0.9956071303817012,0.0,10.652586580215736,3.728405303075508,2.759988341237713,9.63574877028606,0.1936833923675587,0.8231544175621246,1.016837809929683,0.0
64,3.225,0.7677525186371296,0.2439467478110334,0.2081380508846432,0.0,0.0,0.0,0.0,0.0,0.0034647117272178,0.5599240667470748,0.8458427391285605,0.9768887973034076,0.833929461112665,1.0007153533351982,0.0469310952141326,9.480081233254785,3.05052118891862,2.815865712847957,8.400666043329734,0.0938621904282652,0.8447597138543874,1.1263462851391832,0.0158033279802691
65,3.2750000000000004,0.72636012095693,0.2365549964594444,0.2756191243151325,0.0033597286199522,0.0,0.0,0.0,0.0,0.0,0.7508993465593369,1.028154489904323,0.8433177276743319,0.9010792158712037,1.109020573379943,0.0910181026132529,10.194027492684333,3.3676697966903597,2.730543078397589,9.647918877004816,0.1365271539198794,0.8191629235192767,1.0011991287457829,0.0
66,3.325,0.7339732101157915,0.2652868566679677,0.2631814054245712,0.00651889154555,0.0,0.00651889154555,0.003259445772775,0.003259445772775,0.0,1.1319553715651758,0.9526357087429695,1.1655778083443398,1.031088061227685,1.1207478926387884,0.0,9.845600426544996,3.532053964679815,2.781492497185356,10.507860544922467,0.0883013491169954,0.7947121420529594,0.7947121420529595,0.0148670638819431
67,3.375,0.8014862771178461,0.3617049404760538,0.3269649179444555,0.0031635867340263,0.0,0.0,0.0031635867340263,0.0,0.0031635867340263,1.2509552004817206,1.0986650021622066,1.131298616087817,1.0769092595451333,1.2509552004817204,0.0,8.14192185820778,3.5995865057339653,3.4710298448148937,9.813158450155692,0.0428522203063566,0.9427488467398468,1.0713055076589169,0.0577193171473375
68,3.4250000000000003,0.916502192845582,0.4365464773851888,0.3889232253068043,0.0061437901637289,0.0030718950818644,0.0,0.0,0.0,0.0061437901637289,2.049143059300937,1.3203241361475115,1.3942622877717716,1.0879470881855495,1.09850968127473,0.1664408607992013,7.781110242362654,3.911360228781229,2.7878844183866223,7.822720457562452,0.0832204303996006,0.957034949595408,1.2899166711938106,0.126104427697354
69,3.475,0.9822195593954904,0.4857581571201333,0.506961886200774,0.0029841327077086,0.0029841327077086,0.0059682654154172,0.0089523981231259,0.0059682654154172,0.0,2.739640419479378,1.2826031926401569,1.292864018181278,1.3544289714280056,1.2415598904756713,0.0808428678997432,8.326815393673549,3.6379290554884474,3.759193357338061,8.003443922074574,0.0808428678997432,1.1318001505964053,1.172221584546277,0.0952790943104116
70,3.5250000000000004,0.9317456337845916,0.586348050113509,0.5863480501135092,0.0087002348066674,0.0,0.0,0.0029000782688891,0.0029000782688891,0.0087002348066674,3.559935308238921,1.60546102136265,1.4558839075710983,1.406024869640581,1.5755455986043394,0.0785657567389966,7.345898255096182,4.00685359368883,3.6925905667328416,8.013707187377651,0.0785657567389966,1.099920594345953,1.1784863510849497,0.1719628042909671
71,3.575,0.8475698981771672,0.7667602603524742,0.6975514957600898,0.0,0.0,0.0056390515834134,0.0084585773751201,0.0028195257917067,0.0028195257917067,3.703425438746839,1.493003972688515,1.551172958637419,1.3475815078162567,1.6190367755778057,0.0381917584513,6.110681352208015,4.5066274972534135,4.162901671191713,6.53079069517232,0.0763835169026001,0.802026927477302,1.260328028892903,0.2957912720871098
72,3.625,0.8195724082164062,0.7723252861765505,0.7670111213634092,0.0054845668168439,0.0082268502252658,0.0027422834084219,0.0054845668168439,0.0137114170421098,0.0082268502252658,4.064000727818078,1.631257832743682,1.5746824165791613,1.3860976960307594,1.9518518576759667,0.0,6.203294368342156,3.305947298098511,3.8259839517319847,6.76047649723516,0.0742909505190677,0.7800549804502109,1.1886552083050828,0.362736936973203
73,3.675,0.8533842728718946,0.9910216231586232,1.0168743611540656,0.0,0.0,0.0106726888547926,0.0026681722136981,0.0053363444273963,0.0080045166410944,4.623901397535607,1.8899279521673304,1.7247886165410582,1.779835061749816,1.95414880491088,0.1445664217603725,4.951399945292761,4.264709441930992,3.433452516808848,6.39706416289649,0.1445664217603725,1.2649561904032594,1.5179474284839112,0.3529338408792768
74,3.725,0.9042171465039897,1.2481033033889748,1.2044867900985,0.0051940504555168,0.0077910756832753,0.0103881009110337,0.0051940504555168,0.0025970252277584,0.0103881009110337,5.17033761747575,1.8663222142529043,2.134215355054758,2.1074260409745724,2.187793983215129,0.0351778871760008,4.467591671352107,4.432413784176107,4.784192655936115,5.558106173808135,0.0703557743520016,0.9849808409280232,1.2664039383360302,0.7818105945849979
75,3.775,0.9378062961775504,1.5533772051623471,1.553377205162347,0.0126434322751318,0.0025286864550263,0.0050573729100527,0.0151721187301582,0.0101147458201054,0.0126434322751318,5.851594422707982,2.1215290328985823,2.0258863305957777,2.138918615135456,2.434541513162308,0.2055132446175976,4.178769307224485,4.966570078258613,3.6992384031167584,4.589795796459684,0.0685044148725325,1.1303228453967868,1.781114786685847,0.7035683017265711
76,3.825,0.9616686115135336,1.9839652556096945,1.7930463857835814,0.0073890300849927,0.0049260200566618,0.0147780601699855,0.0123150501416545,0.0073890300849927,0.0123150501416545,5.885930849626346,2.523751644875753,2.3713102703530566,2.1087723475639684,2.540689575378275,0.200175542302531,3.469709399910533,4.337136749888167,3.8700604845155975,3.469709399910534,0.0667251807675103,1.734854699955268,1.9683928326415536,1.1346685076434273
77,3.875,0.9880165513633936,2.317546332259432,2.207482258954803,0.0095994377196083,0.0119992971495104,0.0119992971495104,0.0215987348691188,0.0119992971495104,0.0143991565794125,6.419919342302563,2.615828318136138,2.549813723356677,2.59107284509384,2.574569196398974,0.097521560469658,2.6980965063272064,3.803340858316665,5.10362833124544,3.738326484670226,0.195043120939316,1.4303162202216515,2.177981517155697,1.5105890693157236
78,3.925,1.0092016684103946,2.765047309592709,2.70914198147526,0.0093564271255273,0.0233910678138183,0.0140346406882909,0.0163737474696728,0.0140346406882909,0.0116955339069091,7.13407775879463,2.678295257811288,3.1849997660458564,2.758724544832648,2.77481040223692,0.2217898520892046,2.5981096959021137,4.277375718863237,4.530849835536615,2.9149523417438354,0.1901055875050325,1.64758175837695,1.425791906287745,2.11249984482633
79,3.975,1.0031722624677897,3.2100656171585897,3.186494690185419,0.0068418965878496,0.0182450575675991,0.0091225287837995,0.020525689763549,0.0136837931756993,0.0045612643918997,7.136098141127209,3.262216293086725,2.78386246164853,2.9250160512532437,3.2465325609084235,0.1544609987256973,2.1624539821597626,4.572045562280637,4.633829961770917,2.594944778591715,0.0617843994902789,1.791747585218089,2.038885183179204,2.413374298457017
80,4.025,0.9664205839726692,3.4052395093543124,3.202649310696523,0.0177945854914483,0.0222432318643104,0.0111216159321552,0.0333648477964656,0.0200189086778793,0.0111216159321552,8.665466939162991,3.2658026328531258,3.380526378737897,3.1357823875170534,3.151078886968356,0.1205178744648093,1.898156522820745,4.850844447208571,4.30851401211693,2.018674397285555,0.1506473430810116,1.7475091797397346,1.928285991436948,3.439371075606686
81,4.075,0.935522833109518,3.1623875562652137,3.2058423498131856,0.0217007412392261,0.0151905188674582,0.010850370619613,0.0195306671153035,0.0130204447435356,0.0238708153631487,8.85705737952289,3.656241041252079,3.521930145859145,3.417466116109087,3.589085593555612,0.3233410444644694,1.4991266606989044,3.99767109519708,4.585563903314294,1.7636784243516526,0.1763678424351651,1.7636784243516523,1.6754945031340691,4.295816733599375
82,4.125,0.9274733264372496,2.7168314309828365,2.6963115561264703,0.012706714452443,0.012706714452443,0.0254134289048861,0.0148245001945169,0.012706714452443,0.0211778574207384,9.13881565013306,3.684653959336519,3.575425087024171,3.793882831648865,3.801164756469688,0.2008045935439113,1.233513931769741,3.729228165815498,4.962742097585242,1.6924958598701108,0.1434318525313652,1.635123118857564,1.979359564932841,4.404821463044863
83,4.175,0.942079312505317,2.2555277315262368,2.199440008184553,0.0206736468266988,0.0330778349227181,0.0186062821440289,0.0372125642880578,0.0206736468266988,0.0289431055573783,9.781370231531769,4.130069843401131,3.8812704552444375,3.689339498666416,4.080309965769792,0.2520305490418466,0.9801188018294028,4.396532911063318,4.564553277091215,1.484179899913095,0.4200509150697443,2.044247786672753,2.044247786672753,4.894021783945247
84,4.2250000000000005,0.96368390025077,1.593490147592824,1.5517620913547128,0.0302808461795009,0.0222059538649673,0.0242246769436007,0.0322995692581342,0.0262434000222341,0.0181685077077005,10.17594823749708,4.296665729202382,4.359137444166551,3.949600646068102,4.22031141091284,0.0820335651044661,0.820335651044661,4.457157037342653,4.7852912977605175,1.0937808680595484,0.2461006953133983,2.132872692716118,2.1328726927161186,4.788081555077003
85,4.275,0.983608938203945,1.17942538162089,1.1730569940311448,0.0216895598806012,0.0414073415902386,0.0374637852483111,0.0295766725644561,0.0394355634192749,0.0394355634192749,10.386781373758907,4.203527710006865,4.257766777232762,4.312005844458656,4.413704095507209,0.3205035790621071,0.9080934740093036,4.51375873845801,5.208183159759239,0.5875898949471966,0.1869604211195625,2.0832732639036977,2.163399158669224,4.892585247723598
86,4.325,0.9857993679921456,0.8860120021407443,0.8237920581701865,0.0366025871733734,0.0134851636954533,0.0308232313038933,0.0288967793474,0.02311742347792,0.0500877508688267,10.492465037624571,4.193011596474976,4.318868184678806,4.067155008271145,4.570581361086465,0.4436093459816019,0.3653253437495546,4.618756131690796,4.697040133922842,0.7045560200884268,0.391420011160237,1.9049107209798224,2.1658573950866464,4.375915961501588
87,4.375,0.970980826347438,0.6725134298540064,0.6676489565820066,0.0357707464095395,0.0433014298641794,0.0357707464095395,0.0225920503639196,0.0451841007278393,0.0188267086365997,9.574293712975663,4.09772002725733,3.663996106520774,3.8776213212119135,3.819359899023421,0.2040130608620625,0.280517958685336,4.539290604180889,5.176831419374834,0.8415538760560084,0.3060195912930938,2.6266681585990552,2.218642036874932,3.357628219774481
88,4.425,0.9541820587026484,0.5836963709518601,0.5278231949136979,0.0294458472604372,0.0294458472604372,0.0331265781679919,0.0404880399831012,0.0386476745293239,0.0460091363444332,8.068232932646493,3.600646697000673,3.613302748659726,3.657598929466412,3.6196307744892535,0.2492858660116565,0.5235003186244788,4.337574068602827,5.509217638857612,0.6232146650291414,0.4237859722198162,2.1937156209025805,2.044144101295585,2.8708574324566887
89,4.4750000000000005,0.9475644778712288,0.5381793942059786,0.5242309001876815,0.0269920521830589,0.0341899327652079,0.0431872834928942,0.048585693929506,0.0503851640750433,0.0431872834928942,6.719526049153072,3.3164511623812576,2.5492124606363378,3.211265211335583,3.056579989209592,0.3168703338096069,0.4631181801832716,4.606807160770433,5.094299982015982,0.5606167444323815,0.3656196159341618,2.2180923366672465,2.3887148241031886,1.7975054179293772
90,4.525,0.9446010165755911,0.5149834685483877,0.5252149281884224,0.0422381510568451,0.0475179199389508,0.0545576117817583,0.0475179199389508,0.0527976888210564,0.0492778428996527,5.180021863840636,2.5597537948651734,2.886530875060726,2.499239520754885,2.874428020238669,0.5006180858214713,0.6913297375629843,4.314851120651728,5.149214597020848,0.5006180858214715,0.6674907810952952,2.6699631243811823,3.003708514928829,1.4850696860738992
