,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TEGDME),O (TEGDME),O (TEGDME),O (TEGDME),O (TEGDME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
21,1.075,7.895725032422211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,4.915305766133689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.315771833544953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0039438236254416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1657471694480076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.7840481786063322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.861336501323597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,2.661675011319684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.9089808127857072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.7745835967740018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.4630028242681743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.1834444633940182,0.0087279537839437,0.0,0.0275787398104524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.441409695855011,0.1560792471889036,0.1560792471889036,0.5191388563072403,0.3633971994150682,0.6748805131994127,0.3633971994150682,0.3114833137843441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.8461692034710281,0.9604317578054912,0.8442504967806336,4.968243173128743,6.167474283883959,5.433251154850151,4.429812878503952,4.478761087106206,0.0,0.0412294526303597,0.0824589052607195,0.0,0.0824589052607195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.9854574996969794,2.9407225568922954,2.779787491589732,18.306914825650495,20.31790168149845,19.27773606640469,15.648713809299732,16.642649841500454,0.0,0.3504557995469806,0.467274399395974,0.3504557995469806,0.3893953328299784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.7213408480826232,5.445970207910211,5.2037733117515605,33.21393124636297,37.60892807356439,38.24303209340937,28.09736777588968,28.665874828164487,0.0,1.141891827779199,1.031386167026373,1.1050566075282569,0.8840452860226056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3679954449162336,6.313227489046944,5.946103149081598,42.983842119719625,44.86891664159649,44.744626013780426,36.292863322288575,36.76931072891678,0.0,1.8844371340419068,2.4078918934979927,1.8146431661144289,2.896449668990339,0.1374729671298809,0.0,0.0,0.0,0.0,0.1374729671298809,0.0,0.0,0.0
38,1.925,0.3630357320176285,5.691000735395952,5.46709250974103,43.62972762304904,44.90717460300316,44.43550187194317,33.44945784433758,33.508416935720064,0.0,2.284438025335739,2.681731594959345,3.178348556988853,2.880378379771149,1.825945193724656,0.0,0.0,0.0,0.0,2.086794507113893,0.0,0.0,0.0
39,1.975,0.7679813802465522,4.419749281116369,4.165672785009411,35.9408835578292,36.2956247461922,36.35163651277583,27.76316563661924,28.21125976928827,0.0,2.7992957499526447,2.642031943775529,2.925106794894337,3.113823362306876,12.76219614976707,0.0,0.0,0.0,0.0,13.505625051695253,0.0,0.0,0.0
40,2.025,1.3726175221050885,3.007011535176795,2.782188242827129,27.19058067653422,27.687861054681157,28.04306132478611,20.015535220414144,20.8502558551608,0.0,2.453340942517213,2.7226100703544684,2.0943154387342067,2.5430973184629653,40.07304865456798,0.0,0.0,0.0,0.1178619078075528,43.25532016537191,0.0,0.0,0.0
41,2.075,1.789469681705086,1.9859582999475316,1.6915439967208088,19.95906545809987,19.85757868458411,18.978026647447507,13.582313188859494,13.768372273638391,0.0,1.766650526662844,1.9376167066624732,2.108582886662104,2.0230997966622883,67.23806281096569,0.4490020888879176,0.2245010444439588,0.0,0.0,74.30984571095038,0.0,0.0,0.0
42,2.125,1.7743905927644152,1.1433087952122525,1.0616438812685198,14.595738871690006,13.240996258185076,14.41833210087388,9.9186512774468,10.063802271750898,0.0,1.0867715470973598,1.2497872791619635,1.3041258565168317,1.5758187432911728,73.52997490247371,0.4281221246141116,0.0,0.0,0.3210915934605837,80.05883730283887,0.0,0.0,0.0
43,2.1750000000000003,1.4908900283207884,0.842872502844458,0.7210701180403453,10.791847022720816,9.837361266075035,9.791176471398629,6.958509064578898,6.835349612108477,0.0,1.0373815419624088,1.2189233118058305,0.829905233569927,1.0373815419624088,61.0954856607255,0.7151645478680242,0.1021663639811463,0.0,1.1238300037926092,67.73629931949999,0.0,0.0,0.0
44,2.225,1.2094653793251966,0.5353933407257284,0.5400489349929085,7.91442522052117,7.66434115221474,6.943510602390317,5.134078814055552,5.413584537456857,0.0,0.5452059009503998,0.9912834562734548,0.941719283459782,0.8425909378324363,46.95829887937812,1.3667696139527932,0.0976264009966281,0.1952528019932562,2.0501544209291898,49.69183810728371,0.0,0.0,0.0
45,2.275,0.9470491515258732,0.3607099869339466,0.3072714703511398,6.388383515139754,5.009393240946591,5.0938212169176,3.602260308096424,4.0525428466084765,0.0,0.3318668901629701,0.2607525565566193,0.4029812237693208,0.2607525565566194,29.602239271896085,1.8676491654193137,0.1867649165419313,0.0933824582709656,3.1750035812128337,33.71106743581858,0.0,0.0,0.0
46,2.325,0.8234877289228058,0.2302419946402284,0.2558244384891427,5.079185906453687,4.109155706812665,3.920538723549133,3.1391255071716424,3.206488715480047,0.0,0.5674054853669449,0.2496584135614556,0.2496584135614556,0.3858357300495225,14.30549587349388,2.9505085239081144,0.5364560952560206,0.5364560952560207,3.218736571536125,18.865372683170044,0.0,0.0,0.0
47,2.375,0.8285858655162381,0.1225833308080269,0.1716166631312377,3.834675263468636,2.9437911113496584,3.2020184018189277,2.672652456356929,2.543538811122294,0.0,0.2175068331260375,0.4132629829394714,0.2827588830638488,0.261008199751245,8.996873552031548,2.827588830638489,0.3427380400773925,0.8568451001934817,3.855802950870668,11.995831402708728,0.0,0.0,0.0
48,2.4250000000000003,0.8385937584318225,0.1214999931671889,0.1254193477854854,3.195186740329543,2.266353385582581,2.216815606662743,2.0929711593631493,1.7338222621943244,0.0,0.1669042089760689,0.4172605224401722,0.1460411828540603,0.1669042089760689,6.4106389356717415,3.616257861148161,0.9040644652870402,0.9862521439494984,4.602510005097659,6.328451257009288,0.0,0.0,0.0
49,2.475,0.8711099326236532,0.0827772387306478,0.0940650440120997,3.126842328771894,1.6169222688706375,1.6763679405202938,1.937928895778778,1.700146209180156,0.0,0.0801144744078437,0.280400660427453,0.1802575674176484,0.2203148046215702,2.919322893194914,2.998223511929912,0.4734037124099857,0.4734037124099857,4.339534030424872,4.339534030424872,0.0,0.0,0.0
50,2.5250000000000004,0.9318481808799962,0.0614561566072935,0.0831465648216324,2.981391178392827,1.564944794788573,1.439292293017228,1.359331610071827,1.4392922930172278,0.0,0.1539462818904873,0.1347029966541764,0.1731895671267982,0.21167613759942,2.1983995557846114,3.3355027742938934,0.6064550498716169,0.6822619311055691,6.671005548587787,2.1983995557846114,0.0758068812339521,0.0758068812339521,0.0
51,2.575,0.9834319218408236,0.0590927553352272,0.0625687997667111,2.5811613947393623,1.2960725301244458,0.9775462303480994,1.3290235266530337,1.350990857672092,0.0,0.1110195113809336,0.2035357708650449,0.0925162594841113,0.1665292670714004,1.2391571724841586,5.393978280225161,0.4373495902885265,0.728915983814211,4.592170698029529,0.8018075821956321,0.0728915983814211,0.0,0.0
52,2.625,0.9880203607943516,0.0702426649374379,0.0501733320981699,2.251247627988391,1.0569237690086335,0.7292774006159567,1.2048930966698426,1.1520469082194116,0.0,0.0178051004163762,0.1602459037473858,0.1246357029146334,0.089025502081881,0.9819782653880214,5.050173936281248,0.6312717420351566,0.2805652186822917,6.102293506339845,1.6132500074231777,0.0,0.0,0.0
53,2.6750000000000003,0.9294729596407142,0.0515362954071369,0.0611993507959751,2.442679206968406,0.6920924419743821,0.6920924419743819,1.2009839434261336,1.0483164929906077,0.0,0.1371658323913029,0.1543115614402158,0.0857286452445643,0.0685829161956514,0.1350875622035559,3.714907960597791,0.8105253732213359,0.607894029916002,5.606133831447575,0.607894029916002,0.0,0.0675437811017779,0.0227443344526395
54,2.725,0.8557875934894768,0.0434546512825103,0.0434546512825103,2.0302081109954053,0.8140447981285922,0.6669282683463161,1.0102001711716262,0.9415457906065644,0.0,0.066089271840653,0.0991339077609795,0.1156562257211428,0.0495669538804897,0.3254395961850341,4.686330185064489,0.1952637577110204,0.5857912731330612,5.988088569804626,0.4556154346590476,0.0650879192370068,0.0,0.0
55,2.7750000000000004,0.8093900063465811,0.0269375576097673,0.0688404250027388,2.061741344890444,0.6998571537701506,0.5579942171951201,1.1349034926002446,0.917380323185198,0.0,0.079661495153671,0.1274583922458736,0.0955937941844052,0.0637291961229368,0.0627636022422862,5.397669792836623,0.5021088179382903,0.5021088179382903,6.27636022422863,0.1882908067268588,0.2510544089691451,0.1255272044845725,0.0
56,2.825,0.7833208301664586,0.0346566384562821,0.0317685852515919,1.9255270526174528,0.6296747233677922,0.4836631933114927,0.7848119740526112,0.72093192965298,0.0,0.0614933174660185,0.1076133055655323,0.0922399761990277,0.1076133055655323,0.0605616005347152,4.723804841707787,0.3028080026735761,0.7873008069512978,6.904022460957537,0.0605616005347152,0.0,0.1211232010694304,0.0
57,2.875,0.7715735754436516,0.0278847520327833,0.041827128049175,1.771025538695848,0.4846089782501069,0.4229314719273662,0.8106186545274516,0.7313190035410708,0.0,0.1335894120462883,0.0890596080308588,0.1187461440411451,0.0593730720205725,0.0,4.911772321701914,0.3508408801215653,0.4093143601418261,6.665976722309741,0.0584734800202608,0.0584734800202608,0.0,0.0
58,2.9250000000000003,0.7824830402837326,0.0431033572281177,0.0161637589605441,1.6939717800141685,0.4681831552802977,0.4852079972904903,0.7831427324688617,0.8257048374943432,0.0143401553855084,0.071700776927542,0.0143401553855084,0.0430204661565252,0.0573606215420336,0.0564915212156392,5.536169079132638,0.6778982545876703,0.7343897758033094,5.536169079132638,0.1129830424312784,0.0564915212156392,0.1694745636469175,0.0190226551032254
59,2.975,0.8180785336253767,0.0494792227930551,0.0520833924137422,1.6868835725601563,0.5595516240687344,0.4032063173436467,0.8228700353951978,0.7323543315017259,0.027724390423315,0.0693109760582877,0.1386219521165755,0.0831731712699452,0.0831731712699452,0.0,4.750952358904453,0.3276518868209966,0.7645210692489921,5.406256132546443,0.1092172956069989,0.0546086478034994,0.0546086478034994,0.0183886263011783
60,3.0250000000000004,0.8582315013363352,0.0352631269992213,0.0277067426422453,1.5997452252366906,0.4854948195991943,0.4218233678484807,0.5491662713499086,0.7083449007266939,0.0134077383975061,0.0938541687825429,0.0670386919875306,0.1206696455775551,0.0670386919875306,0.1056367267682301,5.176199611643275,0.4753652704570356,0.5810019972252658,5.915656699020889,0.1584550901523452,0.2112734535364603,0.052818363384115,0.0
61,3.075,0.893322689175157,0.0414383585266945,0.0487510100314053,1.3786963722762808,0.4544306478452553,0.5006439340668066,0.6315815783612023,0.6238793639909437,0.0389258064712297,0.0648763441187163,0.0778516129424595,0.0908268817662028,0.0778516129424595,0.0,5.31592831809118,0.5111469536626135,0.7156057351276589,6.031534053218837,0.1022293907325227,0.0,0.1022293907325227,0.0516362738904068
62,3.125,0.9147083168752902,0.0283220945896248,0.0495636655318435,1.2006929993985125,0.4325477886031901,0.4027169066305563,0.5593290369868837,0.5071249935347746,0.0251267813538723,0.1005071254154892,0.0376901720308084,0.1005071254154892,0.0628169533846807,0.0494921450909606,4.949214509096063,0.6928900312734488,0.7423821763644093,6.186518136370076,0.0494921450909606,0.1979685803638425,0.0,0.0666628893061918
63,3.1750000000000003,0.9015846734628172,0.0548742045954887,0.0411556534466165,1.1631744448996555,0.3612342996582783,0.3540096136651127,0.5490761354805829,0.4985033335284239,0.0243416343462039,0.1217081717310199,0.0730249030386119,0.0851957202117139,0.1338789889041219,0.0958912868183793,5.561694635466003,0.623293364319466,0.623293364319466,5.321966418420054,0.0479456434091896,0.0,0.0479456434091896,0.0161449615561557
64,3.225,0.871873223995756,0.0465376649601533,0.0531859028116038,1.01534883716064,0.4131419406377782,0.3781299117701699,0.5041732156935599,0.4971708099200382,0.0117963604953941,0.0825745234677592,0.1179636049539418,0.1061672444585476,0.0589818024769709,0.0,4.321757526948963,0.6041166435520055,0.6505871545944674,7.017047167411757,0.0,0.1394115331273858,0.1394115331273858,0.1564823331021677
65,3.2750000000000004,0.8501464650762238,0.0558721951732004,0.0558721951732004,1.0253244499539986,0.2987700383971913,0.3259309509787542,0.5703791642128206,0.5228475671950853,0.0571946139938679,0.1029503051889622,0.1143892279877358,0.137267073585283,0.137267073585283,0.0,5.137116238721958,0.8561860397869929,0.7660611934936252,5.137116238721956,0.0450624231466838,0.1351872694400515,0.1351872694400515,0.0455222437910377
66,3.325,0.8291657704331905,0.083391529483132,0.0771371647718971,0.9090819063380348,0.3030273021126778,0.2898522020208223,0.4413658530771611,0.5138289035823667,0.0998773933886435,0.1331698578515246,0.0665849289257623,0.1331698578515246,0.0998773933886435,0.0,5.6832590850776965,0.7869127963953734,0.9617823067054564,5.770693840232739,0.0,0.1748695103100829,0.1311521327325622,0.2060962085797405
67,3.375,0.7989541176587813,0.0829624922960004,0.0930798694052688,0.8823461592937814,0.3452658884193059,0.3452658884193059,0.4667483306409135,0.4283854541498794,0.0861689225798609,0.1184822685473087,0.1400244991922739,0.1400244991922739,0.0969400379023435,0.0848633328438024,5.261526636315744,0.7637699955942219,0.6789066627504194,6.067728298331869,0.0,0.2545899985314073,0.2545899985314073,0.328628926675745
68,3.4250000000000003,0.7796249383143976,0.084487609453482,0.0707338125657058,0.8878152151511906,0.3538843864588662,0.3104249004025143,0.415969366539369,0.4159693665393688,0.1150482438568702,0.1045893125971548,0.1673429001554476,0.1255071751165857,0.0836714500777238,0.0,5.356240554217927,0.6592296066729759,0.947642559592403,5.150231302132621,0.0,0.288412952919427,0.1648074016682439,0.3468523121844419
69,3.475,0.7835329681590308,0.1011607848795697,0.1164303373142217,0.7116727018287364,0.2774317312213718,0.3317118525472923,0.4885210919332848,0.3196496033637545,0.1422417538335662,0.1219215032859138,0.0711208769167831,0.1219215032859138,0.1727221296550446,0.0400247359271939,4.5227951597729215,1.2407668137430123,0.9605936622526547,5.403339350171189,0.0800494718543879,0.3602226233447456,0.2401484155631638,0.3908537987992305
70,3.5250000000000004,0.8137955252646771,0.1317001457604162,0.1391198722821298,0.6447369667041536,0.3399522188076443,0.3106459930483648,0.3575359542632124,0.3340909736557886,0.1283612688256449,0.1974788751163768,0.1579831000931015,0.1481091563372826,0.1481091563372826,0.1166920625687682,4.356503669234017,0.9724338547397352,1.2447153340668615,4.434298377613197,0.0388973541895894,0.2722814793271257,0.0777947083791788,0.5501197235384785
71,3.575,0.8636835344767727,0.2164090933662477,0.1767340929157689,0.6781147648601127,0.3419066041311491,0.3248112739245917,0.3874941513486358,0.3248112739245917,0.1631946522025984,0.1919937084736452,0.1823940230499629,0.2399921355920564,0.2015933938973274,0.1134508277344267,4.95401947773663,0.7185219089847028,1.3235929902349788,5.3700058460961975,0.0378169425781422,0.453803310937707,0.1890847128907112,0.5475738930447329
72,3.625,0.9226147732840826,0.187678404015537,0.22275847953246,0.6817067825795443,0.2660319151529932,0.2882012414157426,0.3491668886383034,0.2826589098500552,0.3267843957768735,0.2520908195993024,0.2894376076880879,0.2520908195993024,0.2707642136436951,0.0367809276631979,4.487273174910146,1.4344561788647188,1.2137706128855317,4.193025753604562,0.0,0.1839046383159895,0.2206855659791874,0.569729063191167
73,3.675,0.9709711078240963,0.2576967802023192,0.2372175658816052,0.5500399024403672,0.2696274031570428,0.3019826915358879,0.2965901434727471,0.3720858163567191,0.2543623440244594,0.2180248663066794,0.3542904077483542,0.2271092357361245,0.1998561274477895,0.0357869098735711,4.330216094702116,0.9304596567128498,1.3599025751957037,4.437576824322827,0.0357869098735711,0.2147214592414269,0.3936560086092826,0.5904840129139239
74,3.725,0.9845646228989386,0.2890304536778151,0.3587964252552187,0.5458705634358101,0.2676865263002534,0.3831591454885979,0.2571890154649494,0.3149253250591217,0.380211767446378,0.2829482920531185,0.2741061579264586,0.2122112190398389,0.2210533531664989,0.0348326495898725,3.761926155706238,1.3236406844151565,1.741632479493628,4.528244446683436,0.0348326495898725,0.1393305983594901,0.3134938463088528,0.7389497805851533
75,3.775,0.9746653805266952,0.3719983436350565,0.3315637410660286,0.557059580379294,0.224868087492559,0.3781872380556674,0.3373021312388385,0.3679659613514602,0.3960351596853216,0.2496743398016158,0.2152364998289791,0.3099405597537299,0.2582837997947749,0.0,3.561185724443105,1.5262224533327595,1.4923063988142546,4.137758651257704,0.0,0.3052444906665522,0.1695802725925289,0.730925583092696
76,3.825,0.964721444228804,0.4600099435020105,0.5135727451426556,0.4529890874180374,0.3086299276914099,0.4081879688821877,0.2488951029769435,0.3036520256318712,0.3689774172747422,0.4025208188451732,0.3270481653117033,0.3354340157043111,0.3102764645264877,0.0,3.832079512743189,1.4205122331720452,1.7508639153050782,4.492782877009257,0.0330351682133033,0.2973165139197306,0.2312461774931237,0.7786861078850084
77,3.875,0.9750232393199352,0.5679442616287025,0.5863640755193632,0.4801767922455776,0.2522140726946467,0.3686205677844836,0.2716151552096195,0.2813156964671059,0.4493962286400921,0.3350044613498867,0.3431753018706156,0.3350044613498867,0.3595169829120736,0.064376319254228,3.733826516745229,2.220983014270866,2.1566066950166385,3.315380441592745,0.064376319254228,0.2253171173897981,0.2253171173897981,0.8020763858103305
78,3.925,0.9943969490174756,0.6882180639912482,0.749559239260033,0.4065637624007063,0.2458292516841477,0.3687438775262217,0.274194165340011,0.3545614206982901,0.6211916090634042,0.3344877894956792,0.3504157794716639,0.4300557293515875,0.4141277393756028,0.1254932543562433,2.8235982230154755,1.788278874576468,2.007892069699893,2.9177181637826584,0.0627466271781216,0.4705997038359126,0.1568665679453041,0.7500783034609136
79,3.975,1.0085655894210224,0.8460605249704305,0.8650239505301123,0.4056188137978216,0.2949955009438703,0.3549164620730938,0.3549164620730939,0.3134327197528622,0.7221362220821889,0.5435433929650879,0.4193049031444963,0.3649505638479876,0.4037750919169224,0.0917670663447551,2.7836010124575714,1.7741632826652665,2.049464481699532,2.783601012457572,0.1223560884596735,0.3364792432641023,0.2447121769193471,0.7313273348495285
80,4.025,1.0149375224175932,0.8891931208952023,0.9631739885536832,0.3866130484801118,0.3641355456615006,0.3686310462252228,0.3416580428428895,0.2877120360782227,0.7194529940633928,0.4846841223163908,0.46196455408281,0.4846841223163907,0.4392449858492292,0.0895013294050153,2.744707435087136,2.058530576315352,2.565704776277105,2.685039882150458,0.0,0.2983377646833843,0.3580053176200611,0.6630404606942963
81,4.075,1.0093610176470733,0.9299670453496732,0.9632792977204084,0.3070101797637712,0.267537442365572,0.3640263560056145,0.3464829171619705,0.263151582654661,0.7905680815829069,0.4359207178821633,0.4137552576508668,0.5171940720635836,0.4433092046259287,0.1164246395987289,2.3867051117739435,2.2702804721752137,2.415811271673625,2.3867051117739444,0.0291061598996822,0.26195543909714,0.2910615989968222,0.5390579614073803
82,4.125,0.999795520467226,0.8520220875404719,0.8276398974359752,0.2996127064083781,0.3081730694486175,0.3638154292101734,0.3980568813711309,0.3381343400894552,0.9013074547175114,0.3605229818870045,0.5407844728305069,0.5984681499324277,0.555205392105987,0.1704290459829475,2.130363074786845,2.3291969617669515,2.4428163257555835,1.6474807778351606,0.0568096819943158,0.2840484099715792,0.2272387279772633,0.5451990399556536
83,4.175,0.9911362568438334,0.640000984940374,0.7047944730851645,0.3008359662031517,0.275766302352889,0.4261842854544644,0.2590531931193806,0.313370798128283,1.0558185352322145,0.6194135406695653,0.5067928969114627,0.534948057850988,0.4997541066765812,0.1663714055517428,1.3864283795978567,2.911499597155501,2.9114995971555016,1.7746283258852575,0.0277285675919571,0.3050142435115286,0.4713856490632714,0.7376364868595122
84,4.2250000000000005,0.9913769671163896,0.5242289122718372,0.5681298556640602,0.2243983219860333,0.3345574982337224,0.4079969490655146,0.3631172846683081,0.3182376202711017,1.2784113633257428,0.6735715785264672,0.5154884529539291,0.5636007085629625,0.5154884529539291,0.216609289322055,1.1371987689407883,2.247321376716322,3.086682372839286,1.1101226077755315,0.1895331281567981,0.3790662563135963,0.487370900974624,0.5744014190058068
85,4.275,0.998096009575866,0.4288003777323445,0.4351062656401733,0.1833141770611872,0.3028669012315267,0.4104643529848322,0.3626432633166964,0.3467029000939845,1.1949754598995312,0.6914745638744482,0.5236409318660873,0.5504943129874251,0.503500896025084,0.238018605393676,1.0578604684163375,2.2479534953847176,2.829776753013705,0.7933953513122534,0.1851255819728591,0.5289302342081689,0.5289302342081689,0.4987056493962732
86,4.325,1.0160649237188688,0.3105109438415866,0.3597983952450128,0.202461147408778,0.3737744259854363,0.3659874587774064,0.4166027456296008,0.3932418440055111,1.187183050611916,0.6624612602862073,0.5640759246001369,0.4853676560512806,0.5575169022210655,0.2583857300846294,0.7751571902538882,2.764727311905534,2.8422430309309235,0.6459643252115737,0.1291928650423147,0.5426100331777217,0.8268343362708142,0.5046431503897757
87,4.375,1.040378028290856,0.3239252997785924,0.3624591644362688,0.1788349620613968,0.2777649410740844,0.4185499112075248,0.3728899208939765,0.342449927351611,1.16020279233252,0.6922756992923325,0.5640764957196783,0.5512565753624128,0.4935669337547185,0.2020108662356977,0.4292730907508577,2.3483763199899848,3.080665710094392,0.3030162993535466,0.2525135827946221,0.7827921066633285,0.5050271655892443,0.3826353780102183
88,4.425,1.0675962844285682,0.2872182862527789,0.3154692652284622,0.2082918449896641,0.4054251982834537,0.3979862038195371,0.3049987730205798,0.4649371539947864,1.109068240018454,0.6453899927791003,0.54513523661924,0.54513523661924,0.5889966924391788,0.1974714894057854,0.3702590426358477,2.493077553748039,3.307647447546904,0.2468393617572317,0.2962072341086781,0.789885957623142,0.7158341490959726,0.2659820061384049
