,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DFEP),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.199102144220222,0.0176802019556621,0.008840100977831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.4439026766156818,0.4326529729536177,0.3910517255542313,0.0740053038570059,0.0,0.1328679840017322,0.0442893280005774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.8360084415658363,4.346096645002997,3.765571100363605,0.6977761357786029,0.0,0.459351397691791,0.6263882695797149,0.41759217971981,0.7934251414676392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.9775954808968684,13.373651255683114,12.351178195691832,2.161589036032398,0.0,3.667908375072413,4.535585625089542,4.732785000093438,4.614465375091102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.741297781702117,22.231998037534307,20.74612679416821,3.1669085791333966,0.0,14.662249632107098,17.04999511926959,15.52034566655612,15.333803050371548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4277265110035628,24.282584014083163,22.78193758608676,4.004295609923527,0.0,27.42801656441922,28.66510494039173,28.134924207832093,27.99354267914952,0.2784787686171898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.458999274222764,20.839046151530077,19.610625958196227,2.891269232575989,0.0,33.29847362408334,35.47813201840902,33.43260644834954,36.551194612538616,3.6988142449163326,0.0,0.0,0.0,0.0,3.170412209928285,0.0,0.0,0.0
39,1.975,0.8072422465028177,14.961696218087338,14.02808637407869,1.9482666964254056,0.0,30.869339925064686,34.50102697507231,31.47462110006596,32.23918679480441,21.585465826201546,0.0,0.0,0.0,0.0,23.09142855826212,0.0,0.0,0.0
40,2.025,1.2734450836978404,10.053488818895906,9.057248420647444,1.1544827401692928,0.0,25.454708514016065,27.636540672360297,26.757747164138333,25.30319239190883,63.38883581250112,0.0,0.0,0.0,0.0,67.44763132591926,0.0,0.0,0.0
41,2.075,1.6578774769363656,5.714544439457919,5.492251913824357,0.8198160610549956,0.0,18.52843651183281,20.317787078396112,17.72034270757843,19.45197228812356,113.46546554541632,0.7958499587353849,0.1136928512479121,0.0,0.4547714049916485,111.6463799254498,0.0,0.0,0.0
42,2.125,1.84009223094887,3.63942666896433,3.758328392524243,0.3218732250610395,0.0,12.961162730210676,13.263865044504335,12.96116273021068,14.392119125053467,130.9541912856133,0.8672462999047235,0.2168115749761808,0.1084057874880904,1.8428983872975373,135.94085751006543,0.0,0.0,0.0
43,2.1750000000000003,1.7468454399876912,2.1564629838739355,2.1071160048379185,0.3686942413117717,0.0262677765330181,9.482667328419554,9.929219529480864,9.456399551886536,9.745345093749735,112.68876132664803,2.793936231239206,0.3104373590265785,0.3104373590265785,3.1043735902657845,109.37742949703114,0.0,0.0,0.0
44,2.225,1.4479163002224298,1.527794431845472,1.3533240800606492,0.209708683796111,0.0,6.300229592974916,6.32533010928159,6.6767373375750125,6.14962649513488,78.21473005500562,6.427253417920811,0.3955232872566652,1.1865698617699956,5.141802734336648,75.24830540058063,0.0,0.0,0.0
45,2.275,1.0657627348574996,0.9652319948046708,0.9877841442159948,0.10430803912816,0.0,4.8979105047658384,4.801873043888075,4.081592087304865,5.162013522179683,56.3710793091588,6.715346696225303,0.5674940870049545,0.9458234783415908,6.431599652722823,51.64196191745088,0.0,0.094582347834159,0.0
46,2.325,0.8292925844248206,0.6866456790196898,0.613230732206264,0.0614585128624113,0.0229878475994981,3.563116377922208,3.815982701516686,3.494152835123713,3.8849462443151808,31.96704019215052,8.603027813751558,1.7206055627503123,1.4489310002107896,8.87470237629108,33.14429662982178,0.0905581875131743,0.0,0.0
47,2.375,0.7702311759624554,0.5131881695737323,0.4552475697831495,0.0441735898513586,0.0,2.3351971845268253,2.709709940535844,2.4673781572358893,2.8639210753630846,17.70423937497181,9.546403584543627,1.214996819851007,1.4753532812476515,11.19532784005571,19.26637814335167,0.0,0.0,0.0
48,2.4250000000000003,0.7860822766991027,0.440638384562971,0.3652137962143543,0.0353090347295648,0.0211310992458472,2.641387405730909,1.8172745351428647,2.1765032223222693,2.218765420813964,11.737365126556986,10.65519671063329,1.5816307617346297,1.1654121402255164,11.820608850858807,10.571952986331466,0.0,0.1664874486036451,0.0
49,2.475,0.8595627288302243,0.2591444755699601,0.2934430091012784,0.0542349847556063,0.0,1.92716717465715,1.906881204397601,1.7445934423212095,2.1300268772526394,7.751699544633706,10.70853339155584,1.838031850789433,1.838031850789433,11.667506531098152,6.952555261681777,0.0799144282951927,0.0799144282951927,0.0
50,2.5250000000000004,0.939121913749526,0.2050450503110467,0.2196911253332644,0.0130271001482963,0.0,1.4617909493328731,1.9100735071282888,1.5787342252795034,1.325357127395138,4.222951631406077,12.054607384195528,1.9963044075737824,2.07308534632662,11.440359874172826,4.069389753900401,0.2303428162585133,0.1535618775056756,0.0
51,2.575,0.9871460666225332,0.1549111876266,0.1689940228653819,0.0062630604018232,0.0,1.3118702672434464,1.461798297785554,1.4805393016033173,1.2931292634256826,2.73164328374068,13.51056002498768,2.141017708877829,1.9933613151621168,12.772278056409116,1.9933613151621168,0.0,0.2953127874314249,0.0
52,2.625,0.9678127213495822,0.1422904534946625,0.1084117740911714,0.0120534941630929,0.0,1.2443378339676074,1.298439478922721,1.33450724222613,1.4066427688329486,1.4208512816494423,12.219321022185207,1.5629364098143868,1.847106666144276,11.224725125030588,1.4208512816494423,0.3552128204123606,0.0710425640824721,0.0
53,2.6750000000000003,0.889411413312441,0.1304962384942203,0.1565954861930644,0.0174106806628535,0.0520981136757694,1.180890576650774,0.920400008271927,1.007230197731543,1.0072301977315428,1.3682332884545525,12.10886460282278,2.53123158364092,1.1629982951863698,13.54550955570006,0.9577633019181868,0.2736466576909104,0.6841166442272762,0.0
54,2.725,0.82055298041335,0.1194638805916704,0.1194638805916704,0.005592545350388,0.0334692329430915,1.1546885365366566,1.071015454178928,1.1044846871220193,1.071015454178928,0.5273939736487148,14.701107015457914,1.9118031544765892,2.439197128125304,10.87750070650474,0.5933182203548041,0.0,0.0,0.0
55,2.7750000000000004,0.7921643495326566,0.1091347343312285,0.0909456119426904,0.0,0.0645480650916325,0.9843579926473964,0.9359469438286722,0.9843579926473962,0.8552618624641314,0.6357006410539573,14.303264423714024,1.5892516026348935,1.5892516026348935,13.28614339802771,0.4449904487377701,0.1907101923161872,0.4449904487377701,0.0
56,2.825,0.789486845454859,0.0877548710412866,0.1170064947217154,0.0104072614842451,0.0934251857854928,0.8252558077718537,0.794114079176689,0.934251857854929,1.245669143806572,0.3066988422251028,12.69733206811926,2.453590737800822,2.20823166402074,11.163837856993736,0.4293783791151439,0.4907181475601644,0.6747374528952261,0.0
57,2.875,0.7914105737777122,0.0988506704260647,0.0932020606874324,0.0100484265787494,0.0751699603679525,0.9321075085626112,0.8268695640474772,0.8118355719738868,0.7366656116059342,0.2961240862979948,14.865429132159337,2.5466671421627574,1.480620431489975,13.384808700669364,0.1776744517787968,0.4737985380767917,0.5330233553363907,0.0
58,2.9250000000000003,0.8116337589561277,0.1091430018457066,0.1036858517534212,0.0097078351256078,0.101670904027039,0.7262207430502785,0.7407451579112841,0.9150381362433512,0.8569404767993287,0.0,12.53060882099481,2.0598261075607893,1.4876521887939038,11.15739141595428,0.2288695675067544,0.6293913106435748,0.4577391350135089,0.0
59,2.975,0.8591588578899464,0.1160557687548118,0.1450697109435147,0.0187685421776886,0.196564385960947,0.856459110258412,0.6598947242974648,0.8704994235413367,0.9687816165218106,0.2765516252697307,12.389512812083936,1.769930401726276,2.820826577751253,11.559857936274746,0.1106206501078923,0.829654875809192,0.829654875809192,0.0
60,3.0250000000000004,0.9108514385719336,0.1530695564998455,0.1045975302748944,0.0045383090444684,0.1086401365106596,0.8419610579576127,0.9913412456597696,1.0049212627236022,0.9506011944682724,0.0,12.036833306578764,2.1933785136432418,1.9258933290526032,12.4648096019238,0.0534970369181278,0.374479258426895,0.4814733322631508,0.0
61,3.075,0.9467849254084608,0.1036925848195438,0.1456633929607876,0.0,0.3285497650875653,0.8016614268136589,0.801661426813659,0.9462233234521876,0.5913895771576174,0.1035429562700206,11.182639277162238,2.536802428615504,2.1744020816704324,10.872010408352171,0.0,0.4141718250800825,0.5177147813501031,0.0
62,3.125,0.9490287521949844,0.1290870483771929,0.1553825582318063,0.0,0.2926708635286897,0.8907374107394915,0.7889388495121209,1.030710432427126,0.6489658278244862,0.0501280793922657,11.579586339613376,3.0578128429282083,2.155507413867427,12.2813794511051,0.2005123175690628,0.5012807939226571,0.8020492702762515,0.0
63,3.1750000000000003,0.908501584437961,0.1644220781938512,0.1435798429298418,0.0123588918617775,0.4684336910276828,0.9861761916372278,0.9491945844508312,0.6779961317505937,1.1217754179873465,0.0485617064063786,11.70337124393725,2.573770439538068,1.9424682562551452,10.829260528622424,0.0,0.5341787704701646,0.485617064063786,0.0
64,3.225,0.8445851487501641,0.2154771957278811,0.161607896795911,0.0079857658228199,0.7049281207674635,0.8721992002716067,0.8005115947698309,1.0155744112751584,0.9319388715230866,0.0470676197738932,10.496079209578204,3.106462905076957,3.2947333841725306,10.919687787543246,0.0470676197738932,0.6118790570606124,0.5648114372867192,0.0316986010722138
65,3.2750000000000004,0.7850883371816244,0.1436518125955468,0.2176542615084045,0.0154875834410093,0.9963877239144738,1.0195595314473684,0.845770974950658,1.2165198954769738,0.8110132636513159,0.0456414390799442,10.360606671147352,2.60156202755682,2.7384863447966525,10.178040914827571,0.0,0.5476972689593305,0.7302630252791074,0.0307381120334318
66,3.325,0.7492190982854909,0.2449428265511886,0.3061785331889858,0.0037563255911138,1.2139288517990476,1.2026887698379454,0.8542462290437743,0.9329268027714902,1.034087540421411,0.0442791107558575,9.298613258730091,3.099537752910026,2.8781421991307385,9.962799920067956,0.0442791107558575,0.6199075505820058,0.885582215117151,0.0
67,3.375,0.739222052215394,0.2951244655658449,0.3217676464849834,0.0036458535092038,1.865527150605636,1.2109562205685709,1.0582230035599225,1.080042034561158,1.080042034561158,0.0429768792448578,11.002081086683614,3.738988494302636,3.1373121848746246,8.767283365951009,0.0429768792448578,0.8165607056522997,0.9884682226317312,0.0723590313816484
68,3.4250000000000003,0.7502000326768319,0.3343325310641084,0.427866036778472,0.0141607364118229,2.1080707045685068,1.27119841481518,1.1122986129632828,1.3665382959263193,1.154671893457122,0.0,9.431265006886369,4.00620106487209,3.296769626300992,7.553358257727579,0.0417312610924175,0.7094314385710985,0.7094314385710985,0.0562094537163175
69,3.475,0.7750279926385761,0.4388407673532197,0.4349743288743371,0.0,3.087202416215808,1.4612758103421493,1.2657529906484812,1.2142996170448843,1.1731369181620066,0.0,7.337562914500806,3.810668032945166,4.053902162707622,7.580797044263264,0.0405390216270762,0.8513194541686012,1.0134755406769058,0.1501598454145783
70,3.5250000000000004,0.8014578743761435,0.4565401408152013,0.5354483133017794,0.0,3.830312528049936,1.4501183200189045,1.1300922080147324,1.400114240018253,1.59012974402073,0.1181914618197227,7.997622249801229,5.042835704308167,3.388155238832052,8.234005173440677,0.0,0.9455316945577824,0.98492884849769,0.1724630514308199
71,3.575,0.8271985361555014,0.5607605111570222,0.6173845367135945,0.0032493428713117,4.433703352959675,1.6529157236911056,1.4681780839844527,1.662638757359877,1.3612247136279696,0.0,6.319971884701291,4.9410689280391935,3.3706516718406907,6.434880464423133,0.1532114396291223,0.9575714976820142,1.149085797218417,0.2708559379157698
72,3.625,0.8659497911901834,0.797667050506519,0.8225386289187487,0.0063206508487929,4.813443033507108,1.6454598975053771,1.4184999116425676,1.6360032314277593,1.4657832420306522,0.0745070660660742,6.333100615616313,3.4645785720724502,4.097888633634082,5.96056528528594,0.0372535330330371,0.8195777267268157,1.1921130570571867,0.5394159527946905
73,3.675,0.907191120767044,0.924763361469088,1.0215610217350113,0.0030749164939413,5.355038033810301,1.7390071965466445,1.646996233766398,1.6285940412103497,1.812615966770841,0.1087402287402903,5.908219094889109,4.168375435044461,3.6971677771698697,6.30693326693684,0.0362467429134301,0.9786620586626134,1.2686360019700544,0.5858657221925854
74,3.725,0.9384725027111278,1.1053619577909206,1.157517544840416,0.008978770935795,6.134687685658032,1.9971319035061912,2.006087651952407,2.185202620876729,1.8180169345818689,0.1411208846070415,5.009791403549977,4.480588086273574,4.268906759363009,4.692269413184134,0.0352802211517603,1.5523297306774573,1.4464890672221749,0.914765734149216
75,3.775,0.9408292991812056,1.3973557592498072,1.4612442406223085,0.0058283342047023,6.130219499835954,2.232341667081087,1.9707391279700224,2.2672220056292294,2.0753801436144483,0.0687036971402797,3.984814434136223,4.568795859828599,4.46574031411818,4.981018042670278,0.0343518485701398,1.4427776399458745,1.133611002814616,0.9600991146287048
76,3.825,0.9330741940154488,1.6929515907427402,1.8317704299459616,0.0170308725695646,6.930779095540384,2.276285291182379,2.182855671021908,2.4631445315033216,2.429170124172241,0.0669192871672793,3.6136415070330834,4.684350101709555,4.517051883791356,3.4463432891148877,0.1672982179181985,1.3718453869292278,1.7399014663492642,1.3858438092448306
77,3.875,0.9365603762197524,2.010237196202872,2.213903919097361,0.0110628051761602,6.902041600155692,2.888264410616711,2.8055061180488954,2.813781947305678,2.474472947777639,0.1304070064704949,3.586192677938615,4.6946522329378215,4.205625958673466,3.031962900439009,0.0652035032352474,1.173663058234454,1.4344770711754442,2.0858467616581726
78,3.925,0.947875887539182,2.441229246388327,2.559426565580313,0.0080870619814963,8.751963628769913,3.218464044128292,3.0248722219250856,3.161999762652356,2.9442089626737507,0.2542114837011791,2.955208498026206,4.798241754859752,4.798241754859754,3.209419981727385,0.0953293063879421,1.0803988057300102,1.747703950445606,2.824860262761062
79,3.975,0.9593899643810444,2.7805956941955268,3.0258554631840795,0.0078848960947167,8.454529293354256,3.389676395754124,3.2795708979802103,2.9728484398957287,3.4054057525789694,0.1239282658927191,2.602493583747105,5.545789898699185,4.802220303342873,3.129188713791162,0.2788385982586181,1.4251750577662712,1.239282658927192,3.3280429975832986
80,4.025,0.9625695395342588,2.9900535464944955,3.1932330886900258,0.0179438404053883,9.542100520454849,4.004000379161922,3.5360999517119653,3.43638346717345,3.1679160088005243,0.0906513495804683,1.84324410813619,5.136909809559871,4.2908305468088335,2.296500856038531,0.2115198156877595,1.6317242924484303,2.266283739511708,3.917433321155953
81,4.075,0.961797092968912,2.834184196189763,2.9508693590289257,0.0175062077242512,9.27944434930752,3.928797002731007,3.898863311281625,3.6369435110995583,3.838995928382869,0.1179206026793721,1.503487684161995,5.276946969901903,4.9231851618637865,1.8572494922001104,0.2063610546889012,1.94568994420964,1.886729642869954,4.7649549654113645
82,4.125,0.9594961651930932,2.464060281000497,2.6273248541848284,0.0122031371803976,9.99795519567097,4.447592924882121,3.863344264799085,4.2065903525978685,4.045921971075034,0.0863094611486304,1.4097211987609644,5.121028028152072,4.775790183557549,1.582340121058225,0.2301585630630146,1.524800480292471,1.7261892229726097,5.367039349385247
83,4.175,0.9622976703676194,1.893779792428545,1.98619196051735,0.0262077204087768,10.736624949619156,4.44151218035374,4.134955159879885,4.427253714285189,3.9923704991943727,0.2246788592620211,0.8425457222325792,4.802510616725701,5.279953192657496,1.3480731555721268,0.308933431485279,1.713176301872911,1.8536005889116745,5.835058996727058
84,4.2250000000000005,0.9673756482179056,1.3234886960800951,1.466038367891093,0.011632316795973,10.825123489692508,4.657239623539738,4.580663187278249,4.531932727839118,4.643316635128558,0.2193925446610194,0.8227220424788222,4.7717878463771735,4.552395301716153,0.7130257701483127,0.466209157404666,2.11165324236231,2.495590195519094,5.125222519727763
85,4.275,0.9786579732223576,1.0474538141886978,0.96442393867374,0.0136341721628674,11.137755239846456,4.92971462081116,4.446942568290343,4.691728397737517,4.718926823231648,0.2946496095197475,0.5357265627631773,5.625128909013366,4.687607424177804,0.6696582034539715,0.4285812502105418,1.7411113289803255,2.089333594776391,4.708380494978822
86,4.325,0.993275993331942,0.7325870877740606,0.793740013329306,0.031081766055255,11.333470733139078,5.002405311872054,4.338075257174569,4.577234076865665,4.623737180694486,0.3140469349479014,0.7589467594574284,5.181774426640375,5.731356562799199,0.7327761815451033,0.680435025720453,1.9889639213367103,2.198328544635312,4.036144026192672
87,4.375,1.003344857727075,0.6220245896365033,0.6134869972297278,0.0303753930359314,9.764453817598854,4.27844086821652,4.291425514250561,4.3693333904548055,4.031732593569739,0.2046065435667071,0.5882438127542828,5.166315225059359,5.140739407113523,0.5626679948084444,0.3069098153500608,1.9949137997753932,1.9949137997753932,2.9626192379709915
88,4.425,1.0158053881891884,0.4852454338634686,0.5603571349283297,0.0509019925443838,8.675575724801027,3.712664081206,3.592081828995891,3.7888212931281737,3.547656788707957,0.6000265181747068,0.5750254132507607,5.025222089713174,4.725208830625822,0.400017678783138,0.425018783707084,2.2250983382312035,2.37510496777488,2.331990817446853
89,4.4750000000000005,1.0284174577306875,0.4418214855613583,0.4674681153300916,0.0601398184387635,6.8817978287270645,3.090293344189427,2.873104052931134,3.264044777196061,3.121320385797754,0.3422376710736743,0.562247602478179,4.717990751229939,5.255792805774284,0.6111386983458469,0.2933465752060066,2.346772601648052,2.615673628920224,1.7286494610353946
90,4.525,1.0370640899608352,0.4343917903024912,0.4765768198069326,0.0425924302618316,5.449990082023279,2.6643047282942294,2.567200227946378,2.749271166098602,2.7614092286420835,0.3586245751483223,0.5498910152274274,4.757752696967738,4.566486256888634,0.5498910152274276,0.64552423526698,2.271288975939375,2.7494550761371377,1.1995626095267362
91,4.575,1.0428143541954225,0.4528326503758878,0.4907545964664797,0.051587150617112,3.675065557468943,2.339217818485887,2.1789160898079203,2.600450265220352,2.398588829107358,0.4209944389522362,0.5613259186029816,4.84143604795072,4.443830188940274,0.4209944389522362,0.9121546177298446,2.4791894738298352,2.9235724927238635,0.9765925420592696
92,4.625,1.0489115069317283,0.4812925115683241,0.4420033269505017,0.0776581426893261,2.67814559044888,1.981014417230082,2.3179611509525,2.3179611509525,2.31215172450901,0.3661699091654287,0.686568579685179,4.989065012378963,4.783094438473412,0.5034836251024645,0.892539153590733,2.8378167960320724,2.494532506189483,0.7321062916030734
93,4.675,1.054939550678393,0.4924155671415811,0.5394140160661571,0.0893069381177209,2.018468350141847,2.0923840925414074,1.8933801706964368,2.1151273978951184,2.143556529587257,0.6047651650873136,0.7391574239956056,5.398089066149732,4.412545834155591,0.5599677454512162,0.8063535534497518,2.6430477585297427,2.486256789803403,0.5279695885682893
94,4.7250000000000005,1.0599699461158656,0.5311953357233153,0.551062877807455,0.0855667162254548,1.385966170621034,1.8980500569549084,1.6921032765815018,1.8145581189656892,1.842388764962097,0.9428685522418856,0.8332326740742245,4.8020514637435525,4.867832990644151,0.5481793908383059,0.6139609177389026,2.5654795491232694,2.87246000799272,0.4430184464734063
95,4.775,1.064786536385501,0.6051109052760985,0.6194451737597965,0.0965339021131287,1.1281856893839557,1.7059039651071426,2.032914309856116,1.9075603443690092,1.9566118960813543,0.6870520374523877,0.6226409089412266,3.950549215351231,4.057901096203167,0.6655816612820006,1.0305780561785824,2.8555600306614872,2.919971159172648,0.4554786944717838
96,4.825,1.0700365968769932,0.6237205913025905,0.6608229415890794,0.107030472027722,1.094249357929577,1.7454611709413237,2.0764048791931957,1.878906214591272,1.9536354390352424,0.7149419308276017,0.5467203000446366,4.100402250334775,3.890125211856068,0.5467203000446366,1.0303574885456603,2.6915460925274406,3.070044761789114,0.5806221082891624
97,4.875,1.0708387683091602,0.6561779529142967,0.6384965110693006,0.1345526916979101,0.9464256213544618,1.8457914051830115,1.9974286594331736,1.851020276019224,2.102006076157424,0.6591546266255757,0.9063376116101666,3.9343291776714047,3.645949028522715,0.5767602982973787,1.297710671169102,2.822005745240746,3.4193646256201737,0.4300479483660482
98,4.925000000000001,1.073268024199092,0.7324309299840678,0.723768803348251,0.1284102748925716,0.778732588086973,1.869982859550953,1.9980638773284185,1.992940636617316,2.0492962844394014,0.9283933167384564,1.0293056337752458,3.188829218362524,3.350288925621386,0.7063862192575212,1.0293056337752455,3.6328434133243945,3.511748632880248,0.5572831222480624
99,4.9750000000000005,1.0738344217998366,0.722498854551699,0.764000094238742,0.1241642604518629,0.778220798746888,1.807480564831483,1.9631247245808607,1.9229584898068277,1.8878130343795492,0.8504895923744101,0.7515954537262234,3.481073680416193,2.986602987175256,0.8109319369151355,1.00872021421151,3.876650235008944,3.3030642308494573,0.6327206625756467
100,5.025,1.0754543723443222,0.7840041397622927,0.833004398497436,0.1480203770686679,0.7382041882014327,1.7273978003913526,1.894724083050344,1.9734658631251636,2.0128367531625733,0.6203897824076694,0.7948744087098263,3.121336092738584,3.005013008537145,0.6785513245083885,1.415264191117495,3.043787369937625,3.644789971645054,0.711588663048592
101,5.075,1.0759310446288155,0.8900903665438028,0.8565533568064091,0.1838162734776292,0.7478544000899909,1.978195509915457,1.992670111207523,1.944421440233975,1.8720484337736527,0.9123385056816314,1.1024090276986385,3.117156561078905,2.9841071956670007,0.5702115660510196,1.3495007063207471,3.896445701348631,3.57332581391972,0.8448440754143672
102,5.125,1.0769797862715955,0.9350240349846622,0.9572441879073016,0.1897338302000996,0.6481721162085843,2.001290548585627,2.0486023818855243,2.072258298535474,1.953978715285731,0.8759857620071766,1.1555556860520204,2.8888892151300536,2.683871270830501,0.838709772134531,1.248745660733635,3.5039430480287104,3.913978936627816,0.9037525707898612
103,5.175000000000001,1.075198428589112,0.963244216903107,0.961500788456224,0.218650129073666,0.719231289279689,1.9396043801219989,2.032408417448409,1.9303239763893567,2.143773262240103,0.8408608230483946,1.3161299839018352,2.851614965120645,2.997851629998624,0.7129037412801604,1.2612912345725924,3.966669534815253,4.112906199693236,0.9540823225138716
104,5.2250000000000005,1.073418147502338,1.02955322238305,0.9543034851989064,0.2175278392379667,0.6509102266428385,1.9572824996952496,2.0164561566627808,1.9663861392287163,2.098388912463977,1.1655417281483318,0.8607077377095376,2.4745347459149194,2.3848776899035102,0.8965705601141019,1.3448558401711523,3.801459174883796,3.67593929646782,1.1834731393506135
