,r ($\AA$),g_full(r),O (DOL),O (DOL),O (ETFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.1696597072167321,0.0172472326753976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.3793113179590161,0.5194557086862851,0.4139412678593834,0.0,0.0,0.0,0.0432047296166958,0.0,0.1296141888500874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.7594147176236543,4.071303212729521,3.971816480087633,0.0,0.0,0.6517852685272018,0.9776779027908024,0.5295755306783514,0.5703121099613014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.9227621482032335,13.05337258781978,12.92327252880496,0.0,0.0,5.347890801930348,4.539936076458854,5.232468698291562,6.040423423763055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.741240695953708,21.00384133476173,20.750865381185488,0.0,0.0,20.162762031312432,18.01546426985497,17.105592337034015,17.687910374039426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4547932241425618,22.664496887748808,23.31223901086251,0.0,0.0,31.13526976329263,28.618243525507054,33.135098828930474,33.135098828930474,0.1358295603620269,0.0,0.0,0.0,0.0,0.2716591207240538,0.0,0.0,0.0
38,1.925,0.4870629089687034,18.98904028292729,19.566700408039,0.0,0.0,38.17491990799575,37.52067963536515,39.35255239873084,37.88051178531199,3.6082342308718136,0.0,0.0,0.0,0.0,3.221637706135549,0.0,0.0,0.0
39,1.975,0.8214073382615952,13.077389017332893,13.964783272080476,0.0,0.0,35.365355568659254,34.588436509593826,33.74936392580313,35.80043024173593,23.87260381492015,0.0,0.0,0.0,0.0,22.15867328461819,0.0,0.0,0.0
40,2.025,1.2355459186346338,9.113115652470814,8.729931630520488,0.0,0.0,28.467368951127085,27.72834068136783,26.072917357107045,27.787462942948554,75.57795772071474,0.1164529394772183,0.0,0.0,0.1164529394772183,68.12496959417273,0.0,0.0,0.0
41,2.075,1.5461493635838834,5.9130970611030165,5.527000383589135,0.0,0.0,20.749299253824013,19.397920197944025,21.08714401779401,20.91822163580902,120.6685944846375,0.4436345385464614,0.0,0.1109086346366153,0.2218172692732307,118.67223906117842,0.0,0.0,0.0
42,2.125,1.6575864024543905,3.514999704999959,3.625946611040132,0.0,0.0,15.220829315225712,14.227582957794766,14.254427453941547,14.979228849904684,138.11086532729533,0.8460083634137541,0.3172531362801578,0.2115020908534385,1.6920167268275077,127.64151183005012,0.0,0.0,0.0
43,2.1750000000000003,1.647030848843477,1.9977487532639664,2.142164325789073,0.0,0.0,10.147304659025586,10.22417817916972,9.609190018016651,10.070431138881451,107.607398197717,2.119845555489733,0.6056701587113528,0.2018900529037842,2.6245706877491943,114.6735500493494,0.1009450264518921,0.0,0.0
44,2.225,1.5253099892123303,1.522579952474239,1.4075814666378157,0.0,0.0,7.713036905422596,7.468178590964736,6.92949029915744,7.296777770844232,81.70105759077269,5.015885471924656,1.0610526959840614,0.5787560159913061,3.665454767944939,81.89397626276983,0.0,0.0,0.0
45,2.275,1.2388183259753165,0.954794416002956,0.9987941586759028,0.0,0.0,4.684280296873764,4.871651508748713,5.644557757732883,4.754544501326872,50.377305374560606,5.628233750637723,0.8303951435367132,0.7381290164770783,7.658088545949682,48.34745057924864,0.0,0.0922661270596347,0.0
46,2.325,0.9851624899602108,0.6277027571991612,0.6192772168340717,0.0,0.0,3.6328337580307073,4.574679547149779,3.924357454662801,3.6552586577716375,31.18420148822096,8.569029870700932,1.148426683702187,1.5017887402259371,7.155581644605934,27.208878352328764,0.0883405141309375,0.0,0.0
47,2.375,0.8566040541538389,0.4683226267105085,0.4642853626871421,0.0,0.0214906669551506,2.9012400389453417,3.309562711093204,3.266581377182902,2.7508053702592865,14.222914130317893,9.651263159858573,1.2699030473498114,1.1852428441931573,8.466020315665418,16.424079412390903,0.0,0.0,0.0
48,2.4250000000000003,0.7765918184996472,0.4027401130952842,0.3330350935211005,0.0067842297532117,0.0,2.2881119502274374,2.164430223188116,2.762225237211503,2.4530209196131985,9.17618469801831,12.668007193724405,1.7865138350124148,1.1368724404624455,8.445338129149597,9.744620918249534,0.1624103486374923,0.0812051743187461,0.0
49,2.475,0.7635556297028057,0.2713864144625534,0.2193397048395979,0.0,0.0,1.8008161529542592,1.8799729069302709,1.7810269644602563,1.8997620954242735,4.833359371565536,12.00544101969504,1.7930204120323767,1.9489352304699747,10.758122472194255,5.457018645315929,0.155914818437598,0.155914818437598,0.0
50,2.5250000000000004,0.8217153551671668,0.2107392720266479,0.2214548282313926,0.0,0.0,1.7302051418594613,1.958364061665104,1.7872448718108724,1.8442846017622825,2.471721631227804,11.534700945729751,1.4980131098350329,1.4980131098350329,12.583310122614275,3.4454301526205757,0.0,0.0,0.0
51,2.575,0.8968400423476961,0.1751590107933321,0.1785935012010445,0.0,0.0182820566318229,1.663667153495883,1.809923606550467,1.6819492101277056,1.4808465871776542,2.0165662466616765,13.179700826395957,1.224343792616018,0.8642426771407187,12.81959971092066,1.8005055773764969,0.0720202230950599,0.1440404461901198,0.0
52,2.625,0.9300341949612289,0.1883794521619965,0.1850745494924879,0.0,0.0175922511330771,1.266642081581553,1.6008948531100184,1.3018265838477072,1.3370110861138615,0.9702393049151627,13.236836231342572,1.8018729948424448,1.8018729948424448,12.26659692642741,1.108844919903043,0.2079084224818206,0.0693028074939402,0.0
53,2.6750000000000003,0.901081762925169,0.1623081691955913,0.1559431429526269,0.0,0.0677630486174052,1.219734875113294,1.3383202101937537,1.0672680157241323,0.8470381077175654,0.6006270218360921,14.281575852547093,1.4681993867104477,0.8008360291147895,12.412958451279234,0.6673633575956579,0.3336816787978289,0.333681678797829,0.0
54,2.725,0.8528161746888311,0.0766699589669159,0.110404740912359,0.0,0.0326496071416035,1.240685071380936,0.9794882142481072,0.8978641963940983,1.077437035672918,0.6430983224861313,14.148163094694883,1.22188681272365,1.22188681272365,13.762304101203208,0.514478657988905,0.2572393289944525,0.1286196644972262,0.0
55,2.7750000000000004,0.8322131705035194,0.118291267932767,0.1064621411394903,0.0,0.0944510277801632,1.023219467618436,1.1334123333619597,1.007477629655075,1.1176704953985988,0.5581197096100556,15.007218858403723,1.3642926234912471,1.3642926234912471,13.39487303064134,0.0620133010677839,0.3100665053389198,0.3720798064067038,0.0
56,2.825,0.820602843467576,0.1027270174658067,0.0913129044140504,0.0,0.0911373026747926,0.8658043754105299,1.048078980760115,0.9265625771937248,1.032889430314316,0.1795128689048945,12.865088938184112,2.213992049827032,1.3762653282708577,12.446225577406024,0.1795128689048945,0.2393504918731926,0.1795128689048945,0.0
57,2.875,0.8045052888069417,0.1350018921800794,0.1102056262694526,0.0048267274290165,0.0733291282485204,0.9092811902816528,0.9092811902816524,0.9679444928804688,0.9386128415810608,0.1155489293613049,12.36373544165961,1.559910546377616,1.155489293613049,12.421509906340258,0.2310978587226098,0.2310978587226098,0.4621957174452196,0.0
58,2.9250000000000003,0.8042973864561792,0.0984849407270087,0.0904996752626566,0.0,0.1841934567110541,0.949304738433894,0.8642923737980232,1.0626545579483888,0.8926298286766466,0.2232647960133989,13.06099056678384,1.84193456711054,1.7861183681071904,12.781909571767097,0.0558161990033497,0.1674485970100492,0.3907133930234481,0.0
59,2.975,0.829000813221862,0.1286519168353616,0.1312249551720689,0.0,0.191750733892459,0.7533064545775178,1.0135395934315703,0.9313607074776588,0.958753669462296,0.1079116684243275,12.409841868797676,1.888454197425732,2.3740567053352053,13.866649392526105,0.0,0.2158233368486551,0.5935141763338015,0.0
60,3.0250000000000004,0.8689956835766944,0.1144794689018947,0.1343889417543981,0.0043599225360545,0.3311864234118358,0.9538168994260876,0.9670643563625612,0.9273219855531404,0.7815999592519327,0.1565608547037769,13.359859601388967,2.504973675260433,2.087478062717027,12.73361618257386,0.0,0.3653086609754796,0.5218695156792565,0.017573157160628
61,3.075,0.9072771669782894,0.1035616751114129,0.1252373745533366,0.0084385845366026,0.3205039319190421,0.8717706948197947,1.0640730539712204,0.8461303802662715,0.9230513239268416,0.1515109496344562,11.91886137124388,2.676693443542061,2.4746788440294534,12.625912469538008,0.0,0.2525182493907604,0.656547448415977,0.0
62,3.125,0.9269750909115884,0.1422495648625497,0.1539093652611193,0.0,0.4096356952334403,0.74479217315171,0.7696185789234338,0.8689242020103285,0.9806430279830852,0.1467014886510943,11.882820580738644,3.0318307654559487,2.640626795719697,11.100412641266134,0.0,0.3912039697362517,0.4890049621703146,0.0164664936241024
63,3.1750000000000003,0.8986938769250187,0.1265091716750749,0.1513591875398217,0.0,0.5892407957635224,0.7455699864762931,0.9740511113641894,0.9259498219141058,0.98607643372671,0.0947449640683461,10.658808457688949,2.747603957982038,2.6528589939136915,10.61143597565477,0.0,0.1894899281366922,0.6158422664442499,0.0
64,3.225,0.8367365036273501,0.1685982287806185,0.1510815296865284,0.0,0.6643544991031678,0.8391846304461071,1.0722914722366923,1.0023594196995165,0.9091166829832826,0.0459149839890546,9.32074174977811,2.2039192314746243,2.8467290073213904,10.698191269449756,0.137744951967164,0.9182996797810936,0.4591498398905468,0.0154611680779469
65,3.2750000000000004,0.7808802362670436,0.1868452439846743,0.1953382096203413,0.0,1.0850090252089049,1.0058937837874218,1.1754264439763136,1.0624046705170525,0.9493828970577916,0.0,10.819266132054718,2.493328820555817,2.804994923125297,10.596647487362226,0.0890474578769934,0.4897610183234641,0.6678559340774511,0.0149926842343917
66,3.325,0.7469419957061251,0.2183457796383324,0.2265852430209109,0.0036086763675597,1.304814097362656,0.8662211234592422,0.9758693669350956,0.9429748938923396,1.1074472591061193,0.1295842877441904,9.027705379511929,2.4189067045582227,2.85085433037219,9.632432055651485,0.0,0.6479214387209524,0.7775057264651429,0.0290903503099203
67,3.375,0.7327587051363337,0.3038914702226541,0.2619064644682083,0.0035025465921731,1.9581929716857347,1.0110235451638303,1.2345129604105718,1.3196517852664729,1.1174470762337063,0.0838488426611151,9.349145956714338,3.31202928511405,4.40206423970855,10.523029753969954,0.0419244213305575,0.586941898627806,0.7546395839500362,0.0564696287309551
68,3.4250000000000003,0.7439493778753173,0.3183797249814217,0.3513825013514472,0.0,2.6558125614256998,1.1573969139287097,1.1367291118942682,1.126395210877048,0.981720596635959,0.0407093070375358,8.304698635657312,3.41958179115301,3.6638376333782254,9.444559232708317,0.0,0.7734768337131807,0.9363140618633242,0.1644988325190222
69,3.475,0.7733298144703757,0.4394092858036736,0.3847188596736022,0.0033038651140994,3.6038814808067015,1.305026720069278,1.284949385914366,1.244794717604542,1.294988052991822,0.1186387927335708,7.355605149481388,3.2823399322954603,4.073265217185933,7.671975263437578,0.0,0.5931939636678542,0.6722864921569014,0.1864323885813256
70,3.5250000000000004,0.8111776906633286,0.5223357554582352,0.4636875302839773,0.0064216094652826,3.94138630180696,1.4146064697079443,1.4048505630203032,1.482897816521431,1.619480510148404,0.0384323596785857,7.10998654053836,3.6895065291442326,4.765612600144635,5.918583390502203,0.0384323596785857,0.4996206758216142,0.8839442726074713,0.3494207395267333
71,3.575,0.8388429908081532,0.5987017473117486,0.591574345558037,0.0031216215275748,5.216709822043306,1.621922508308009,1.773681339494722,1.8211059742405709,1.5744978735621598,0.1494594549566125,6.426756563134336,4.110135011306847,4.035405283828541,7.622432202787234,0.0373648637391531,1.0835810484354411,0.8593918660005224,0.4277895624013245
72,3.625,0.8708951104282452,0.7746669641608779,0.7105446427426396,0.0,6.12545472428762,1.8634666480513529,1.6789649997294371,1.9095920601318328,1.8265663183869705,0.2180474025622645,5.705573700379255,4.324606817484913,3.67046460979812,5.596549999098123,0.0,0.8358483764886804,1.1992607140924545,0.673054482398827
73,3.675,0.9080466238652948,0.907175492916773,0.910547892518694,0.0059081025937452,6.11250022001736,1.7143723084042832,2.118282014572832,2.037500073339121,2.1452093283174007,0.1767954942825296,5.692814915897447,5.162428433049862,4.808837444484801,5.657455817040942,0.0353590988565059,0.8132592736996365,1.2729275588342135,0.6786782137662011
74,3.725,0.9276301367411094,1.0257732333706504,1.1275299381210195,0.0,6.499905201900463,2.105480045239261,2.262735816252982,2.271472247975968,1.991906432840464,0.1032487385443622,5.19685317339956,4.646193234496296,5.059188188673746,4.852690711585022,0.1376649847258162,1.1013198778065303,1.1357361239879844,1.066201259254026
75,3.775,0.921761257916662,1.3040081856102388,1.323184776575096,0.0055992409061943,7.239064747741184,2.194687079808726,2.585987876983926,2.3733244002582743,2.5519617207078213,0.0670212169074781,4.758506400430941,4.255847273624855,5.093612484968331,4.1218048398099,0.0,1.843083464955649,1.2063819043346065,1.1058500789733878
76,3.825,0.9143477379615006,1.724650573160426,1.693519696388578,0.0081807215415643,7.937607278316297,2.585108007134328,2.9496745209609627,2.692820840764924,2.667964033004018,0.0652805052306648,4.047391324301218,4.569635366146537,5.059239155376524,3.3619460193792383,0.0979207578459973,0.9465673258446404,1.697293135997286,1.692630242766525
77,3.875,0.9173918744448004,1.973141709672676,1.9685918056534444,0.0026569903639721,8.024724050818483,2.849826549234329,2.8094607340893663,2.8336802231763447,2.946704505582239,0.1272134780326081,2.607876299668467,4.961325643271712,4.770505426222801,3.2121403203233525,0.031803369508152,1.367544888850538,1.7173819534402104,2.088313089642432
78,3.925,0.9383723147989936,2.5292702406015364,2.468662362246972,0.0025897284236714,8.883864147526337,3.053090601629954,3.163253664575364,3.3284982589934797,3.013746650578022,0.3719791735819062,3.1308247109810408,4.866727521029935,5.362699752472476,2.8208420663294547,0.0619965289303176,1.3639236364669898,1.580911487723102,2.7139296848067653
79,3.975,0.9584608709428064,2.8897801565954278,2.871043427400544,0.0,9.12210410698192,3.483124696862736,3.444764292712265,3.805352091726689,3.705615040935466,0.1208933948984529,2.5992079903167378,4.473055611242761,4.624172354865826,2.508537944142897,0.0604466974492264,1.571614133679888,1.6018374824045014,3.4093787770469355
80,4.025,0.9667763075616596,2.96181276924906,3.0419377468699413,0.0024626464363157,10.026759682630306,3.7039149573895536,3.5542618277980584,4.152874346164046,3.838602774021903,0.2947713158620397,2.0633992110342803,4.657386790620227,4.745818185378839,2.2992162637239124,0.0884313947586119,1.6212422372412196,2.1223534742066885,4.645355308340143
81,4.075,0.9681394101638506,2.912891159227772,2.893691311662241,0.0072077547099535,10.307828492126951,4.036989487355668,3.8982864127448935,4.518800167582564,4.416597902079888,0.0575164264733669,1.6967345809643255,4.94641267670956,5.665368007626643,1.3803942353608072,0.0575164264733669,1.7254927942010092,1.81176743391106,4.822576289098535
82,4.125,0.9681348527829658,2.474651847888522,2.469298355518833,0.0093787765058847,11.477187568533092,4.858747313308237,4.509658430094006,4.666392214394272,4.48828564132579,0.5332402854292788,1.4313291872049068,5.556925079736689,5.444663967014738,1.2348722399414882,0.1403263909024417,1.7119819690097906,1.655851412648814,5.273408494035841
83,4.175,0.967388725864328,1.8761463350434828,1.8173534484996408,0.0091554829790916,11.537757256949329,4.555292949549012,4.57615688672252,4.861297361427114,4.8056601956310985,0.1643825353064182,0.7397214088788816,4.9040789699748055,5.068461505281224,0.931501033403036,0.0821912676532091,2.082178780547962,1.6986195314996535,5.987382242614898
84,4.2250000000000005,0.9698603398048204,1.4046212796675428,1.3676239889224395,0.0044700349534022,12.169498236216391,4.94385865846291,4.984604746307381,4.964231702385147,4.94385865846291,0.2942773010989826,1.0968517586416628,5.430753829372131,5.511011275126399,0.9898418309693056,0.3210297830170719,2.140198553447146,1.8994262161843425,5.738407371430164
85,4.275,0.9740338499930784,1.0105878793146623,1.016818384119315,0.0196473842650009,12.092125383301868,4.822257352529047,5.107480277094038,4.954919177908114,5.120746459631946,0.2090428763548918,0.7839107863308445,5.696418380670797,5.304462987505375,0.862301864963929,0.4180857527097837,2.168819842182001,2.14268948263764,4.848248240766587
86,4.325,0.984848095861794,0.7463006738880341,0.718299180414258,0.021328600422513,11.282747590430844,5.0678395265461935,4.815095611539413,4.970630328466664,5.05487830013559,0.4340047025368937,0.6382422096130791,4.927229858212974,5.105937676904638,0.4595343909214169,0.2808265722297548,2.042375070761855,2.093434447530901,3.8771260431312062
87,4.375,0.9939112222748678,0.5544411999286887,0.5389739561538542,0.0020843880607956,10.893332680804278,4.40799973595336,4.83233304386841,4.604333057525999,4.483999731400832,0.3243434149147152,0.4989898690995617,5.339191599365314,5.813231975009896,0.6486868298294303,0.2993939214597371,2.3452523847679414,2.145656437128117,3.167312735442675
88,4.425,1.0098435411337596,0.5233735403828312,0.494297232583785,0.0183379488579705,8.8221991140429,4.17274540551924,4.017969982465856,3.5722167640721088,3.782711339424713,0.365832818126181,0.487777090834908,5.121659453766529,6.0240470718111085,0.7560544907941072,0.4389993817514172,2.487663163258028,1.7316086724639217,2.200969689461187
89,4.4750000000000005,1.024640099675094,0.452608696655099,0.5071946701210402,0.0338686388108299,7.239919614032712,3.474677139176234,3.662333918469724,3.280966915389405,3.38387547177616,0.2623159280446634,0.3100097331436932,5.556328294036955,4.840921217551512,0.8346415892330202,0.2384690254951486,2.647006182996149,2.480077865149546,1.51768501225841
90,4.525,1.035612898503541,0.4649059620203499,0.4660181772404941,0.0233818612356428,5.458615412441515,2.717466891877065,2.865477071173199,2.782591370767365,2.770750556423673,0.6063932194193228,0.5597475871562981,5.247633629590298,5.10769673280122,0.7696529323399097,0.4198106903672235,2.2623131647567023,2.518864142203339,0.9581393647496842
91,4.575,1.0480248848503246,0.4569757882370648,0.48308869042204,0.0228735801417756,4.112112532539099,2.4788509351080745,2.6236436299157893,2.6062685065388616,2.496226058485,0.5019480086667444,0.5475796458182666,5.338901546728098,4.76850608233407,0.684474557272833,0.5703954643940277,2.5097400433337187,2.1446869461215416,0.6991418692143936
92,4.625,1.0597313828639734,0.4450194550937718,0.4961221676404249,0.0205165531595529,2.856248533569094,2.170522199120959,2.102516281655028,2.232860956798062,2.2271937970092344,0.7367307725475831,0.6027797229934774,5.11246505798172,5.112465057981718,0.7367307725475835,0.4465034985136871,2.924597915264651,2.522744766602333,0.6841071459370416
93,4.675,1.0755304352096051,0.5220363872062357,0.5262043423935113,0.02920734166678,2.124342636566736,2.1798085017512463,2.296286818638718,2.063330184863775,2.102156290492932,0.6773558687684117,0.6336554901381916,4.391888052337122,4.894442406584656,0.7429064367137418,0.5462547328777515,3.1682774506909603,2.84052461096431,0.4929670262827383
94,4.7250000000000005,1.0827876152858973,0.5640893141844139,0.5406280949687874,0.0500368281256996,1.737542603046274,2.019893276041294,2.1230598680971657,2.0633318411174497,2.226226460153037,0.3636334424935857,0.5775354674898127,4.3422111074234095,4.213869892425674,0.7914374924860391,0.4919746574913218,2.8021165274505724,3.0160185524467997,0.4609806906041137
95,4.775,1.0905623848628492,0.5623259098006763,0.5773079500262717,0.0332462219217091,1.2972756553904166,2.2170653618762453,1.7651455638918805,1.9831304076255147,2.1904818443477536,0.7540052244445049,0.6911714557407962,4.147028734444774,4.4611975779633175,0.733060634876602,0.7540052244445049,3.246411383024948,2.639018285555764,0.5219049767838667
96,4.825,1.091435739361981,0.6348579973882211,0.6211630637003394,0.056552894339324,1.1976294756940775,2.035970108679932,2.02555593932607,1.9786921772336927,1.963070923202901,0.7589720392738477,0.635895492364575,4.225628110551695,4.164089837097055,0.7794847970920601,0.6974337658192116,3.056400914913604,3.199990219641088,0.6147547929804994
97,4.875,1.0897513427152643,0.7014366495140305,0.7483907421727567,0.0537200427711097,1.0303659165160706,1.9893203338676613,2.0658326544010324,2.1219416894588385,2.050530190294358,0.5827301988097182,0.7434833571020543,3.496381192858308,3.194969021060177,1.0649896736867266,0.6430126331693443,3.596851916791016,3.21506316584672,0.5074796770070557
98,4.925000000000001,1.0860262055909915,0.7295167009766779,0.7492333685706426,0.059214180000101,0.7946467040398166,1.899155644875035,2.0490889852599063,1.9841178710931275,2.1090623214138544,0.8662815222236993,0.8072168729811743,3.287932141167222,3.4454378724806225,0.7284640073244745,0.6103347088394246,3.6816964694507215,3.406061439652272,0.556895264286664
99,4.9750000000000005,1.0825194567025105,0.7940564718462872,0.8188994900848148,0.0725374203420314,0.6954912661512035,1.905254243188862,1.93464119809666,2.106065101725477,2.032597714455984,0.7331896830531257,0.7910730790836357,3.3765314351130766,3.202881247021545,1.0226066632056756,0.6753062870226156,3.4537092964870912,2.990642128243011,0.5717461975258528
100,5.025,1.0807114831990925,0.820722040806985,0.8549939502033209,0.0853212998216035,0.6817196163808752,2.0883664304625387,2.145976538889092,2.040358006773745,2.1267731694135747,0.661934326618221,0.6051970986223737,3.460970907746696,3.1772847677674574,1.002357694593306,0.7754087826099162,3.593357773070341,3.460970907746697,0.8279003676945098
101,5.075,1.0762610905135932,0.8957034748254983,0.8789035083677645,0.0650598567791578,0.7060066875760259,2.0191791264674355,2.212154287738216,2.141553618980613,2.000352281465408,1.1310369762581574,1.019787437609814,2.614364158236069,2.781238466208583,1.2422865149065008,0.8529131296372991,3.726859544719503,3.838109083367848,0.8678599213944741
102,5.125,1.072005311614992,0.8999877312346808,0.9051899724556902,0.0805052316547478,0.6876829330972687,1.8092061058666395,2.169201198360512,2.2891995625251367,2.330737457812892,0.9818047977105606,0.8181706647588002,2.6545092678841096,3.036322244771548,1.1999836416462406,0.9818047977105604,3.9454007611702138,3.418135221658987,0.9857008484951256
103,5.175000000000001,1.0708498257220809,0.979622636855991,0.9906774061955116,0.0938546687684023,0.8736276768692502,2.041482291544206,2.299496683158441,2.231598159049432,2.3447623658977803,0.9450925881031756,0.927260652478587,2.193328081824351,2.4608071161931733,1.1055800087244692,1.016420330601528,4.190504871778229,3.762538416788114,1.1288707001525031
104,5.2250000000000005,1.0693026708656164,0.9934963538180628,1.0702399848434718,0.1169104956952841,0.7060157386675293,2.0958454632143027,2.1002858137719604,2.291220887751229,1.975955998157552,1.2944294655958908,1.18947572514217,1.8017058777888768,2.8512432823260854,0.9270913740078676,0.8221376335541468,4.0232267173926335,3.918272976938913,1.5550288891714574
105,5.275,1.0654372204693072,1.0484105196941869,1.0353156185894972,0.1132708945555625,0.819035699094066,1.9909538004573832,2.3220533383890287,2.32640991125655,2.3438362027266364,1.2185202293098394,1.0297354050505685,2.4027159451179934,2.179606607357037,0.9610863780471972,1.0125731482997251,4.376375471464917,4.204752903956488,1.6990634183334374
