,r ($\AA$),g_full(r),O (DOL),O (DOL),O (BTFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.1653823921348429,0.0,0.0084350792676914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.3152657732939808,0.4048913205123341,0.5001598665152365,0.0,0.0,0.0,0.0,0.0,0.042260149893595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.6116229195700447,4.274227807283242,4.558677293582302,0.0285398063678337,0.0,0.5578434460051197,0.3984596042893713,0.6773813272919313,0.7570732481498054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.7444280919023267,13.305290131475672,13.545662004201583,0.0269546809149786,0.0,4.40304712746177,4.817008823206037,5.080438993225116,4.779375941774741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.6017638195506432,22.330254775959578,22.26337770265632,0.0637450891540745,0.0,15.343246820649894,15.841635348466829,16.233226334608695,15.058453376183072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3455915087522356,24.6652933903604,25.13414304638061,0.1207817593500051,0.0,27.08196480859512,27.3517726771739,29.274153740797725,27.82393644718676,0.3985798058550171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3655648714307528,21.104501939687974,20.06460480623142,0.0687535294847319,0.0319968348755868,30.33299946205629,30.460986801558644,34.84455317951404,31.38889501295065,3.529347846882908,0.0,0.0,0.0,0.0,4.285636671214959,0.0,0.0,0.0
39,1.975,0.7480726394543717,14.350441243084138,14.83012173031814,0.087088783199773,0.0,29.424620188335645,29.8501828770099,31.15726827793803,32.34276433924494,21.55447384194381,0.0,0.0,0.0,0.0,21.195232611244744,0.0,0.0,0.0
40,2.025,1.2960844636600957,9.29411521378312,9.049676181275672,0.0724862365146048,0.0,23.59450895111875,24.953506402960148,24.1149760603346,22.466830214484386,63.78788813285223,0.3417208292831369,0.0,0.0,0.0,70.73621166160935,0.0,0.0,0.0
41,2.075,1.7484285556248274,5.597578677696548,5.644138943962044,0.0394486737137737,0.0,16.357696006752523,17.128765852188668,17.514300774906744,17.40414793984444,112.606239115967,0.5424192635643885,0.0,0.0,0.3254515581386331,118.78981872060103,0.0,0.0,0.0
42,2.125,1.938186388410264,3.408554981311346,3.4134877671019543,0.0,0.0,11.737146399189026,12.209783166941598,11.8684343902314,11.973464783065316,123.91994984812553,1.241268278946165,0.3103170697365413,0.1034390232455137,1.4481463254371925,130.22973026610188,0.0,0.0,0.0
43,2.1750000000000003,1.8155955690230816,2.16125095745733,2.071787410198748,0.0089761888796489,0.0,8.196019970793934,8.496791345868944,9.123398377275208,8.045634283256431,107.4270285116388,2.96214233028416,0.1974761553522773,0.4936903883806932,2.96214233028416,110.09295660889464,0.0,0.0,0.0
44,2.225,1.4699233879448268,1.4308001433061672,1.331813969869891,0.0171546286045336,0.0,5.724169668628941,5.5086151622789,5.556516163690016,5.748120169334503,78.4995804943459,3.679667835672467,0.6604532012745453,0.8491541159244155,5.094924695546493,74.15945945739891,0.0,0.094350457324935,0.0
45,2.275,1.1044085879973362,0.8779707462019186,0.9855652003933304,0.0082044476364139,0.0,3.802950812884868,3.848769497377457,4.192409631071873,3.4364013369441584,47.4709340242912,5.414935440033219,1.534231708009413,0.9927381640060908,6.136926832037648,46.74894263228678,0.0902489240005537,0.0,0.0
46,2.325,0.9416076202505892,0.6222207023426012,0.6016173678279455,0.015710752048641,0.0,3.531474930687414,3.005043885119104,3.2024555272072206,2.961174631321744,26.700423106665443,8.122458809147409,1.382546180280411,1.9874101341530903,8.813731899287614,29.2926971946912,0.0,0.0864091362675256,0.0
47,2.375,0.8723962653720773,0.4975737244960267,0.469930739801803,0.0150562340876842,0.0,2.3333109234425358,2.165144370401632,2.753727306044794,2.627602391264117,19.46018255833186,9.523068060460268,1.2421393122339472,1.6561857496452623,11.84172810996364,16.47904820897038,0.0,0.0,0.0
48,2.4250000000000003,0.8132176049460622,0.3712080328089553,0.4280255888511428,0.0,0.0201629480929197,1.8751541726415344,1.9154800688273723,2.076783653570732,2.056620705477811,9.531575462107494,11.835039532116806,1.7474555013863768,1.5885959103512517,12.867626873845126,8.02240934727381,0.2382893865526877,0.0794297955175625,0.0
49,2.475,0.8138735240533882,0.2945438800359755,0.2909075358380005,0.0069320941735501,0.0193565398846054,1.471097031230014,1.9550105283451504,1.5291666508838302,1.8969409086913336,6.9390262677237065,9.989147704085772,2.1350850054534494,2.440097149089657,12.58175092499353,5.185206441815518,0.1525060718181034,0.1525060718181034,0.0
50,2.5250000000000004,0.851182533703214,0.1921568606668783,0.1956506217699124,0.0,0.0371951182046097,0.9856706324221584,1.208841341649817,1.4320120508774743,1.3948169326728652,2.637472018145054,11.502308523577042,1.7583146787633697,1.685051567148229,11.209256077116477,1.90484090199365,0.0732631116151403,0.0,0.0
51,2.575,0.8975522107046875,0.19484534869426,0.1545325179299304,0.0192124510254243,0.0178823582621257,1.126588570513921,0.9120002713684124,1.0729414957275438,1.126588570513921,2.395152227836236,10.214619795183951,2.958717457915349,2.2542609203164563,11.76442417790152,1.549804382717564,0.2817826150395572,0.2817826150395572,0.0
52,2.625,0.9143992095726214,0.1680976952913704,0.1390038634140178,0.0,0.0,1.1357038371815786,0.998042766008054,1.1357038371815786,1.1873267388716504,0.4067258921035959,12.947440898631138,1.1523900276268553,1.898054163150113,11.523900276268543,1.355752973678653,0.3389382434196633,0.4067258921035959,0.0
53,2.6750000000000003,0.8687787567607747,0.1151785663648105,0.1182915005908865,0.0059342988552191,0.0,1.1102160189060448,0.6959563103590134,0.8948009704615886,0.9279417471453514,0.5874955866666999,12.141575457778444,2.023595909629744,2.0888731970371555,13.708230355556308,0.4569410118518776,0.1958318622222332,0.2611091496296444,0.0
54,2.725,0.8099718902755001,0.1019914769135547,0.1109907248765153,0.0114370607720272,0.0319357927711221,0.8942021975914184,0.9101700939769792,1.037913265061468,0.7345232337358081,0.8806536794460946,12.706574517722215,2.0758265301229377,2.0129226958767887,14.404978042368258,0.629038342461496,0.1887115027384488,0.4403268397230472,0.0
55,2.7750000000000004,0.8002091506324485,0.0954566913296582,0.1359534694695132,0.0,0.0615907043357794,1.031644297624307,1.0470419737082517,0.9392582411206374,0.9238605650366928,0.1819725355375303,12.616762463935435,2.6082730093712683,1.6984103316836163,12.556104952089594,0.1213150236916868,0.5459176066125909,0.7278901421501213,0.0
56,2.825,0.7989603792132325,0.1088545350081714,0.1311836703944629,0.0,0.0891447789652717,0.6685858422395382,0.772588084365688,0.817160473848324,0.96573510545711,0.3511764019844037,11.99852706780047,2.107058411906424,1.7558820099220198,13.75440907772249,0.1170588006614679,0.4682352026458716,0.4097058023151377,0.0
57,2.875,0.8021387674474123,0.1077962141317242,0.0808471605987931,0.0,0.1577970734559007,0.8463661212634683,0.688569047807567,0.616843105327612,0.7459498017915309,0.2260453944822821,12.771564788248943,1.5823177613759754,1.7518518072376876,12.997610182731226,0.113022697241141,0.4520907889645643,0.7911588806879876,0.0
58,2.9250000000000003,0.8152981799604997,0.1041424610862541,0.1249709533035049,0.0,0.124730624547152,0.7622427055659299,0.9839860380942004,0.8453964552640314,0.8176785386979976,0.0545958962664302,12.775439726344658,1.583280991726477,2.23843174692364,12.77543972634466,0.1091917925328604,0.3821712738650115,0.272979481332151,0.0
59,2.975,0.8333428493709863,0.1182888627594173,0.113255294131357,0.0095956735278725,0.2277496205403905,0.8976014456591852,0.7502340441330506,0.910998482161561,0.7234399711282987,0.105552408806598,10.924674311482908,2.0054957673253644,2.480481606955056,11.241331537902692,0.1583286132098971,0.5277620440329904,0.3694334308230932,0.0
60,3.0250000000000004,0.8675377067434368,0.1436221842964705,0.1217137155054834,0.0046405449658289,0.1295782940458378,0.6997227878475246,0.5831023232062704,0.673807129038357,0.5701444938016867,0.2041839784964717,11.025934838809482,1.8376558064682464,2.552299731205898,12.251038709788316,0.0510459946241179,0.6635979301135333,0.5104599462411794,0.0
61,3.075,0.9109382104121532,0.1272108376454545,0.1484126439196969,0.0044908631594048,0.238257563157042,0.7147726894711257,0.9279505091379532,0.7774720481966635,0.6269935872553732,0.0493994947534537,10.27509490871838,2.272376758658873,2.2229772639054186,12.201675204103068,0.0493994947534537,0.7409924213018058,0.691592926548352,0.0
62,3.125,0.9580785853743388,0.1391395800117903,0.1163298127967427,0.0043483082404443,0.2549781055146705,0.6799416147057881,0.7042252438024237,0.7285088728990589,0.7892179456406474,0.0478313906448877,10.666400113809956,2.7263892667586,2.5828950948239355,11.383870973483267,0.2869883438693262,1.1479533754773046,0.7174708596733156,0.0161064886865438
63,3.1750000000000003,0.972635751895506,0.2143411028629815,0.1635179547614497,0.0042124348408503,0.3646348404929958,0.6704576099387339,0.9645179651750214,0.7763193378237973,0.7998441662427006,0.0463367832493543,10.05508196510988,2.733870211711906,2.548523078714489,11.445185462590509,0.0,0.9730724482364412,0.8340620984883781,0.0
64,3.225,0.924261415350598,0.1884710700696785,0.2077465204177138,0.0,0.4674214335679121,0.6954318889668936,0.8322381622062824,0.8778402532860787,0.775235548356537,0.1347334509175801,10.149919969124367,3.098869371104341,2.9641359201867608,10.464298021265382,0.04491115030586,0.4491115030586004,0.7185784048937608,0.0151231424499324
65,3.2750000000000004,0.8500706650328705,0.2492185489796995,0.2201430515987346,0.007918238562624,0.608029357318421,0.8401860210218186,0.818075862573876,0.8622961794697611,0.8844063379177038,0.0871006241888647,9.581068660775127,3.092072158704697,2.874320598232535,9.4068674123974,0.0,0.8274559297942151,0.7839056176997826,0.0293298020227809
66,3.325,0.7791186723036494,0.2639428938049423,0.257898400053684,0.0,1.265562004494209,0.9009085455721492,0.9438089525041562,0.8580081386401419,0.9438089525041564,0.0,9.633091374732505,2.9575280536459445,2.7462760498140915,8.914834561704204,0.0,0.7182568130283008,0.7605072137946715,0.0569087030730706
67,3.375,0.7396296236934076,0.2933363764647845,0.2835584972492918,0.0037279848028215,1.6967779446011215,0.9889196609638432,0.9576906190386688,1.0409680641724672,1.207522954440061,0.0410078328310365,8.693660560179765,3.608689289131221,3.4446579578070766,8.775676225841835,0.0,0.9021723222828048,0.8201566566207317,0.0276175200698817
68,3.4250000000000003,0.7383980921425816,0.4006671640303553,0.3531947512305501,0.010859804845443,2.1327821346846645,0.9097174982067282,1.0815530256457773,0.9501493870159162,0.9602573592182132,0.0,8.322230446557853,3.504097030129622,4.778314131994941,8.879700428623936,0.0398192844332911,1.314036386298607,1.0751206796988604,0.0804512073244045
69,3.475,0.7632522528784745,0.450093641062224,0.4205793039433897,0.0175825768648703,2.7297356334485,1.1193879935724051,1.1193879935724051,1.129207186498479,1.2470375016113635,0.0773633382054294,7.542925475029375,3.7908035720660407,4.293665270401332,7.426880467721229,0.1160450073081441,1.199131742184156,0.8123150511570091,0.1693309800516798
70,3.5250000000000004,0.8050108743778397,0.5987576896634007,0.5270501819192808,0.0034174652451054,3.3590003012199463,1.097400666591742,1.2596251129574778,1.2405398839732735,1.2691677274495798,0.1127763530884794,6.992133891485727,3.7592117696159786,3.8343960050082986,7.255278715358851,0.0375921176961598,0.977395060100155,0.5262896477462375,0.202537123914004
71,3.575,0.8464120085599206,0.6814715774878968,0.6361563319260418,0.0066450836890874,4.1192362628369406,1.3081358402252452,1.428744109182183,1.3081358402252452,1.335968517676846,0.036547960289981,6.907564494806406,3.691343989288082,4.422303195087703,6.46898897132664,0.036547960289981,1.2060826895693744,0.840603086669564,0.3445950541626785
72,3.625,0.8792912983323754,0.8916470937180117,0.8865616540199998,0.0161575953674193,4.448534014396921,1.6783515754114158,1.4798368729433995,1.470813477376671,1.6242112020110475,0.0,6.540594604731357,4.443338726040326,4.372245306423679,6.185127506648129,0.0710934196166452,1.386321682524582,1.1374947138663238,0.4548527969350667
73,3.675,0.9128610802931536,0.964860753168314,0.9747567608931166,0.0157209305453715,5.065791728705549,1.6154344507483898,1.8349228272087683,1.6856707312157109,1.5451981702810689,0.0345860471998173,5.187907079972594,3.9082233335793535,4.945804749573872,4.876632655174237,0.0,1.4526139823923263,1.1413395575939704,0.6289013888783105
74,3.725,0.934879846000218,1.239334064372748,1.2585983244407182,0.0091810385447901,5.674164314174026,1.9569030541353185,2.0167210514232976,1.999630195055304,1.6236313549594346,0.1683190399878203,5.453536895605383,4.409958847680894,5.049571199634611,5.049571199634612,0.0,1.2792247039074345,1.5821989758855115,0.7935040456568673
75,3.775,0.9310219698550182,1.525596620696494,1.3771010479852577,0.0089394463954915,5.474929562432683,1.98861423316324,2.130063781128825,1.980293671518205,2.055178726323516,0.0983339103504074,4.982251457753979,4.621693786469152,5.211697248571594,3.507242802497868,0.0,1.868344296657742,1.5733425656065188,1.0927104935876912
76,3.825,0.9128142977337712,1.775250520498973,1.793520680229666,0.0174145324154811,6.248535167587135,2.3016653535599843,2.1395762441543518,2.366500997322237,2.5204856512575886,0.0957799282851465,3.4480774182652736,4.3100967728315895,4.757069771495607,3.67156391759728,0.063853285523431,1.5963321380857751,1.3728456387537655,1.4298575008282592
77,3.875,0.909959056639606,2.1732933282643567,2.1035699245589474,0.02828005120693,6.648988100917945,2.7401411769816253,2.542724665671711,2.416378098433365,2.479551382052538,0.124432225310492,3.359670083383283,4.666208449143449,4.977289012419679,2.613076731520332,0.031108056327623,1.9598075486402495,1.4931867037259046,1.8017278338325315
78,3.925,0.9193471271408232,2.5809713672189107,2.58530913422264,0.0248077253436417,7.404279090898937,2.678471022487351,3.0171282782041424,3.055612057262868,3.001734766580653,0.181923319186706,2.880452553789512,4.820967958447706,5.275776256414466,1.788912638669276,0.0303205531977843,1.8495537450648447,1.6373098726803543,2.511655621016463
79,3.975,0.9312405424433178,2.8886313982593204,3.087409840013624,0.0188125504925041,7.90958180608028,3.2493822789684663,3.2718953201622423,2.8741649257388504,2.911686661061812,0.1182503173814543,2.276318609592995,3.754447576861175,4.96651333002108,1.7441921813764507,0.1773754760721815,2.305881188938359,1.5963792846496332,3.245247230585935
80,4.025,0.9408036106329564,3.137678538492631,3.0744299789962835,0.0235903718135849,8.856067531351206,3.5351079484649848,3.132559424312659,3.176473808765641,3.557065140691477,0.1729960599662895,2.30661413288386,4.3825668524793375,5.189881798988691,1.6434625696797498,0.2594940899494342,1.81645862964604,1.7876259529849918,4.019510495339191
81,4.075,0.9426335365426282,2.9793261267966606,2.976643257704544,0.0332439261056342,9.147056432484163,3.420327893177139,3.3560628596936444,4.034415990908317,3.7487936198705607,0.1687768556132199,1.6315096042611277,4.0787740106528165,5.00704671652553,1.5752506523900534,0.1125179037421466,2.025322267358641,1.800286459874347,4.802390427321059
82,4.125,0.9418558688044738,2.4702951083846414,2.4925500192709893,0.0274516904337841,9.944058109364088,3.721182221724191,3.686339691558233,3.769961763956531,3.818741306188869,0.2745169043378418,1.5647463547256988,4.282463707670328,4.886400897213579,1.3451328312554254,0.1372584521689208,2.278490306004088,2.141231853835167,5.453922579038547
83,4.175,0.9473048318006,1.9360859966515824,1.914360939263413,0.0219257263674477,9.938594443496877,4.360464776373372,3.938703752761596,4.312846596288172,3.9114933641414806,0.4019716500698755,1.1791168402049683,5.413218220940987,4.850457910843162,0.6967508601211175,0.1339905500232918,2.411829900419252,2.063454470358693,5.1255487135440445
84,4.2250000000000005,0.952338280968851,1.3327322861149182,1.3551940662179789,0.023788723341472,10.402223148651148,4.417291439242028,4.111734437429798,4.36415109110077,4.24458530778294,0.366346339458669,0.9420334443222914,4.788670008638314,5.652200665933748,0.9158658486466724,0.2616759567561921,2.2765808237788727,1.727061314590869,5.260487779646674
85,4.275,0.964627776830547,0.9604597950417072,0.967772940689232,0.0395003881531185,10.277107323501324,4.243199614627438,4.022605139249253,4.275639978653645,4.411889507563698,0.5111814937462396,0.6645359418701113,5.035137713400466,5.162933086837025,0.5878587178081754,0.1022362987492479,2.376993945920016,2.249198572483456,4.742251582034628
86,4.325,0.9769646053109016,0.6954500583774912,0.7383202674555561,0.0499430718552536,9.971134295901386,3.993524861041241,4.323149135285914,4.056914144549833,4.285115565180762,0.4245161107696558,0.7491460778288042,4.919392577742484,4.619734146610962,0.4994307185525362,0.1498292155657609,2.49715359276268,1.9477798023548905,4.08666829803346
87,4.375,0.9923010974937718,0.5877067756826035,0.5749052419548637,0.0488080514578291,8.691399901715508,3.617802952674164,3.57443887618663,3.667361897231344,3.760284918276056,0.3660603859337188,0.7077167461385226,4.856401120054006,4.441532682662457,0.414868437391548,0.3416563602048042,2.2695743927890577,2.220766341331228,3.155589939151079
88,4.425,1.0067362779209594,0.4527746072829335,0.4596003551314199,0.0607234574436515,7.636191643030051,3.397227209944378,3.3185035847585005,3.2276686326209507,3.463839508178582,0.6441023878844474,0.8826588278416502,4.365582851216808,5.128963459079855,0.2624120839529228,0.2862677279486432,2.3378531115805843,1.956162807649061,2.2171143419695927
89,4.4750000000000005,1.0180900209655548,0.4416010228924209,0.4404886777465962,0.0551330960431919,6.152021628509516,2.5993623627677347,2.581599066439026,2.5875201652152624,2.806600819936007,0.5131618939404796,0.4898363533068214,4.455178261028711,4.641782586097977,0.4898363533068214,0.3498831095048723,2.2625774414648414,2.262577441464841,1.3902498249101751
90,4.525,1.0255557125935648,0.4057863250313063,0.4590933757726845,0.0746604401005908,4.511165656052306,2.3279699534441947,2.2584783130428745,2.3395518935110804,2.333760923477637,0.7072002798417082,0.5246969818180415,3.7869434339910826,4.7678986608682905,0.3193807715414166,0.5703228063239582,2.7147365581020413,2.4181686988135827,1.0447382672579275
91,4.575,1.0381688696752718,0.4459207324725359,0.3895154846896136,0.0588357249601165,3.3480648760924896,2.1357368160522325,2.05076055016156,1.948789031092754,1.8864731027729276,0.7141439719296908,0.6248759754384794,4.4633998245605655,4.775837812279805,0.4463399824560568,0.4686569815788597,3.035111880701185,2.4102359052627054,0.7590056946561414
92,4.625,1.0491283853610749,0.4706964167708155,0.4311245941219416,0.0754371935895887,2.5221830119887487,1.70178062567153,2.0787222626280903,1.801559294277678,1.6130884757993986,0.7424608000659523,0.6987866353561903,4.520276047460356,5.10987727104214,0.5459270588720238,0.5677641412269047,2.969843200263808,2.292893647262497,0.7132704144691208
93,4.675,1.058855900554465,0.4657780208596724,0.4392786148589031,0.1165771707090414,1.7415284182730308,1.898862761356888,1.8391842174285276,1.8717361504803605,1.6438726191175328,0.8335267705696463,0.8335267705696464,3.697439264321767,4.14626137155158,0.7694093266796737,0.5770569950097554,3.013519862828724,2.692932643378859,0.3814333651821852
94,4.7250000000000005,1.0637811292254655,0.5238196504288756,0.4779230715341546,0.1179271062941123,1.4074439193501425,1.7420437945164031,1.7739104492941422,1.5614660841092145,1.6570660484424329,1.0461275558348682,0.8369020446678944,4.623883796790114,3.4940660364884564,0.4602961245673421,0.6695216357343158,3.263917974204785,2.636241440703865,0.3663581399617621
95,4.775,1.0687142844027675,0.5939953162963006,0.5451470172587762,0.1191952323842367,1.284514871490751,1.757757192566291,1.7681581226998195,1.4665311488274977,1.5965427754966013,0.9833606671699529,0.8194672226416272,4.015389390943967,4.138309474340213,0.7375205003774645,0.6760604586793424,2.868135279245691,2.5608350707550813,0.3104359249037799
96,4.825,1.0697013821607366,0.6066258284842773,0.5501732671584535,0.1331539238892152,0.906597222147286,1.8284741727577287,1.7164228306945823,1.7673552589051027,1.757168773262998,0.7022501465390113,0.6420572768356674,3.571443602398398,3.4711221528928253,0.6420572768356675,0.561800117231209,2.909322035661617,3.2905435437827943,0.3986242085456136
97,4.875,1.071939984053554,0.6682925874017708,0.5979953306624541,0.1554518290076703,0.8082670430260868,1.746255957155128,1.6564485079300062,1.491801517683952,1.771202470828773,0.9041221319296686,0.8648124740196826,4.12751408054848,3.380630580258756,0.5699900396947907,0.7665383292447188,3.20373711966382,2.869605027428946,0.5493324133441354
98,4.925000000000001,1.0715756398146206,0.6841797786954738,0.648363656052355,0.1575636164592383,0.7821619524745775,1.7647529052707638,1.8331920761122888,1.578989441558052,1.8527461249241532,1.2517553974261693,0.5777332603505401,3.813039518313565,3.4278840114132048,0.5969910356955579,0.7125376877656658,3.177532931927971,3.0234707291678258,0.7133237194124014
99,4.9750000000000005,1.0743260034922089,0.7190964005673923,0.6938965267052053,0.1441182868812646,0.6898673161041633,1.8875536287850043,1.7629942522661963,1.81090170477343,1.6863423282546228,1.3588295620233524,1.0946127027410335,3.1139844129701864,2.5666780615996685,0.4529431873411176,0.7737779450410759,3.415946537864264,3.0951117801643067,0.7244780062828593
100,5.025,1.074875677540553,0.7727847658690904,0.7313225695267991,0.1765806920011073,0.6668152637281384,1.6388628664867613,1.80321874134933,1.8689610912943573,1.7046052164317889,1.3689207932276326,0.776955044804873,3.329807334878025,3.015325531028433,0.6104646780609714,0.7214582558902389,3.348306264516235,3.459299842345505,0.5917769838346156
101,5.075,1.0744302935672825,0.8882291030088905,0.7991467294841424,0.1500359791810534,0.5892875517048575,1.7402398011284077,1.8092969360938205,1.7954855091007371,1.6573712391699114,1.196990339400491,0.8705384286549027,2.9380671967102936,2.8655223276557185,0.7979935596003271,0.816129776863971,3.0650207175558,3.3733364110377453,0.8611001931401486
102,5.125,1.07625654069112,0.8828556620922677,0.8523246305501719,0.1859243564524009,0.6094463603979868,1.6251902943946328,1.7380507315053733,1.75610840144309,1.7515939839586596,1.4760777168786272,1.0492600638052894,2.934371364879199,2.578689987318084,0.8714193750247318,0.853635306146676,3.610165982245317,3.3434049490744813,0.916242487401055
103,5.175000000000001,1.0772111589757132,0.9091305179652897,0.8866725820228721,0.2251613730686417,0.5047469090101048,1.7798969949303696,1.802035017255374,1.7798969949303696,1.9260079422754008,1.3430400210502789,1.0290826135320323,2.58142757292781,2.005838992477691,1.0465246917274895,1.0290826135320317,3.924467593978092,4.098888375932674,1.027836750803785
104,5.2250000000000005,1.076075430877234,0.973407529555934,0.888550544582072,0.2550924324728127,0.6471474857015491,1.8111443056211145,1.754681773311582,1.7981144904727602,1.7720548601760528,1.4201182368760843,1.0265914965369287,2.5835885996179364,2.480929449964243,0.6843943310246192,1.197690079293083,3.712839245808558,4.174805419250174,1.2099114066328094
