,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.1470612354234197,0.0086655446032874,0.0173310892065749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.2551079779493783,0.5219813169766425,0.4812015265878423,0.0,0.0,0.0434147922293072,0.0,0.0,0.0434147922293072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.5308420003370959,4.083407969809959,3.821946819200658,0.0,0.0,0.6958889085447549,0.8186928335820647,0.6958889085447549,0.6958889085447549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.6803375699526324,13.567139662450176,12.644748475549118,0.0,0.0,6.688369674805977,5.219248012131833,6.2630976145582,5.799164457924257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.6047431082677722,21.83422823977127,21.64872661533016,0.0,0.0,19.383070022797376,18.797920739090294,18.06648413445643,19.712216494882625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4038015520519304,23.738011676224797,23.503690749341303,0.0,0.0,31.66777230826614,30.21257927003072,32.29142646750991,33.157612799792894,0.0,0.0,0.0,0.0,0.0,0.2729799350225184,0.0,0.0,0.0
38,1.925,0.4763794616128843,20.02617100955115,19.118416726972047,0.0,0.0,37.703106236829534,37.73597729719295,38.55775380627817,40.89159909208014,3.625777567357785,0.0,0.0,0.0,0.0,5.050190183105485,0.0,0.0,0.0
39,1.975,0.8314325571156845,13.686556634898414,13.369765354022077,0.0,0.0,34.66292288699981,34.13204929323497,35.56853078224578,37.161151563540365,27.310181668545333,0.0,0.0,0.0,0.0,26.326030977786942,0.0,0.0,0.0
40,2.025,1.260444263550546,9.246710155422582,9.017914068293845,0.0,0.0,27.952271228479784,25.754111748238017,25.902636037443543,26.140274900172376,71.84975008718179,0.1170191369498074,0.0,0.1170191369498074,0.0,66.34985065054087,0.0,0.0,0.0
41,2.075,1.5828559662770976,5.500725706888269,5.660167031725607,0.0,0.028290614560882,20.17120818190889,19.3790709742042,18.360608850012444,20.65214862944389,123.14990247487007,0.5572393777143435,0.0,0.0,0.6686872532572122,122.2583194705271,0.0,0.0,0.0
42,2.125,1.7185702510497058,3.70438679272098,3.4864816872668034,0.0,0.0269750148433433,13.217757273238238,12.97498213964815,13.08288219902152,14.647433059935432,124.43656089703512,1.5939781498339247,0.1062652099889283,0.3187956299667849,0.6375912599335699,128.58090408660323,0.0,0.0,0.0
43,2.1750000000000003,1.7057911592452164,2.2541619966678192,2.017136378992449,0.0,0.0,8.98643373211045,9.295422857569834,8.960684638322169,9.037931919687017,102.04443895853142,3.550253840505566,0.7100507681011129,0.4057432960577788,2.840203072404453,114.31817366427914,0.0,0.0,0.0
44,2.225,1.5588585082771873,1.3450906003560097,1.4652705165390203,0.0,0.0,6.717132853736603,6.98778655846592,7.086206087458398,6.790947500480962,78.2211574742488,4.74948787637942,0.6784982680542028,0.2907849720232297,4.74948787637942,73.95631121790805,0.0,0.0,0.0
45,2.275,1.3235043275090022,1.0036503240146035,0.9373298180224492,0.0,0.0,5.36604315559905,4.942408169630701,4.824731784639494,5.318972601602565,48.76794670120452,7.417178205506388,1.205291458394789,1.3907209135324488,7.23174875036873,49.8805234320305,0.0927147275688299,0.0,0.0
46,2.325,1.1494914376482837,0.7238862270659608,0.6392211712687724,0.0,0.0225339302352516,3.808234209757536,4.303980674933073,3.605428837640271,4.39411639587408,28.67271910843084,9.232082932745527,0.7101602255958103,1.68663053579005,8.610692735349199,30.536889700619856,0.0887700281994762,0.0887700281994762,0.0
47,2.375,0.9986031691961466,0.4949409844044612,0.5476805974967403,0.0,0.0,2.9801314153019223,3.109702346402007,2.828965329018492,3.174487811952047,15.738287338166703,10.63397793119372,2.041723762789196,1.7865082924405464,9.187756932551382,17.43972380715771,0.0,0.0,0.0
48,2.4250000000000003,0.8084745838325832,0.3618936246063595,0.3541109660126743,0.0,0.0207138451801158,2.361378350533205,2.485661421613901,1.8642460662104248,2.340664505353089,9.547199551198869,9.955199532019329,2.284799892594597,2.3663998887586897,10.852799489824344,8.731199589557935,0.1631999923281855,0.0,0.0
49,2.475,0.733816038101853,0.3212699677475653,0.3287413623463457,0.0,0.0,2.167509045372395,2.2669360658023194,1.869227984082615,1.9288841963405707,5.405214383372354,11.51545672979329,1.645065247113325,2.506766090839352,11.828802491148206,4.778522860662514,0.0783364403387297,0.1566728806774595,0.0
50,2.5250000000000004,0.8018959903013648,0.229709984872612,0.2512452959544193,0.0,0.0,1.6813003892791551,2.044308427873517,1.146341174508516,1.7195117617627735,3.462181931091375,13.246609127653976,1.505296491778859,2.107415088490402,13.397138776831865,2.860063334379832,0.0752648245889429,0.0752648245889429,0.0
51,2.575,0.917161474183832,0.2174249068006205,0.2415832297784672,0.0,0.055112833518692,1.5799012275358395,1.5615302830296092,1.2859661154361486,1.4696755604984555,2.38822278580999,12.15822509139631,2.38822278580999,1.954000461117264,13.099040128230552,1.5197781364245389,0.2171111623463626,0.0723703874487875,0.0
52,2.625,0.9839693236159176,0.1627275887704781,0.1560856463716831,0.0,0.035355570307432,1.184411605298972,1.4142228122972795,1.4142228122972789,1.2904783162212676,0.6963975969645697,12.952995303540993,2.08919279089371,1.6017144730185109,13.092274822933902,1.1838759148397686,0.2785590387858278,0.2785590387858278,0.0
53,2.6750000000000003,0.97342755435493,0.1087315440579729,0.1247214770076748,0.0,0.0170231286172211,1.3958965466121296,1.3788734179949094,0.9362720739471608,1.004364588416045,0.9388513358588604,16.564019996938484,1.3412161940840863,1.6094594329009035,14.216891657291333,0.8047297164504519,0.2011824291126129,0.2011824291126129,0.0
54,2.725,0.9448283221212538,0.1325134964040148,0.1201866595292227,0.0,0.0328083504513696,1.1975047914749943,1.2959298428291033,0.8858254621869819,1.11548391534657,0.5169800677185524,12.472144133710064,1.615562711620477,1.3570726777612008,11.308938981343324,0.4523575592537334,0.1292450169296381,0.4523575592537334,0.0
55,2.7750000000000004,0.9389603691552648,0.1604696446036332,0.1069797630690888,0.0,0.079091876115181,1.2496516426198607,0.885829012490028,0.933284138159137,0.9491025133821732,0.1246296229693761,12.15138823951419,1.807129533055954,2.1810184019640824,14.332406641478276,0.1246296229693761,0.1869444344540642,0.1869444344540642,0.0
56,2.825,0.9311329087262236,0.1204308923053521,0.1204308923053521,0.0,0.091580414808026,1.0531747702922996,0.976857757952278,1.114228380164317,0.976857757952278,0.1803856655309604,12.626996587167232,1.623470989778644,1.5633424346016571,12.446610921636273,0.3607713310619208,0.601285551769868,0.6012855517698679,0.0
57,2.875,0.8964814460569708,0.0968987679880664,0.1245841302703711,0.0,0.0736856565359802,0.8400164845101753,1.0758105854253124,0.9284392723533516,0.9137021410461555,0.2322214630224832,10.97246412781233,1.7997163384242456,1.7416609726686252,12.772180466236575,0.0,0.1741660972668623,0.4644429260449664,0.0
58,2.9250000000000003,0.8688172926689279,0.1016384739667951,0.1096625640168053,0.0,0.2420394752521008,0.7261184257563027,0.9112074362432032,1.0820588305388037,0.6122174962259025,0.0560875789354244,12.395354944728805,2.187415578481553,2.692203788900374,11.834479155374552,0.0560875789354244,0.1682627368062733,0.5047882104188199,0.0
59,2.975,0.8521738531463532,0.0879086497340941,0.1137641349500041,0.0,0.1513938103565439,0.9771782304831484,0.9771782304831484,0.8395474937953809,0.9496520831455948,0.1084363379964226,11.494251827620792,2.1687267599284543,2.0602904219320317,11.548469996619009,0.2168726759928453,0.8674907039713812,1.0301452109660152,0.0
60,3.0250000000000004,0.8572159715435969,0.1025321505109315,0.1200376396225539,0.0,0.2396135960157906,0.9584543840631624,0.9185187847271972,0.772088253828659,0.638969589375442,0.1573220579901655,11.851595035259129,2.6220342998360944,2.1500681258655967,10.802781315324694,0.0524406859967218,0.4195254879737748,0.5768475459639403,0.0
61,3.075,0.8839417796536925,0.1573078527459393,0.1355267654426554,0.0,0.3091797418230247,0.9146567362264488,0.8888917577411969,0.7343018868296841,0.9146567362264488,0.1522476001401258,12.585801611583737,2.4867108022887234,2.080717201915054,11.672316010742986,0.0507492000467086,0.7104888006539204,0.8627364007940461,0.0
62,3.125,0.9145695524847334,0.1663741676077379,0.1171649067660125,0.0,0.4365744679804346,1.0727258356090676,1.0477787231530429,0.9854109420129809,0.7109927049967079,0.0491382518073216,10.171618124115575,2.506050842173403,2.3094978349441164,11.79318043375719,0.0982765036146433,0.4913825180732166,0.3931060144585733,0.0
63,3.1750000000000003,0.9119955414650665,0.1702557091499011,0.1793360136378959,0.0,0.6887760196624308,0.7854463382115441,1.075457293858883,0.8700328669420181,0.8700328669420175,0.1904112335058287,10.996248734961616,3.7606218617401166,3.0465797360932583,11.757893668984924,0.0,0.8568505507762295,0.9044533591526868,0.0
64,3.225,0.857250684806775,0.1716181913412233,0.204621689676074,0.0,0.761280694923888,0.8549767804529819,0.8666887911441182,0.925248844599802,1.0072329194377594,0.046138223934781,10.288823937456185,2.814431660021645,2.4453258685433967,10.196547489586624,0.0,0.5536586872173731,1.2457320462390895,0.0
65,3.2750000000000004,0.7871602814667198,0.192020820161885,0.2026886435042122,0.0,0.9880702100022344,0.9426416945998328,1.0675701119564367,1.0902843696576376,0.931284565749232,0.0894804091259424,10.379727458609311,3.355515342222843,2.5501916600893604,10.916609913364963,0.1789608182518848,0.5368824547556548,0.8948040912594246,0.0
66,3.325,0.7326287723155515,0.2442459546274615,0.2711544072559106,0.0,1.3662488184271966,0.96959593565801,1.1789405126750805,1.1789405126750805,0.9916322069229646,0.0434047767340018,9.071598337406389,3.819620352592167,3.4723821387201514,9.071598337406389,0.0,0.7812859812120335,1.0417146416160443,0.0438476826190427
67,3.375,0.7107725151232138,0.3073780056855776,0.2913059531007108,0.0,1.914243278444504,1.0694096527622912,1.2619033902595045,1.219127004149012,0.9838568805413082,0.1263847771446344,8.889062659172616,4.170697645772937,2.948978133374803,8.594164845835131,0.0421282590482114,0.5897956266749605,1.1795912533499209,0.0709302320709683
68,3.4250000000000003,0.7320235465017998,0.3062722457276003,0.3394354825261301,0.0,2.8556398021539637,1.1837924998020075,1.4226278287094292,1.3084022366232708,1.142255920861586,0.0409072368352633,9.163221051098995,4.295259867702655,3.14985723631528,7.976911182876363,0.0409072368352633,0.7363302630347409,0.9817736840463211,0.1515237446040878
69,3.475,0.776637408182769,0.4604961656214061,0.4358605682836349,0.0,3.3389543440302014,1.2811093706701997,1.2508469445913764,1.4727714025027487,1.2811093706702,0.0397385392954249,7.590061005426168,4.371239322496745,3.576468536588246,7.947707859084993,0.0,0.5563395501359492,1.2318947181581723,0.2274828627013611
70,3.5250000000000004,0.8083362004478784,0.4714669959789033,0.5414503781945219,0.0,4.195829597387247,1.3332542645903418,1.333254264590341,1.3626642851327742,1.5391244083873792,0.0772384377882103,5.561167520751153,4.788783142869048,3.437110481575364,7.839701435503365,0.0,0.9654804723526296,1.1585765668231556,0.1950664627814498
71,3.575,0.8225244910951166,0.5962411105381371,0.5837075136199177,0.0,4.73692833681493,1.496373740201093,1.43918748261379,1.7060566846878702,1.382001225026487,0.0375465327593403,7.058748158755983,4.468037398361502,4.280304734564801,6.608189765643899,0.1501861310373613,0.9011167862241676,1.1639425155395502,0.3034372851571179
72,3.625,0.8464481853304243,0.7557944135933173,0.7331554104211673,0.0081425104964282,5.8307891317961165,1.937416420580904,1.4831896042724615,1.7705575901002517,1.6963981098866283,0.1095537775883066,5.477688879415327,4.236079400081187,3.834382215590729,6.208047396670705,0.0365179258627688,0.8764302207064528,1.6798245896873676,0.6148426293221301
73,3.675,0.8874034811706012,0.9149750020251582,0.9098918075694632,0.0,6.169277603398351,1.9481929273889544,2.047406456098576,1.839959986978456,1.623494106157461,0.0710620315826498,4.938811194994155,4.441376973915608,4.192659863376334,5.258590337116081,0.0,0.7461513316178227,1.172523521113721,0.7059070178133634
74,3.725,0.923465881027165,1.0373574393896794,1.2501064213948772,0.0,7.225041695627409,1.9928122295351427,2.0191489550356065,2.168390399538239,2.0630434975363814,0.0345835789400037,4.910868209480535,4.945451788420539,4.876284630540531,5.152953262060561,0.1037507368200112,1.2795924207801384,1.4870938944201606,1.0480941780797055
75,3.775,0.920627401192254,1.3922450795309191,1.36976361342546,0.0,7.513602431338056,2.102782933002463,2.367767774153178,2.470342551372813,2.2480972007302764,0.1010206139284257,4.579601164755302,4.8153159305882935,4.310212860946166,4.512254088803016,0.1346941519045676,1.1449002911888244,1.4142885949979596,1.428720111273448
76,3.825,0.9019888349566618,1.6610867301009706,1.725215313843098,0.0,7.368410366858161,2.281293153128965,2.680935749297543,2.4811144512132546,2.4478109015325407,0.0,3.837477201846001,4.526255161151694,4.723048863810467,4.329461458492927,0.131195801772513,1.016767463736975,1.410354869054514,1.4910135124911867
77,3.875,0.8968409521460595,2.2159084950733896,2.0970358247737195,0.0035628849552743,8.063740485235646,2.815007996354902,3.0340432006822264,2.9448066359562777,2.644647281878092,0.0639159967734061,3.739085811244258,5.177195738645896,4.538035770911837,3.611253817697446,0.0958739951601092,1.2463619370814203,2.1092278935224016,2.184557461148203
78,3.925,0.9112452805911834,2.494033921863283,2.5608781901681343,0.0069453804304741,8.863801357377781,3.162819396031321,3.36049560828328,3.6056141114757048,2.886072698878582,0.2803408101027762,2.367322396423445,5.357624370853054,4.578899898345344,2.5542162698252957,0.2803408101027762,1.6197469028160405,1.7443428184172751,2.88445901551326
79,3.975,0.9311567192100696,2.809691210630612,2.911071821323469,0.0033858775385838,9.559634552013938,3.33816271050164,3.507769129972855,3.692794314850543,3.6002817224116987,0.1518514774880024,2.156290980329636,5.345172007577684,4.312581960659268,2.3385127533152383,0.0,1.5185147748800247,1.943698911846432,3.5793562550743423
80,4.025,0.9423166523011378,3.035539695075407,3.1330046736515835,0.0099068397730191,10.413866752171566,3.511390450010199,4.150508626136251,3.917418467784396,3.789594832559189,0.4146863032261734,2.4288769188961585,4.650410686179226,5.242819690788043,1.8957088147482213,0.2369636018435276,1.5402634119829297,1.8068474640568983,3.820131331250444
81,4.075,0.9416793306713024,2.9160290336720536,3.0056045947253067,0.0032217405534745,10.313931512175696,3.96858957900928,4.3280366942984765,4.188659241431237,4.15198096436091,0.202286255357556,1.8205762982180036,4.825972092101689,5.114952456898197,1.5604939699011462,0.2311842918372068,1.8205762982180032,1.8783723711773048,5.001719334365691
82,4.125,0.9439899994994148,2.605033141300923,2.5337544853954266,0.0031441120529452,10.996072381106575,4.059097031306922,4.624650233199772,4.6819214435180365,4.223751760971928,0.1974121264758322,1.494691814745586,4.822496232481049,4.681487570712596,1.1280692941476125,0.0846051970610709,1.7485074059287986,1.7203056735751083,5.431998978655706
83,4.175,0.9423187348710222,1.8012451156096174,1.9824199158677267,0.0,11.18852351212699,4.4726140210876135,4.465625561679664,4.640337046878399,4.584429371614804,0.4129544195606464,1.1287420801324335,5.671240695299544,5.093104507914635,1.211332964044563,0.1651817678242585,2.229953865627489,2.3951356334517477,5.562243202245445
84,4.2250000000000005,0.9451565073151388,1.3986308732071115,1.4614474752118305,0.0,11.983001500665344,4.98836793678039,4.810943085403796,5.268153279335789,4.715406626970244,0.4301208518220458,0.6989463842108246,5.618453626925473,5.591571073686594,0.7527114906885802,0.2688255323887786,2.258134472065741,2.3387821317823745,5.06928146790268
85,4.275,0.9488990196440534,1.030527300522286,1.0655877676117445,0.0117093837962862,11.90430000040284,4.839037962089846,5.092320940821822,5.0989862823674,5.01900218382046,0.2625740608864177,0.8664944009251789,5.592827496880704,5.40902565426021,0.7089499643933278,0.341346279152343,1.916790644470851,2.2581369236231943,4.500465817050163
86,4.325,0.9522464102960012,0.8380122479955171,0.7903006017592753,0.0028600536378619,10.758025757580088,4.350097582362892,4.9231643297400405,5.007821917420755,4.845018864188612,0.5643839178714329,0.6926529901149404,5.41295484867602,4.951186188599396,0.8465758768071499,0.2821919589357165,1.8983822692039127,2.539727630421451,3.602266741107975
87,4.375,0.9588977304668476,0.5965908099203799,0.6025686737472372,0.0083851657463217,10.398981552638372,4.493072812829067,4.289420787318401,4.429431554856981,4.423067429059776,0.4512743747111344,0.6769115620667018,5.039230517607673,5.164584510582985,0.4011327775210084,0.2507079859506302,2.8580710398371854,2.4569382623161773,2.785928537757515
88,4.425,0.966157365408158,0.5820161383246113,0.5527984606978738,0.0163934861494884,8.952188544176517,3.7451129281405553,4.025063230077972,3.8819775201988462,3.633132807365588,0.5881784121513414,0.8822676182270117,5.563187481598099,5.685724650796295,0.4656412429531453,0.3185966399153099,2.5242656854828374,2.573280553162116,2.071378311160525
89,4.4750000000000005,0.9784725316217244,0.4765212943090225,0.5153743494805016,0.0160292016168502,6.794573062797995,3.1813444152581503,3.351664957566426,3.272587562923297,3.065769761548963,0.6230340184004024,0.8147367932928339,5.271826309541867,5.104086381510988,0.4792569372310787,0.5751083246772946,2.420247533016948,2.707801695355595,1.62189350237436
90,4.525,0.9896630639200372,0.4995774103200792,0.5062831473713557,0.0182897467772421,5.586291624454718,2.677136561240278,2.700933330673525,3.010291333305736,2.605746252940538,0.6796501572980377,0.6327777326567937,4.687242464124391,5.48407368302554,0.4921604587330616,0.4687242464124396,2.577983355268419,2.9295265400777466,1.2232267961222585
91,4.575,1.003113956857255,0.5433838472494955,0.5280772600030305,0.0153361366426933,3.5093799449757106,2.543281983340602,2.2581084886410854,2.4152449040877584,2.60148065572826,0.7107292415825965,0.8024362404964799,5.36485943646218,5.319005937005239,0.7336559913110675,0.6190222426687133,2.613649469045678,2.9804774647012096,0.6639399564224521
92,4.625,1.0188476640349762,0.5284891798987931,0.5188608345160216,0.0150063401010763,2.551231728363504,2.118433488730409,2.3063590401500424,2.1355176297685583,2.317748467508808,0.6730116166543334,0.6954453372094779,5.518695256565534,4.509177831584032,0.4486744111028889,0.650577896099189,3.006118554389353,2.6471790255070418,0.4456985093965944
93,4.675,1.035432689035719,0.6093859958603767,0.5392333124881338,0.0171349131834985,1.9340232998939604,2.173686129563818,1.9340232998939608,2.0009059500343858,1.9117290831804847,0.8563005964948368,1.1197777031086322,5.006065025662125,4.457154386883385,0.7245620431879393,0.6367363409833406,3.0299867260586555,2.832378896098307,0.3844614923038048
94,4.7250000000000005,1.0497235553293678,0.5914322331824496,0.5596568445712607,0.028755757086673,1.696884598955624,2.073363818659607,1.9205896425478448,1.926045863123264,1.9424145248495253,0.9672391020062746,0.945744899739469,4.556770880562892,4.255852048827606,0.5803434612037652,1.0747101133403054,3.009188317352854,3.63252018309023,0.4559841480886727
95,4.775,1.0626557887363202,0.6794770675038494,0.6122319219754033,0.0258103089835886,1.2127596372204827,1.869893713776075,1.9072915880515968,1.960717122730912,2.094280959429205,1.0733675603753572,0.7997640645934034,3.998820322967013,4.46184162352109,0.8839497556032353,0.6524391053261975,3.2621955266309848,3.3042883721358987,0.3897883397521555
96,4.825,1.0691551911348032,0.69593966711727,0.6625188356455368,0.0298741852066487,1.1929875806072834,1.8208757809269067,1.998777437684134,1.852270190942888,1.852270190942888,1.0512370626563383,1.0100120798070702,3.565961016461697,4.493523130570231,0.4740873027665842,1.01001207980707,3.5247360336124305,3.6277984907356,0.4303383413755239
97,4.875,1.0744995085727829,0.7183277356314131,0.6981067135828076,0.027013411694276,0.902109420272438,1.7119576498351958,1.8862287878423707,2.0092437087886124,1.9887412219642389,0.989400311145907,1.2115105850766206,3.977793087668233,3.876833872245182,0.7470981941305828,1.3124698004996718,3.533572539806808,3.2912704227914835,0.503147763394066
98,4.925000000000001,1.078566817857772,0.7509892546419477,0.8028792157038913,0.0308789891135202,0.9039739230595378,1.7979036914184143,1.787859536717752,2.003808862781977,1.9535880892786688,1.02876493600715,1.2463882878548167,3.7985166867956375,3.462189688485606,0.6528700555429993,1.1672525235465745,3.917220333257999,3.7589488046415154,0.6861797522543769
99,4.9750000000000005,1.0778039405519877,0.7979171967835078,0.7711042202983154,0.0302614301244818,0.8022271871681301,1.717652075593114,1.8160848592947252,2.0277153442531883,1.9784989524023828,0.9694137788795032,1.2020730858105837,3.4317247772334447,3.5480544306989854,1.1826848102329937,1.279626188120944,3.586830981854164,3.8001020132076553,0.8226168352206065
100,5.025,1.0801276126722077,0.8519007358486179,0.8509944584700555,0.0233060250189752,0.7477485509584514,1.968267153490632,1.8524867326970649,1.977915521890096,2.006860627088488,1.1782704439345275,1.444331511919743,3.496802607805695,3.4777982458067505,0.8932050139503682,1.482340235917632,4.161955277768734,3.895894209783517,0.7423336503260995
101,5.075,1.081950438421879,0.8769572073250849,0.8707376526632046,0.0498524921932932,0.8276791973117288,2.052644409333088,1.830353424912223,2.0384556230934585,2.128317935944447,1.4719074210201637,1.360116983980658,3.2978178926654307,2.552548312402055,0.8011647987831269,1.2296948074345675,4.303931826020985,3.7077161618102874,1.003832495864954
102,5.125,1.0813312850732584,1.028953073107431,0.8930371718332912,0.0529582227937527,0.7605928897337072,2.1797479157002586,1.989599693266832,2.119457015904294,2.049890593062796,1.297167844094996,1.370247722635559,3.379944382501045,2.6856855363656957,0.767338724675913,1.3154378137301366,4.457872590974351,4.147283107176958,1.1627530674936046
103,5.175000000000001,1.0847031090614714,1.0271106587135483,0.9373880138176056,0.0499421414639575,0.736869405378367,2.1332824143361364,2.0514080359607623,2.0877966485720405,2.0195679999258944,1.1467926398705588,1.075118099878649,3.153679759644042,2.8669815996764,0.895931749898874,1.2363858148604463,4.533414654488306,4.730519639466061,1.249001996644736
104,5.2250000000000005,1.0844538679782716,1.0595172342615309,1.0368851414410705,0.0411523489573227,0.8031491400901674,2.043568367562761,2.003410910558253,1.9454056948850744,2.1149594022374423,1.5292284132019849,1.6698471178642351,2.9529927979072816,2.214744598430461,1.2479910038774815,1.494073737036422,4.65799459193708,4.447066534943704,1.313995701984255
105,5.275,1.0825174776190218,1.005808108977912,1.0551527422883578,0.0442212378248338,0.8055068551477431,2.241410379541546,2.184499569123499,2.1888773237710404,2.175744059828415,1.4658845107678782,1.3969017102611552,2.759312020268946,2.362660917355285,1.2071990088676652,1.4141474103878355,4.242442231163505,4.915024536104062,1.6202159292484832
